table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_2017,field_2018,field_2019,field_2020,field_2021,field_percent_change_2017_21,field_percent_change_2020_21
8084,r001,All surveyed fields,All surveyed fields,,,,1,64733,64783,66247,65681,63296,-2.2,-3.6
8084,r002,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,,,2,30110,29622,29452,29890,29998,-0.4,0.4
8084,r003,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Male,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Male,,3,16378,15934,15570,15579,15623,-4.6,0.3
8084,r004,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Female,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Female,,3,13732,13688,13882,14311,14375,4.7,0.4
8084,r005,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,1659,1856,1924,2027,2142,29.1,5.7
8084,r006,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,,,,
8084,r007,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,125,81,69,72,80,-36.0,11.1
8084,r008,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,6045,6020,5891,5696,6152,1.8,8.0
8084,r009,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,1019,1104,1088,1081,1152,13.1,6.6
8084,r010,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,112,55,52,52,38,-66.1,-26.9
8084,r011,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,17313,17232,16972,17123,16422,-5.1,-4.1
8084,r012,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,730,506,519,555,695,-4.8,25.2
8084,r013,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,3,3107,2768,2937,3284,3317,6.8,1.0
8084,r014,All surveyed fields -> Temporary visa holders,All surveyed fields,Temporary visa holders,,,2,34623,35161,36795,35791,33298,-3.8,-7.0
8084,r015,All surveyed fields -> Temporary visa holders -> Male,All surveyed fields,Temporary visa holders,Male,,3,22492,22727,23603,22660,20877,-7.2,-7.9
8084,r016,All surveyed fields -> Temporary visa holders -> Female,All surveyed fields,Temporary visa holders,Female,,3,12131,12434,13192,13131,12421,2.4,-5.4
