table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2021,field_2022,field_2023_all_engineering,field_2023_aerospace_aeronautical_and_astronautical_engineering,field_2023_bioengineering_and_biomedical_engineering,field_2023_chemical_engineering,field_2023_civil_engineering,field_2023_electrical_electronic_and_communications_engineering,field_2023_industrial_and_manufacturing_engineering,field_2023_mechanical_engineering,field_2023_metallurgical_and_materials_engineering,field_2023_engineering_nec_
12704,r001,All institutions,All institutions,,1,-,"['8,713,379', '']","['9,759,899', '']","['10,931,327', '']","['1,425,681', '']","['1,198,449', '']","['713,248', '']","['929,044', '']","['2,794,497', '']","['481,861', '']","['1,551,973', '']","['693,211', '']","['1,143,363', '']"
12704,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,183,154', '']","['1,264,048', '']","['1,436,413', '']","['191,135', '']","['79,622', '']","['24,936', '']","['18,623', '']","['606,439', '']","['114,052', '']","['258,794', '']","['41,505', '']","['101,307', '']"
12704,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['666,235', '']","['739,429', '']","['847,360', '']","['268,458', '']","['29,689', '']","['27,362', '']","['15,951', '']","['403,240', '']","['43,100', '']","['40,386', '']","['13,807', '']","['5,367', '']"
12704,r004,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,3,"['284,244', '']","['300,829', '']","['348,549', '']","['20,993', '']","['14,815', '']","['9,142', '']","['9,154', '']","['133,655', '']","['8,878', '']","['108,688', '']","['43,224', '']","['0', '']"
12704,r005,All institutions -> Utah State U.,All institutions,Utah State U.,2,4,"['228,986', '']","['239,736', '']","['280,768', '']","['263,160', '']","['1,319', '']","['0', '']","['3,761', '']","['10,292', '']","['0', '']","['1,732', '']","['0', '']","['504', '']"
12704,r006,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,5,"['194,110', '']","['216,881', '']","['249,098', '']","['15,736', '']","['7,260', '']","['19,206', '']","['10,362', '']","['78,185', '']","['0', '']","['76,963', '']","['19,119', '']","['22,267', '']"
12704,r007,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,6,"['193,246', '']","['215,477', '']","['226,746', '']","['24,187', '']","['71,768', '']","['27,211', '']","['4,824', '']","['27,327', '']","['0', '']","['21,545', '']","['13,601', '']","['36,283', '']"
12704,r008,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,7,"['180,607', '']","['189,405', '']","['206,437', '']","['12,728', '']","['21,270', '']","['9,406', '']","['9,291', '']","['50,758', '']","['3,526', '']","['36,654', '']","['9,918', '']","['52,886', '']"
12704,r009,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,8,"['137,052', '']","['163,895', '']","['188,696', '']","['31,700', '']","['9,113', '']","['14,239', '']","['9,759', '']","['40,265', '']","['4,177', '']","['32,131', '']","['11,089', '']","['36,223', '']"
12704,r010,All institutions -> U. Dayton,All institutions,U. Dayton,2,9,"['171,865', '']","['189,150', '']","['188,040', '']","['20,836', '']","['180', '']","['3,885', '']","['59', '']","['6,339', '']","['55,660', '']","['26,351', '']","['69,226', '']","['5,504', '']"
12704,r011,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,10,"['139,887', '']","['144,390', '']","['176,925', '']","['11,674', '']","['13,148', '']","['17,075', '']","['23,847', '']","['34,075', '']","['0', '']","['25,086', '']","['18,125', '']","['33,895', '']"
12704,r012,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,11,"['123,286', '']","['138,068', '']","['170,864', '']","['41,394', '']","['25,716', '']","['4,730', '']","['24,767', '']","['17,267', '']","['9,309', '']","['15,097', '']","['8,144', '']","['24,440', '']"
12704,r013,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,12,"['132,769', '']","['148,185', '']","['140,779', '']","['73,910', '']","['10,892', '']","['9,708', '']","['15,791', '']","['12,066', '']","['0', '']","['11,067', '']","['2,077', '']","['5,268', '']"
12704,r014,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,13,"['119,758', '']","['127,827', '']","['139,691', '']","['6,387', '']","['28,531', '']","['6,941', '']","['11,763', '']","['31,497', '']","['1,751', '']","['14,997', '']","['4,269', '']","['33,555', '']"
12704,r015,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,14,"['64,692', '']","['88,257', '']","['136,780', '']","['134,542', '']","['84', '']","['0', '']","['0', '']","['1,256', '']","['431', '']","['380', '']","['0', '']","['87', '']"
12704,r016,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,15,"['108,080', '']","['114,336', '']","['128,941', '']","['13,103', '']","['17,105', '']","['3,914', '']","['16,742', '']","['35,043', '']","['17,067', '']","['12,892', '']","['7,248', '']","['5,827', '']"
12704,r017,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,16,"['100,212', '']","['129,923', '']","['114,380', '']","['0', '']","['17,408', '']","['0', '']","['7,801', '']","['47,061', '']","['0', '']","['18,872', '']","['23,238', '']","['0', '']"
12704,r018,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,17,"['88,435', '']","['103,560', '']","['113,636', '']","['891', '']","['3,843', '']","['8,318', '']","['7,143', '']","['21,646', '']","['8,432', '']","['38,054', '']","['13,284', '']","['12,025', '']"
12704,r019,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,18,"['95,898', '']","['104,247', '']","['112,818', '']","['11,272', '']","['18,198', '']","['11,171', '']","['18,011', '']","['9,639', '']","['462', '']","['15,773', '']","['6,472', '']","['21,820', '']"
12704,r020,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,19,"['91,430', '']","['88,636', '']","['100,328', '']","['2,533', '']","['9,050', '']","['13,338', '']","['8,146', '']","['21,256', '']","['3,760', '']","['11,465', '']","['14,845', '']","['15,935', '']"
12704,r021,All institutions -> Stanford U.,All institutions,Stanford U.,2,20,"['89,861', '']","['89,919', '']","['100,033', '']","['12,959', '']","['22,047', '']","['9,117', '']","['7,401', '']","['16,355', '']","['6,089', '']","['18,304', '']","['6,355', '']","['1,406', '']"
12704,r022,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,21,"['73,746', '']","['85,208', '']","['98,381', '']","['0', '']","['9,566', '']","['5,272', '']","['19,205', '']","['32,200', '']","['7,881', '']","['7,935', '']","['3,345', '']","['12,977', '']"
12704,r023,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,22,"['69,550', '']","['72,409', '']","['96,495', '']","['0', '']","['6,707', '']","['5,171', '']","['11,076', '']","['42,122', '']","['8,567', '']","['19,420', '']","['0', '']","['3,432', '']"
