table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_started_in_fy_2020_or_fy_2021,field_planned_to_start_in_fy_2022_or_fy_2023,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
7857,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['0', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['200,000', '']","['0', '']"
7857,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['20,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['na', '']","['na', '']","['35,762', '']","['0', '']","['7,500', '']","['960', '']","['17,160', '']","['15,778', '']","['2,000', '']","['230,000', '']","['0', '']"
7857,r006,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['12,000', '']","['0', '']","['0', '']"
7857,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['0', '']","['5,065', '']","['348', '']","['0', '']","['0', '']","['351', '']","['0', '']","['17,880', '']","['0', '']","['16,900', '']","['0', '']"
7857,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['0', '']","['0', '']","['0', '']","['5,200', '']","['0', '']","['0', '']","['0', '']","['653', '']","['0', '']","['8,050', '']","['0', '']"
7857,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['0', '']","['0', '']","['97,288', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['15,300', '']","['8,000', '']","['14,500', '']","['0', '']","['0', '']","['0', '']","['1,838', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r011,Alabama -> Private,Alabama,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r012,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['3,836', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r013,Alaska,Alaska,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r014,Alaska -> Public,Alaska,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r015,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['25,000', '']","['NA', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r016,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['NA', '']","['0', '']","['45,000', '']","['32,450', '']","['4,017', '']","['41,500', '']","['0', '']","['0', '']","['0', '']","['112,500', '']","['0', '']"
7857,r017,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['ne', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['13,000', '']","['0', '']","['0', '']"
7857,r018,Alaska -> Private,Alaska,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r019,Alaska -> Private -> Alaska Pacific U.,Alaska,Private,Alaska Pacific U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r020,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r021,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r022,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['0', '']","['0', '']","['94,499', '']","['2,256', '']","['0', '']","['60,000', '']","['55,500', '']","['96,000', '']","['88,376', '']","['0', '']","['0', '']"
7857,r023,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['0', '']","['0', '']","['0', '']","['8,400', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2,400', '']","['0', '']","['0', '']"
7857,r024,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['18,605', '']","['4,446', '']","['48,635', '']","['8,483', '']","['201,093', '']","['0', '']","['17,400', '']","['119,000', '']","['99,000', '']","['0', '']","['0', '']"
7857,r025,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r026,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r027,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r028,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['0', '']","['13,491', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['15,743', '']","['0', '']","['0', '']","['0', '']"
7857,r029,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['8,300', '']","['48,800', '']","['750', '']","['993', '']","['0', '']","['6,948', '']","['13,800', '']","['0', '']","['114,000', '']","['130,950', '']","['0', '']"
7857,r030,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['0', '']","['5,400', '']","['9,059', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r031,"Arkansas -> Public -> U. Arkansas, Pine Bluff",Arkansas,Public,"U. Arkansas, Pine Bluff",3,"['0', '']","['0', '']","['0', '']","['0', '']","['4,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r032,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['706', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r033,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r034,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r035,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['788', '']","['0', '']","['12,250', '']","['0', '']","['0', '']","['0', '']","['71,500', '']","['0', '']","['67,000', '']","['0', '']","['15,000', '']"
7857,r036,"California -> Public -> California State Polytechnic U., Pomona",California,Public,"California State Polytechnic U., Pomona",3,"['461', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r037,"California -> Public -> California State U., Bakersfield",California,Public,"California State U., Bakersfield",3,"['4,000', '']","['1,210', '']","['2,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r038,"California -> Public -> California State U., Channel Islands",California,Public,"California State U., Channel Islands",3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r039,"California -> Public -> California State U., Chico",California,Public,"California State U., Chico",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['15,382', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r040,"California -> Public -> California State U., Dominguez Hills",California,Public,"California State U., Dominguez Hills",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['12,798', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r041,"California -> Public -> California State U., East Bay",California,Public,"California State U., East Bay",3,"['0', '']","['0', '']","['0', '']","['0', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['10,513', '']","['0', '']","['0', '']"
7857,r042,"California -> Public -> California State U., Fresno",California,Public,"California State U., Fresno",3,"['0', '']","['0', '']","['0', '']","['364', '']","['2,798', '']","['8,021', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r043,"California -> Public -> California State U., Fullerton",California,Public,"California State U., Fullerton",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r044,"California -> Public -> California State U., Long Beach",California,Public,"California State U., Long Beach",3,"['0', '']","['17,500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['63,000', '']","['0', '']","['0', '']"
7857,r045,"California -> Public -> California State U., Los Angeles",California,Public,"California State U., Los Angeles",3,"['0', '']","['8,833', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r046,"California -> Public -> California State U., Maritime Academy",California,Public,"California State U., Maritime Academy",3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r047,"California -> Public -> California State U., Monterey Bay",California,Public,"California State U., Monterey Bay",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['734', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r048,"California -> Public -> California State U., Northridge",California,Public,"California State U., Northridge",3,"['9,700', '']","['0', '']","['0', '']","['0', '']","['594', '']","['0', '']","['0', '']","['0', '']","['25,000', '']","['0', '']","['0', '']"
7857,r049,"California -> Public -> California State U., Sacramento",California,Public,"California State U., Sacramento",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['8,530', '']","['0', '']","['0', '']","['5,700', '']","['0', '']"
7857,r050,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['0', '']","['0', '']","['1,379', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r051,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['ne', '']","['ne', '']","['NA', '']","['482', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r052,"California -> Public -> California State U., Stanislaus",California,Public,"California State U., Stanislaus",3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,002', '']"
7857,r053,California -> Public -> Humboldt State U.,California,Public,Humboldt State U.,3,"['0', '']","['NA', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['120,000', '']","['12,250', '']","['0', '']"
7857,r054,California -> Public -> San Diego State U.,California,Public,San Diego State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['18,231', '']","['0', '']","['0', '']","['0', '']","['160,000', '']","['0', '']"
7857,r055,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['NA', '']","['2,119', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['33,000', '']","['0', '']","['0', '']","['0', '']"
7857,r056,California -> Public -> San Jose State U.,California,Public,San Jose State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['43,661', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r057,California -> Public -> Sonoma State U.,California,Public,Sonoma State U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r058,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['1,811', '']","['178,506', '']","['149,474', '']","['60,530', '']","['0', '']","['55,000', '']","['0', '']","['100,000', '']","['550,000', '']","['1,214,195', '']","['0', '']"
7857,r059,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['463,085', '']","['0', '']","['186,219', '']","['4,890', '']","['10,788', '']","['12,782', '']","['13,533', '']","['68,828', '']","['0', '']","['260,000', '']","['0', '']"
7857,r060,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['133,707', '']","['56,830', '']","['5,163', '']","['0', '']","['0', '']","['0', '']","['43,060', '']","['61,770', '']","['188,430', '']","['0', '']","['0', '']"
7857,r061,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['155,378', '']","['0', '']","['0', '']","['101,200', '']","['177,400', '']","['4,980', '']","['177,400', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r062,"California -> Public -> U. California, Merced",California,Public,"U. California, Merced",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['73,221', '']","['0', '']","['227,000', '']","['0', '']","['0', '']"
7857,r063,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['49,371', '']","['80,856', '']","['37,550', '']","['648', '']","['0', '']","['66,980', '']","['27,405', '']","['0', '']","['0', '']","['115,000', '']","['0', '']"
7857,r064,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['73,608', '']","['0', '']","['353,395', '']","['106,596', '']","['0', '']","['121,424', '']","['3,689', '']","['0', '']","['83,000', '']","['0', '']","['0', '']"
7857,r065,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['135,000', '']","['275,590', '']","['173,000', '']","['118,600', '']","['0', '']","['106,700', '']","['0', '']","['0', '']","['780,800', '']","['0', '']","['0', '']"
7857,r066,"California -> Public -> U. California, Santa Barbara",California,Public,"U. California, Santa Barbara",3,"['10,793', '']","['12,239', '']","['2,157', '']","['0', '']","['74,704', '']","['821', '']","['65,010', '']","['0', '']","['0', '']","['373,020', '']","['0', '']"
7857,r067,"California -> Public -> U. California, Santa Cruz",California,Public,"U. California, Santa Cruz",3,"['0', '']","['77,491', '']","['0', '']","['0', '']","['80,531', '']","['0', '']","['0', '']","['0', '']","['0', '']","['30,000', '']","['0', '']"
7857,r068,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
7857,r069,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', 'i']","['0', '']","['0', '']","['250', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r070,California -> Private -> Biola U.,California,Private,Biola U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r071,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,3,"['45,622', '']","['35,250', '']","['0', '']","['28,748', '']","['0', '']","['0', '']","['108,187', '']","['0', '']","['154,000', '']","['0', '']","['0', '']"
7857,r072,California -> Private -> Chapman U.,California,Private,Chapman U.,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['0', 'i']","['30,179', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r073,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r074,California -> Private -> Claremont Graduate U.,California,Private,Claremont Graduate U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r075,California -> Private -> Claremont McKenna C.<sup>a</sup>,California,Private,Claremont McKenna C.<sup>a</sup>,3,"['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', 'i']","['0', 'i']","['0', 'i']"
7857,r076,California -> Private -> Fielding Graduate U.,California,Private,Fielding Graduate U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r077,California -> Private -> Harvey Mudd C.,California,Private,Harvey Mudd C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['9,504', '']","['0', '']","['0', '']","['25,000', '']","['0', '']"
7857,r078,California -> Private -> Keck Graduate Institute,California,Private,Keck Graduate Institute,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r079,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,3,"['0', '']","['2,854', '']","['0', '']","['6,127', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r080,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,3,"['0', '']","['0', '']","['0', '']","['13,200', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['54,000', '']","['0', '']"
7857,r081,California -> Private -> Marshall B. Ketchum U.,California,Private,Marshall B. Ketchum U.,3,"['ne', '']","['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r082,California -> Private -> Occidental C.,California,Private,Occidental C.,3,"['0', '']","['0', '']","['2,262', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['30,000', '']"
7857,r083,California -> Private -> Pepperdine U.,California,Private,Pepperdine U.,3,"['ne', '']","['ne', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['ne', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r084,California -> Private -> Pomona C.,California,Private,Pomona C.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['50,235', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7857,r085,California -> Private -> Santa Clara U.,California,Private,Santa Clara U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', 'i']","['0', '']","['0', '']","['0', '']","['0', '']"
