table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_dod_number,field_dod_percent,field_doe_number,field_doe_percent,field_hhs_nih_number,field_hhs_nih_percent,field_hhs_other_hhs_number,field_hhs_other_hhs_percent,field_nasa_number,field_nasa_percent,field_nsf_number,field_nsf_percent,field_usda_number,field_usda_percent,field_other_number,field_other_percent
8316,r001,All graduate students,All graduate students,,,,1,82588,9575,11.6,6016,7.3,23088,28.0,2866,3.5,2211,2.7,21743,26.3,3244,3.9,13845,16.8
8316,r002,All graduate students -> Science,All graduate students,Science,,,2,52801,3885,7.4,2983,5.6,18083,34.2,1588,3.0,1309,2.5,13563,25.7,2819,5.3,8571,16.2
8316,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,1755,17,1.0,28,1.6,152,8.7,112,6.4,6,0.3,139,7.9,1102,62.8,199,11.3
8316,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,20832,414,2.0,198,1.0,14222,68.3,765,3.7,79,0.4,2518,12.1,722,3.5,1914,9.2
8316,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,6180,1387,22.4,136,2.2,388,6.3,125,2.0,46,0.7,2869,46.4,69,1.1,1160,18.8
8316,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2651,141,5.3,102,3.8,16,0.6,15,0.6,441,16.6,1267,47.8,32,1.2,637,24.0
8316,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,1605,151,9.4,42,2.6,198,12.3,29,1.8,23,1.4,940,58.6,18,1.1,204,12.7
8316,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,760,54,7.1,38,5.0,197,25.9,16,2.1,9,1.2,156,20.5,39,5.1,251,33.0
8316,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,1531,52,3.4,44,2.9,81,5.3,84,5.5,43,2.8,301,19.7,433,28.3,493,32.2
8316,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,11216,891,7.9,2355,21.0,1778,15.9,197,1.8,619,5.5,4261,38.0,22,0.2,1093,9.7
8316,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,3033,226,7.5,15,0.5,854,28.2,159,5.2,9,0.3,410,13.5,15,0.5,1345,44.3
8316,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,3238,552,17.0,25,0.8,197,6.1,86,2.7,34,1.1,702,21.7,367,11.3,1275,39.4
8316,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,25302,5358,21.2,3017,11.9,3416,13.5,714,2.8,898,3.5,8027,31.7,384,1.5,3488,13.8
8316,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1291,618,47.9,76,5.9,2,0.2,3,0.2,220,17.0,206,16.0,2,0.2,164,12.7
8316,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,3281,167,5.1,16,0.5,2076,63.3,86,2.6,12,0.4,639,19.5,32,1.0,253,7.7
8316,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,2589,233,9.0,551,21.3,321,12.4,67,2.6,49,1.9,1072,41.4,28,1.1,268,10.4
8316,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,2350,197,8.4,195,8.3,43,1.8,123,5.2,100,4.3,828,35.2,66,2.8,798,34.0
8316,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,5987,1897,31.7,456,7.6,423,7.1,110,1.8,152,2.5,2274,38.0,46,0.8,629,10.5
8316,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,1206,511,42.4,57,4.7,45,3.7,36,3.0,20,1.7,335,27.8,10,0.8,192,15.9
8316,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,4255,1065,25.0,615,14.5,250,5.9,90,2.1,211,5.0,1449,34.1,34,0.8,541,12.7
8316,r021,"All graduate students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,1884,358,19.0,463,24.6,69,3.7,68,3.6,71,3.8,628,33.3,8,0.4,219,11.6
8316,r022,All graduate students -> Engineering -> Other engineering,All graduate students,Engineering,Other engineering,,3,2459,312,12.7,588,23.9,187,7.6,131,5.3,63,2.6,596,24.2,158,6.4,424,17.2
8316,r023,All graduate students -> Health,All graduate students,Health,,,2,4485,332,7.4,16,0.4,1589,35.4,564,12.6,4,0.1,153,3.4,41,0.9,1786,39.8
8316,r024,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,1918,95,5.0,11,0.6,605,31.5,348,18.1,2,0.1,38,2.0,22,1.1,797,41.6
8316,r025,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,2567,237,9.2,5,0.2,984,38.3,216,8.4,2,0.1,115,4.5,19,0.7,989,38.5
8316,r026,All graduate students -> Master's students,All graduate students,Master's students,,,2,14918,2931,19.6,556,3.7,1024,6.9,653,4.4,291,2.0,2012,13.5,1284,8.6,6167,41.3
8316,r027,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,8608,1193,13.9,148,1.7,619,7.2,264,3.1,120,1.4,1272,14.8,1165,13.5,3827,44.5
8316,r028,All graduate students -> Master's students -> Science -> Agricultural and veterinary sciences,All graduate students,Master's students,Science,Agricultural and veterinary sciences,4,766,5,0.7,7,0.9,25,3.3,58,7.6,2,0.3,47,6.1,522,68.1,100,13.1
8316,r029,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,1577,52,3.3,18,1.1,385,24.4,69,4.4,9,0.6,220,14.0,200,12.7,624,39.6
8316,r030,All graduate students -> Master's students -> Science -> Computer and information sciences,All graduate students,Master's students,Science,Computer and information sciences,4,1602,387,24.2,28,1.7,56,3.5,31,1.9,13,0.8,363,22.7,38,2.4,686,42.8
8316,r031,"All graduate students -> Master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,704,49,7.0,22,3.1,3,0.4,5,0.7,60,8.5,278,39.5,15,2.1,272,38.6
8316,r032,All graduate students -> Master's students -> Science -> Mathematics and statistics,All graduate students,Master's students,Science,Mathematics and statistics,4,220,31,14.1,6,2.7,35,15.9,0,0.0,0,0.0,48,21.8,3,1.4,97,44.1
8316,r033,All graduate students -> Master's students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Master's students,Science,Multidisciplinary and interdisciplinary studies,4,271,24,8.9,3,1.1,8,3.0,2,0.7,1,0.4,24,8.9,10,3.7,199,73.4
8316,r034,All graduate students -> Master's students -> Science -> Natural resources and conservation,All graduate students,Master's students,Science,Natural resources and conservation,4,749,39,5.2,18,2.4,14,1.9,49,6.5,10,1.3,94,12.6,230,30.7,295,39.4
8316,r035,All graduate students -> Master's students -> Science -> Physical sciences,All graduate students,Master's students,Science,Physical sciences,4,336,70,20.8,30,8.9,27,8.0,3,0.9,15,4.5,93,27.7,5,1.5,93,27.7
8316,r036,All graduate students -> Master's students -> Science -> Psychology,All graduate students,Master's students,Science,Psychology,4,994,66,6.6,9,0.9,37,3.7,32,3.2,3,0.3,20,2.0,8,0.8,819,82.4
8316,r037,All graduate students -> Master's students -> Science -> Social sciences,All graduate students,Master's students,Science,Social sciences,4,1389,470,33.8,7,0.5,29,2.1,15,1.1,7,0.5,85,6.1,134,9.6,642,46.2
8316,r038,All graduate students -> Master's students -> Engineering,All graduate students,Master's students,Engineering,,3,4044,1479,36.6,402,9.9,145,3.6,105,2.6,169,4.2,680,16.8,94,2.3,970,24.0
8316,r039,"All graduate students -> Master's students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Master's students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,412,262,63.6,16,3.9,0,0.0,0,0.0,55,13.3,35,8.5,0,0.0,44,10.7
8316,r040,"All graduate students -> Master's students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Master's students,Engineering,"Biological, biomedical, and biosystems engineering",4,194,21,10.8,1,0.5,63,32.5,7,3.6,2,1.0,19,9.8,7,3.6,74,38.1
