table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12733,r001,United States,United States,,,,1,"['74,942', '']","['5,714', '']","['4,984', '']","['27,580', '']","['2,650', '']","['13,283', '']","['1,730', '']","['5,042', '']","['1,877', '']","['3,652', '']","['8,430', '']"
12733,r002,United States -> Public,United States,Public,,,2,"['36,009', '']","['2,808', '']","['2,967', '']","['12,416', '']","['1,277', '']","['5,180', '']","['520', '']","['3,107', '']","['840', '']","['1,784', '']","['5,110', '']"
12733,r003,United States -> Private,United States,Private,,,2,"['38,933', '']","['2,906', '']","['2,017', '']","['15,164', '']","['1,373', '']","['8,103', '']","['1,210', '']","['1,935', '']","['1,037', '']","['1,868', '']","['3,320', '']"
12733,r004,United States -> Alabama,United States,Alabama,,,2,"['1,990', '']","['52', '']","['90', '']","['376', '']","['355', '']","['322', '']","['0', '']","['0', '']","['140', '']","['52', '']","['603', '']"
12733,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,619', '']","['52', '']","['90', '']","['191', '']","['355', '']","['322', '']","['0', '']","['0', '']","['0', '']","['6', '']","['603', '']"
12733,r006,"United States -> Alabama -> Public -> Auburn U., Montgomery",United States,Alabama,Public,"Auburn U., Montgomery",4,"['864', '']","['52', '']","['0', '']","['146', '']","['88', '']","['207', '']","['0', '']","['0', '']","['0', '']","['0', '']","['371', '']"
12733,r007,United States -> Alabama -> Public -> Jacksonville State U.,United States,Alabama,Public,Jacksonville State U.,4,"['423', '']","['0', '']","['90', '']","['45', '']","['57', '']","['0', '']","['0', '']","['0', '']","['0', '']","['6', '']","['225', '']"
12733,r008,United States -> Alabama -> Public -> U. North Alabama,United States,Alabama,Public,U. North Alabama,4,"['332', '']","['0', '']","['0', '']","['0', '']","['210', '']","['115', '']","['0', '']","['0', '']","['0', '']","['0', '']","['7', '']"
12733,r009,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['371', '']","['0', '']","['0', '']","['185', '']","['0', '']","['0', '']","['0', '']","['0', '']","['140', '']","['46', '']","['0', '']"
12733,r010,"United States -> Alabama -> Private -> Alabama C., Osteopathic Medicine",United States,Alabama,Private,"Alabama C., Osteopathic Medicine",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12733,r011,United States -> Alabama -> Private -> Oakwood U.,United States,Alabama,Private,Oakwood U.,4,"['371', '']","['0', '']","['0', '']","['185', '']","['0', '']","['0', '']","['0', '']","['0', '']","['140', '']","['46', '']","['0', '']"
12733,r012,United States -> Arizona,United States,Arizona,,,2,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12733,r013,United States -> Arizona -> Private,United States,Arizona,Private,,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12733,r014,United States -> Arizona -> Private -> Sonoran U. Health Sciences,United States,Arizona,Private,Sonoran U. Health Sciences,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12733,r015,United States -> Arkansas,United States,Arkansas,,,2,"['1,665', '']","['58', '']","['0', '']","['450', '']","['62', '']","['619', '']","['0', '']","['233', '']","['65', '']","['178', '']","['0', '']"
12733,r016,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['645', '']","['7', '']","['0', '']","['0', '']","['62', '']","['299', '']","['0', '']","['212', '']","['65', '']","['0', '']","['0', '']"
