table_id,row_id,_b_field_and_primary_source_of_support_b_full_path,_b_field_and_primary_source_of_support_b_level_1,_b_field_and_primary_source_of_support_b_level_2,_b_field_and_primary_source_of_support_b_level_3,_b_field_and_primary_source_of_support_b_level_4,_b_field_and_primary_source_of_support_b_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
11682,r001,All doctorate recipients (number),All doctorate recipients (number),,,,1,57862,30356,27499,35566,19393,3449,115,3828,2725,23057,1296,459,637
11682,r002,"All doctorate recipients reporting primary source of support, all fields (number)","All doctorate recipients reporting primary source of support, all fields (number)",,,,1,51139,26849,24284,32973,17878,3178,92,3611,2507,21838,1263,314,170
11682,r003,"All doctorate recipients reporting primary source of support, all fields (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Teaching assistantships,,,2,21.2,22.0,20.2,19.7,23.8,18.3,10.9,18.1,11.4,21.2,18.1,19.7,20.0
11682,r004,"All doctorate recipients reporting primary source of support, all fields (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Research assistantships or traineeships<sup>b</sup>,,,2,35.6,40.5,30.1,28.8,48.1,22.7,6.5,35.9,16.1,30.1,29.9,28.0,15.3
11682,r005,"All doctorate recipients reporting primary source of support, all fields (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)","Fellowships, scholarships, or dissertation grants",,,2,24.6,22.7,26.6,26.7,20.7,35.3,42.4,30.2,26.7,24.6,30.6,27.7,29.4
11682,r006,"All doctorate recipients reporting primary source of support, all fields (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Own resources,,,2,14.7,10.8,19.1,20.4,4.1,20.5,32.6,12.5,40.8,19.4,17.5,21.7,29.4
11682,r007,"All doctorate recipients reporting primary source of support, all fields (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Employer or other sources,,,2,4.0,4.0,4.0,4.4,3.3,3.2,7.6,3.4,4.9,4.7,3.9,2.9,5.9
11682,r008,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),,,2,40922,22695,18221,25160,15542,2409,58,3064,1534,16706,1034,233,122
11682,r009,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Teaching assistantships,,3,20.2,21.0,19.1,18.3,23.2,16.5,,17.1,12.3,19.4,16.4,,17.2
11682,r010,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Research assistantships or traineeships<sup>b</sup>,,3,41.5,46.1,35.8,34.9,52.2,27.3,,39.5,21.1,36.7,34.8,,18.0
11682,r011,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),"Fellowships, scholarships, or dissertation grants",,3,24.2,21.5,27.5,28.0,18.1,38.9,53.4,29.9,31.3,25.4,32.3,27.5,34.4
11682,r012,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Own resources,,3,10.9,7.9,14.6,15.5,3.4,15.2,29.3,10.4,31.8,14.9,13.4,17.6,23.8
11682,r013,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Employer or other sources,,3,3.2,3.5,2.9,3.3,3.0,2.1,3.4,3.1,3.5,3.5,3.0,3.4,6.6
