table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5461,r001,All institutions,All institutions,,1,-,"['36,510,431', '']","['39,648,595', '']","['38,939,996', '']","['38,264,334', '']","['36,824,271', '']","['36,775,611', '']","['37,676,152', '']","['39,032,917', '']","['40,615,434', '']","['43,239,834', '']","['44,899,794', '']"
5461,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,731,818', '']","['1,875,410', '']","['1,845,845', '']","['1,881,959', '']","['1,936,953', '']","['1,988,993', '']","['2,100,097', '']","['2,173,734', '']","['2,246,705', '']","['2,479,371', '']","['2,679,737', '']"
5461,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['809,433', '']","['921,399', '']","['876,941', '']","['869,623', '']","['849,713', '']","['851,573', '']","['893,050', '']","['912,856', '']","['955,518', '']","['958,103', '']","['987,195', '']"
5461,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['729,779', '']","['801,194', '']","['773,766', '']","['802,114', '']","['733,779', '']","['728,712', '']","['780,080', '']","['822,436', '']","['841,158', '']","['879,954', '']","['877,379', '']"
5461,r005,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,4,"['370,532', '']","['426,088', '']","['482,349', '']","['520,754', '']","['510,422', '']","['548,063', '']","['567,100', '']","['578,107', '']","['646,317', '']","['708,682', '']","['780,894', '']"
5461,r006,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,5,"['561,531', '']","['634,973', '']","['631,961', '']","['619,557', '']","['591,523', '']","['577,833', '']","['585,578', '']","['632,994', '']","['673,792', '']","['724,232', '']","['743,915', '']"
5461,r007,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,6,"['578,889', '']","['635,223', '']","['653,549', '']","['630,009', '']","['597,270', '']","['601,184', '']","['602,336', '']","['639,643', '']","['634,676', '']","['698,138', '']","['726,536', '']"
5461,r008,All institutions -> Stanford U.,All institutions,Stanford U.,2,7,"['576,553', '']","['633,287', '']","['607,578', '']","['625,144', '']","['608,342', '']","['645,633', '']","['668,578', '']","['684,928', '']","['685,871', '']","['713,688', '']","['725,942', '']"
5461,r009,All institutions -> Duke U.,All institutions,Duke U.,2,8,"['513,469', '']","['584,161', '']","['585,636', '']","['580,416', '']","['556,847', '']","['558,566', '']","['574,738', '']","['622,174', '']","['644,179', '']","['708,544', '']","['706,023', '']"
5461,r010,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,9,"['626,816', '']","['689,571', '']","['656,425', '']","['623,939', '']","['606,115', '']","['597,791', '']","['638,336', '']","['653,405', '']","['671,796', '']","['702,747', '']","['705,791', '']"
5461,r011,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,10,"['541,910', '']","['592,541', '']","['597,629', '']","['614,627', '']","['601,933', '']","['577,574', '']","['624,131', '']","['657,879', '']","['681,581', '']","['701,623', '']","['685,851', '']"
5461,r012,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,11,"['581,148', '']","['647,060', '']","['620,070', '']","['601,358', '']","['565,409', '']","['554,658', '']","['575,281', '']","['612,754', '']","['643,129', '']","['671,380', '']","['682,715', '']"
5461,r013,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,12,"['514,693', '']","['570,116', '']","['559,329', '']","['566,117', '']","['544,697', '']","['535,457', '']","['602,705', '']","['606,768', '']","['669,470', '']","['671,047', '']","['676,331', '']"
5461,r014,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,13,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['678,126', '']","['669,023', '']"
5461,r015,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,14,"['522,423', '']","['545,882', '']","['527,899', '']","['489,820', '']","['458,157', '']","['482,771', '']","['479,718', '']","['479,799', '']","['557,986', '']","['587,740', '']","['642,219', '']"
5461,r016,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,15,"['463,301', '']","['459,333', '']","['526,212', '']","['556,185', '']","['516,300', '']","['507,889', '']","['532,669', '']","['528,181', '']","['557,323', '']","['591,201', '']","['632,245', '']"
5461,r017,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,16,"['522,473', '']","['568,389', '']","['557,688', '']","['533,220', '']","['522,251', '']","['506,910', '']","['548,247', '']","['552,983', '']","['555,666', '']","['594,094', '']","['617,902', '']"
5461,r018,All institutions -> Harvard U.,All institutions,Harvard U.,2,17,"['467,237', '']","['530,908', '']","['574,346', '']","['575,868', '']","['554,944', '']","['530,382', '']","['549,539', '']","['565,269', '']","['578,722', '']","['611,123', '']","['598,313', '']"
5461,r019,All institutions -> Yale U.,All institutions,Yale U.,2,18,"['475,010', '']","['518,195', '']","['517,072', '']","['502,439', '']","['475,585', '']","['471,381', '']","['494,504', '']","['531,995', '']","['549,026', '']","['573,491', '']","['582,575', '']"
5461,r020,All institutions -> Cornell U.,All institutions,Cornell U.,2,19,"['446,705', '']","['476,163', '']","['471,024', '']","['444,303', '']","['438,834', '']","['445,266', '']","['427,940', '']","['435,355', '']","['464,468', '']","['522,035', '']","['558,346', '']"
5461,r021,All institutions -> U. Southern California,All institutions,U. Southern California,2,20,"['402,372', '']","['443,458', '']","['433,136', '']","['423,708', '']","['421,887', '']","['408,105', '']","['396,197', '']","['436,515', '']","['488,081', '']","['530,971', '']","['549,528', '']"
5461,r022,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,21,"['466,993', '']","['460,282', '']","['432,434', '']","['402,702', '']","['410,115', '']","['424,723', '']","['436,229', '']","['468,637', '']","['496,648', '']","['531,885', '']","['545,027', '']"
5461,r023,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,22,"['356,193', '']","['393,449', '']","['385,377', '']","['389,757', '']","['385,888', '']","['385,868', '']","['424,638', '']","['438,732', '']","['464,689', '']","['497,740', '']","['527,958', '']"
