table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_all_doctorate_recipients,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
965,r001,All doctorate recipients,All doctorate recipients,,,,1,14.7,16.5,13.3,10.5,16.3,10.1,21.7,15.4,14.0
965,r002,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,2,,,,,,,,,
965,r003,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,3,14.3,16.7,13.1,10.9,16.1,10.7,23.4,16.7,13.8
965,r004,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,3,15.3,16.3,13.6,9.3,16.4,8.3,20.9,14.3,14.2
965,r005,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,2,,,,,,,,,
965,r006,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,3,20.0,20.9,18.8,17.8,20.4,16.7,24.6,18.1,20.5
965,r007,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,3,5.1,6.3,4.9,4.6,3.8,5.3,6.9,4.2,3.8
965,r008,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,
965,r009,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,25.5,27.4,19.9,24.1,24.7,22.4,32.6,25.2,20.0
965,r010,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,
965,r011,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,29.4,44.0,,0.0,19.2,,50.0,,0.0
965,r012,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,12.9,14.4,12.3,11.2,11.3,11.7,18.8,14.9,8.6
965,r013,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,23.0,22.5,26.6,14.3,22.0,21.9,26.1,16.2,24.4
965,r014,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,20.6,21.7,19.5,19.8,21.0,17.9,24.4,17.9,22.0
965,r015,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,23.2,21.3,20.5,22.0,25.4,20.2,24.1,24.3,35.3
965,r016,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,15.3,11.2,,17.5,19.1,,21.6,,8.0
965,r017,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,3.8,4.9,1.8,2.9,4.1,2.1,4.1,6.7,2.0
