table_id,row_id,_b_citizenship_ethnicity_race_and_field_b_full_path,_b_citizenship_ethnicity_race_and_field_b_level_1,_b_citizenship_ethnicity_race_and_field_b_level_2,_b_citizenship_ethnicity_race_and_field_b_level_3,_b_citizenship_ethnicity_race_and_field_b_level_4,_b_citizenship_ethnicity_race_and_field_b_level_5,_b_citizenship_ethnicity_race_and_field_b_level_6,_b_citizenship_ethnicity_race_and_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
6076,r001,All surveyed fields,All surveyed fields,,,,,,1,697813,48.4,414478,51.2,283335,44.3,65681,41.8,29661,41.8
6076,r002,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,,,,,2,487051,53.0,314305,54.9,172746,49.5,29890,47.9,na,na
6076,r003,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,,3,62679,56.6,43750,58.7,18929,51.9,2027,52.2,na,na
6076,r004,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,,3,,,,,,,,,,
6076,r005,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,,4,2042,60.1,1284,60.1,758,60.0,72,65.3,na,na
6076,r006,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,,4,53094,48.5,35075,48.5,18019,48.7,5696,45.2,na,na
6076,r007,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,,4,41916,62.4,30842,63.0,11074,60.5,1081,61.4,na,na
6076,r008,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,4,778,57.7,578,56.9,200,60.0,52,57.7,na,na
6076,r009,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,,4,284055,51.5,175090,53.7,108965,48.1,17123,47.5,na,na
6076,r010,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,,4,17579,54.9,11069,56.4,6510,52.4,555,53.5,na,na
6076,r011,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,,3,24908,51.6,16617,54.4,8291,46.0,3284,45.9,na,na
6076,r012,All surveyed fields -> Temporary visa holders,All surveyed fields,Temporary visa holders,,,,,2,210762,37.9,100173,39.8,110589,36.2,35791,36.7,na,na
6076,r013,All surveyed fields -> Science,All surveyed fields,Science,,,,,2,464646,51.1,267904,53.1,196742,48.5,38741,41.2,18212,41.6
6076,r014,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,,,,3,334959,54.4,204677,55.9,130282,52.0,18276,46.4,na,na
6076,r015,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,4,43705,58.6,28849,60.6,14856,54.6,1264,52.8,na,na
6076,r016,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,4,,,,,,,,,,
6076,r017,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,5,1468,59.5,851,58.3,617,61.3,47,61.7,na,na
6076,r018,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,5,34812,50.2,22270,49.1,12542,52.1,3181,43.5,na,na
6076,r019,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,5,29051,62.8,21126,63.0,7925,62.1,578,58.7,na,na
6076,r020,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,5,553,60.2,403,59.1,150,63.3,26,50.0,na,na
6076,r021,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,5,195406,52.9,112534,54.6,82872,50.6,10924,46.0,na,na
6076,r022,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,5,12244,56.9,7293,58.1,4951,55.1,350,53.7,na,na
6076,r023,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,4,17720,52.3,11351,54.8,6369,47.9,1906,43.5,na,na
6076,r024,All surveyed fields -> Science -> Temporary visa holders,All surveyed fields,Science,Temporary visa holders,,,,3,129687,42.8,63227,44.1,66460,41.5,20465,36.6,na,na
6076,r025,All surveyed fields -> Science -> Agricultural and veterinary sciences,All surveyed fields,Science,Agricultural and veterinary sciences,,,,3,10800,59.2,6487,62.3,4313,54.6,1678,48.7,964,48.9
6076,r026,All surveyed fields -> Science -> Agricultural and veterinary sciences -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,Science,Agricultural and veterinary sciences,U.S. citizens and permanent residents<sup>a</sup>,,,4,7844,61.2,5453,63.2,2391,56.5,851,57.2,na,na
6076,r027,All surveyed fields -> Science -> Agricultural and veterinary sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,Science,Agricultural and veterinary sciences,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,5,823,62.3,626,64.5,197,55.3,73,54.8,na,na
6076,r028,All surveyed fields -> Science -> Agricultural and veterinary sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,Science,Agricultural and veterinary sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,5,,,,,,,,,,
6076,r029,All surveyed fields -> Science -> Agricultural and veterinary sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,Science,Agricultural and veterinary sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,6,27,44.4,20,45.0,7,42.9,5,60.0,na,na
6076,r030,All surveyed fields -> Science -> Agricultural and veterinary sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,Science,Agricultural and veterinary sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,6,335,63.6,207,68.1,128,56.3,150,44.7,na,na
6076,r031,All surveyed fields -> Science -> Agricultural and veterinary sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,Science,Agricultural and veterinary sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,6,378,62.4,279,64.2,99,57.6,14,28.6,na,na
6076,r032,All surveyed fields -> Science -> Agricultural and veterinary sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,Science,Agricultural and veterinary sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,6,15,66.7,14,64.3,1,100.0,0,-,na,na
6076,r033,All surveyed fields -> Science -> Agricultural and veterinary sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,Science,Agricultural and veterinary sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,6,5743,61.0,3949,62.9,1794,56.7,498,60.8,na,na
6076,r034,All surveyed fields -> Science -> Agricultural and veterinary sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,Science,Agricultural and veterinary sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,6,231,63.6,153,66.7,78,57.7,12,33.3,na,na
6076,r035,All surveyed fields -> Science -> Agricultural and veterinary sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All surveyed fields,Science,Agricultural and veterinary sciences,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,5,292,56.5,205,57.6,87,54.0,99,66.7,na,na
6076,r036,All surveyed fields -> Science -> Agricultural and veterinary sciences -> Temporary visa holders,All surveyed fields,Science,Agricultural and veterinary sciences,Temporary visa holders,,,4,2956,54.2,1034,57.6,1922,52.3,827,39.9,na,na
6076,r037,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,,,,3,94825,60.0,39920,65.1,54905,56.3,21902,45.3,8112,47.3
6076,r038,All surveyed fields -> Science -> Biological and biomedical sciences -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,Science,Biological and biomedical sciences,U.S. citizens and permanent residents<sup>a</sup>,,,4,76717,60.5,35226,65.0,41491,56.7,9934,49.4,na,na
6076,r039,All surveyed fields -> Science -> Biological and biomedical sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,Science,Biological and biomedical sciences,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,5,9442,59.9,4464,63.9,4978,56.3,772,54.4,na,na
6076,r040,All surveyed fields -> Science -> Biological and biomedical sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,Science,Biological and biomedical sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,5,,,,,,,,,,
6076,r041,All surveyed fields -> Science -> Biological and biomedical sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,Science,Biological and biomedical sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,6,297,59.9,111,58.6,186,60.8,25,68.0,na,na
6076,r042,All surveyed fields -> Science -> Biological and biomedical sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,Science,Biological and biomedical sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,6,9520,60.0,4682,64.1,4838,56.0,1978,46.1,na,na
6076,r043,All surveyed fields -> Science -> Biological and biomedical sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,Science,Biological and biomedical sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,6,6049,68.7,3834,71.0,2215,64.6,308,60.7,na,na
6076,r044,All surveyed fields -> Science -> Biological and biomedical sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,Science,Biological and biomedical sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,6,137,65.7,84,63.1,53,69.8,17,52.9,na,na
6076,r045,All surveyed fields -> Science -> Biological and biomedical sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,Science,Biological and biomedical sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,6,44974,59.7,19042,64.4,25932,56.3,5739,49.2,na,na
6076,r046,All surveyed fields -> Science -> Biological and biomedical sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,Science,Biological and biomedical sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,6,2851,61.4,1308,65.1,1543,58.3,158,57.6,na,na
6076,r047,All surveyed fields -> Science -> Biological and biomedical sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All surveyed fields,Science,Biological and biomedical sciences,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,5,3447,58.8,1701,64.3,1746,53.5,937,47.4,na,na
6076,r048,All surveyed fields -> Science -> Biological and biomedical sciences -> Temporary visa holders,All surveyed fields,Science,Biological and biomedical sciences,Temporary visa holders,,,4,18108,57.8,4694,65.9,13414,55.0,11968,42.0,na,na
6076,r049,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,,,,3,98864,31.1,80690,32.0,18174,26.9,823,21.4,458,24.5
6076,r050,All surveyed fields -> Science -> Computer and information sciences -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,Science,Computer and information sciences,U.S. citizens and permanent residents<sup>a</sup>,,,4,51796,28.6,44929,28.8,6867,27.1,307,29.0,na,na
6076,r051,All surveyed fields -> Science -> Computer and information sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,Science,Computer and information sciences,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,5,4989,27.7,4541,27.9,448,26.1,11,27.3,na,na
6076,r052,All surveyed fields -> Science -> Computer and information sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,Science,Computer and information sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,5,,,,,,,,,,
6076,r053,All surveyed fields -> Science -> Computer and information sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,Science,Computer and information sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,6,127,37.8,113,37.2,14,42.9,0,-,na,na
6076,r054,All surveyed fields -> Science -> Computer and information sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,Science,Computer and information sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,6,10699,32.0,9479,31.9,1220,32.3,67,34.3,na,na
6076,r055,All surveyed fields -> Science -> Computer and information sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,Science,Computer and information sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,6,5639,38.2,5171,38.2,468,38.0,6,0.0,na,na
6076,r056,All surveyed fields -> Science -> Computer and information sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,Science,Computer and information sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,6,70,25.7,62,24.2,8,37.5,1,100.0,na,na
6076,r057,All surveyed fields -> Science -> Computer and information sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,Science,Computer and information sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,6,25311,24.7,21380,24.8,3931,24.2,179,29.1,na,na
6076,r058,All surveyed fields -> Science -> Computer and information sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,Science,Computer and information sciences,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,6,1789,30.7,1519,31.1,270,28.1,4,25.0,na,na
6076,r059,All surveyed fields -> Science -> Computer and information sciences -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All surveyed fields,Science,Computer and information sciences,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,5,3172,30.7,2664,31.5,508,27.0,39,23.1,na,na
6076,r060,All surveyed fields -> Science -> Computer and information sciences -> Temporary visa holders,All surveyed fields,Science,Computer and information sciences,Temporary visa holders,,,4,47068,33.9,35761,36.1,11307,26.7,516,16.9,na,na
6076,r061,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,,,3,11792,48.9,5277,50.0,6515,48.1,1790,39.9,2150,31.0
