table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_all_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
7566,r001,Male doctorate recipients reporting postgraduation commitments,Male doctorate recipients reporting postgraduation commitments,,,,1,28082,18029,15864,6648,2715,4802,1699,2142,23
7566,r002,Male doctorate recipients reporting postgraduation commitments -> Science and engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,,,2,23408,15296,13560,6282,1565,4563,1150,1716,20
7566,r003,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,,3,602,383,325,154,47,90,34,57,1
7566,r004,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",4,404,267,227,103,34,78,12,39,1
7566,r005,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,4,198,116,98,51,13,12,22,18,0
7566,r006,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,,3,3946,2561,2383,1615,176,488,104,175,3
7566,r007,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",4,718,474,444,314,13,102,15,30,0
7566,r008,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",4,329,236,217,86,24,92,15,19,0
7566,r009,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,4,311,191,179,136,9,31,3,11,1
7566,r010,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Ecology, evolutionary biology, and epidemiology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Ecology, evolutionary biology, and epidemiology",4,395,266,241,163,,,25,25,0
7566,r011,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Genetics and genomics,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Genetics and genomics,4,189,118,108,65,12,28,3,9,1
7566,r012,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Microbiology and immunology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Microbiology and immunology,4,425,293,273,191,16,57,9,19,1
7566,r013,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Neurobiology and neurosciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Neurobiology and neurosciences,4,458,298,280,219,17,38,6,18,0
7566,r014,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Pharmacology and toxicology,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,Pharmacology and toxicology,4,147,84,79,52,,,4,5,0
7566,r015,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Physiology, oncology and cancer biology",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Physiology, oncology and cancer biology",4,372,236,228,157,27,40,4,8,0
7566,r016,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Biological and biomedical sciences -> Biological and biomedical sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Biological and biomedical sciences,"Biological and biomedical sciences, other",4,602,365,334,232,25,57,20,31,0
7566,r017,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,,3,1669,1186,1072,233,178,601,60,111,3
7566,r018,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences -> Computer science,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,Computer science,4,1209,853,779,173,114,455,37,72,2
7566,r019,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Computer and information sciences -> Computer and information sciences, other",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Computer and information sciences,"Computer and information sciences, other",4,460,333,293,60,64,146,23,39,1
7566,r020,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,,3,7050,4438,3998,1529,279,1876,314,434,6
7566,r021,"Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,636,368,351,192,24,123,12,16,1
7566,r022,Male doctorate recipients reporting postgraduation commitments -> Science and engineering -> Engineering -> Chemical and petroleum engineering,Male doctorate recipients reporting postgraduation commitments,Science and engineering,Engineering,Chemical and petroleum engineering,4,912,536,487,224,,237,,49,0
