table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_r_d_expenditures,field_r_d_field_agricultural_sciences_and_natural_resources_and_conservation,field_r_d_field_biological_biomedical_and_health_sciences,field_r_d_field_computer_and_information_sciences,field_r_d_field_geosciences_atmospheric_sciences_and_ocean_sciences,field_r_d_field_mathematics_and_statistics,field_r_d_field_physical_sciences,field_r_d_field_psychology,field_r_d_field_social_sciences,field_r_d_field_engineering,field_r_d_field_other_fields
12495,r001,All agencies,All agencies,,,,,,1,"['34,497,051', ' ']","['1,076,009', 'i']","['6,705,027', ' ']","['1,561,889', ' ']","['1,798,608', ' ']","['247,027', ' ']","['2,435,019', ' ']","['23,625', ' ']","['272,520', ' ']","['17,624,189', ' ']","['2,753,137', 'i']"
12495,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,,,,,2,"['1,685,343', ' ']","['875,344', 'i']","['476,112', 'i']","['11,674', ' ']","['4,900', 'i']","['4,986', ' ']","['86,703', 'i']","['0', ' ']","['84,683', ' ']","['11,566', 'i']","['129,375', 'i']"
12495,r003,All agencies -> Department of Agriculture -> Agricultural Research Service,All agencies,Department of Agriculture,Agricultural Research Service,,,,3,"['1,237,476', '']","['553,690', 'i']","['469,492', 'i']","['1,448', 'i']","['4,900', 'i']","['0', 'i']","['71,501', 'i']","['0', 'i']","['2,673', 'i']","['10,024', 'i']","['123,748', 'i']"
12495,r004,All agencies -> Department of Agriculture -> Agricultural Research Service -> Midwest Area,All agencies,Department of Agriculture,Agricultural Research Service,Midwest Area,,,4,"['165,788', '']","['74,179', 'i']","['62,899', 'i']","['194', 'i']","['657', 'i']","['0', 'i']","['9,579', 'i']","['0', 'i']","['358', 'i']","['1,343', 'i']","['16,579', 'i']"
12495,r005,All agencies -> Department of Agriculture -> Agricultural Research Service -> Northeast Area,All agencies,Department of Agriculture,Agricultural Research Service,Northeast Area,,,4,"['261,199', '']","['116,870', 'i']","['99,098', 'i']","['306', 'i']","['1,034', 'i']","['0', 'i']","['15,092', 'i']","['0', 'i']","['564', 'i']","['2,116', 'i']","['26,120', 'i']"
12495,r006,All agencies -> Department of Agriculture -> Agricultural Research Service -> Pacific West Area,All agencies,Department of Agriculture,Agricultural Research Service,Pacific West Area,,,4,"['208,801', '']","['93,425', 'i']","['79,218', 'i']","['244', 'i']","['827', 'i']","['0', 'i']","['12,065', 'i']","['0', 'i']","['451', 'i']","['1,691', 'i']","['20,880', 'i']"
12495,r007,All agencies -> Department of Agriculture -> Agricultural Research Service -> Plains Area,All agencies,Department of Agriculture,Agricultural Research Service,Plains Area,,,4,"['314,563', '']","['140,747', 'i']","['119,344', 'i']","['368', 'i']","['1,246', 'i']","['0', 'i']","['18,175', 'i']","['0', 'i']","['679', 'i']","['2,548', 'i']","['31,456', 'i']"
12495,r008,All agencies -> Department of Agriculture -> Agricultural Research Service -> Southeast Area,All agencies,Department of Agriculture,Agricultural Research Service,Southeast Area,,,4,"['287,125', '']","['128,470', 'i']","['108,934', 'i']","['336', 'i']","['1,137', 'i']","['0', 'i']","['16,590', 'i']","['0', 'i']","['620', 'i']","['2,326', 'i']","['28,713', 'i']"
12495,r009,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,,,,3,"['48,982', '']","['30,114', '']","['6,620', '']","['0', '']","['0', '']","['1,324', '']","['1,324', '']","['0', '']","['3,972', '']","['0', '']","['5,627', '']"
12495,r010,All agencies -> Department of Agriculture -> Animal and Plant Health Inspection Service -> Forest Pest Methods Laboratory,All agencies,Department of Agriculture,Animal and Plant Health Inspection Service,Forest Pest Methods Laboratory,,,4,"['6,618', '']","['6,618', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
