table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
7860,r001,Alabama,Alabama,,,1,"['15,665', '']","['4,512', '']","['4,276', '']","['0', '']","['892', '']","['0', '']","['5,102', '']","['275', '']","['0', '']","['292', '']","['0', '']","['317', '']","['0', '']"
7860,r002,Alabama -> Public,Alabama,Public,,2,"['15,665', '']","['4,512', '']","['4,276', '']","['0', '']","['892', '']","['0', '']","['5,102', '']","['275', '']","['0', '']","['292', '']","['0', '']","['317', '']","['0', '']"
7860,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['4,804', '']","['4,512', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['292', '']","['0', '']","['0', '']","['0', '']"
7860,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['275', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['275', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r006,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['7,704', '']","['0', '']","['3,034', '']","['0', '']","['0', '']","['0', '']","['4,669', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['677', '']","['0', '']","['360', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['317', '']","['0', '']"
7860,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['2,206', '']","['0', '']","['881', '']","['0', '']","['892', '']","['0', '']","['433', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r011,Alabama -> Private,Alabama,Private,,2,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r012,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r013,Alaska,Alaska,,,1,"['8,478', '']","['499', '']","['4,694', '']","['0', '']","['336', '']","['1,739', '']","['500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['710', '']"
7860,r014,Alaska -> Public,Alaska,Public,,2,"['7,978', '']","['499', '']","['4,694', '']","['0', '']","['336', '']","['1,739', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['710', '']"
7860,r015,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r016,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['6,853', '']","['499', '']","['3,569', '']","['0', '']","['336', '']","['1,739', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['710', '']"
7860,r017,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['1,125', '']","['0', '']","['1,125', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r018,Alaska -> Public -> Private,Alaska,Public,Private,3,"['500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r019,Alaska -> Public -> Alaska Pacific U.,Alaska,Public,Alaska Pacific U.,3,"['500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['500', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r020,Arizona,Arizona,,,1,"['77,057', '']","['3,619', '']","['9,934', '']","['0', '']","['8,945', '']","['3,764', '']","['1,017', '']","['0', '']","['0', '']","['48,860', '']","['0', '']","['617', '']","['300', '']"
7860,r021,Arizona -> Public,Arizona,Public,,2,"['77,057', '']","['3,619', '']","['9,934', '']","['0', '']","['8,945', '']","['3,764', '']","['1,017', '']","['0', '']","['0', '']","['48,860', '']","['0', '']","['617', '']","['300', '']"
7860,r022,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['53,198', '']","['0', '']","['9,934', '']","['0', '']","['8,379', '']","['2,978', '']","['0', '']","['0', '']","['0', '']","['31,607', '']","['0', '']","['0', '']","['300', '']"
7860,r023,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r024,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['23,859', '']","['3,619', '']","['0', '']","['0', '']","['566', '']","['786', '']","['1,017', '']","['0', '']","['0', '']","['17,253', '']","['0', '']","['617', '']","['0', '']"
7860,r025,Arkansas,Arkansas,,,1,"['39,570', '']","['10,977', '']","['5,679', '']","['0', '']","['1,686', '']","['0', '']","['20,581', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['647', '']"
7860,r026,Arkansas -> Public,Arkansas,Public,,2,"['39,570', '']","['10,977', '']","['5,679', '']","['0', '']","['1,686', '']","['0', '']","['20,581', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['647', '']"
7860,r027,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['350', '']","['0', '']","['350', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r028,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['20,221', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['20,221', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r029,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['4,470', '']","['1,777', '']","['0', '']","['0', '']","['1,686', '']","['0', '']","['360', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['647', '']"
7860,r030,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r031,"Arkansas -> Public -> U. Arkansas, Pine Bluff",Arkansas,Public,"U. Arkansas, Pine Bluff",3,"['14,529', '']","['9,200', '']","['5,329', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r032,Arkansas -> Public -> U. Central Arkansas,Arkansas,Public,U. Central Arkansas,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r033,California,California,,,1,"['739,208', '']","['32,090', '']","['182,367', '']","['2,003', '']","['90,827', '']","['23,429', '']","['283,868', '']","['877', '']","['6,000', '']","['55,937', '']","['2,684', '']","['55,834', '']","['3,292', '']"
7860,r034,California -> Public,California,Public,,2,"['581,473', '']","['28,000', '']","['127,489', '']","['2,003', '']","['53,494', '']","['20,378', '']","['247,764', '']","['877', '']","['6,000', '']","['35,867', '']","['1,728', '']","['54,582', '']","['3,292', '']"
7860,r035,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['600', '']","['0', '']","['0', '']","['0', '']","['600', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r036,"California -> Public -> California State Polytechnic U., Pomona",California,Public,"California State Polytechnic U., Pomona",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r037,"California -> Public -> California State U., Bakersfield",California,Public,"California State U., Bakersfield",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r038,"California -> Public -> California State U., Channel Islands",California,Public,"California State U., Channel Islands",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r039,"California -> Public -> California State U., Chico",California,Public,"California State U., Chico",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r040,"California -> Public -> California State U., Dominguez Hills",California,Public,"California State U., Dominguez Hills",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r041,"California -> Public -> California State U., East Bay",California,Public,"California State U., East Bay",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r042,"California -> Public -> California State U., Fresno",California,Public,"California State U., Fresno",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r043,"California -> Public -> California State U., Fullerton",California,Public,"California State U., Fullerton",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r044,"California -> Public -> California State U., Long Beach",California,Public,"California State U., Long Beach",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r045,"California -> Public -> California State U., Los Angeles",California,Public,"California State U., Los Angeles",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r046,"California -> Public -> California State U., Maritime Academy",California,Public,"California State U., Maritime Academy",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r047,"California -> Public -> California State U., Monterey Bay",California,Public,"California State U., Monterey Bay",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r048,"California -> Public -> California State U., Northridge",California,Public,"California State U., Northridge",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r049,"California -> Public -> California State U., Sacramento",California,Public,"California State U., Sacramento",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r050,"California -> Public -> California State U., San Bernardino",California,Public,"California State U., San Bernardino",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r051,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r052,"California -> Public -> California State U., Stanislaus",California,Public,"California State U., Stanislaus",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r053,California -> Public -> Humboldt State U.,California,Public,Humboldt State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r054,California -> Public -> San Diego State U.,California,Public,San Diego State U.,3,"['5,813', '']","['0', '']","['1,834', '']","['0', '']","['2,940', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['250', '']","['0', '']","['789', '']"
7860,r055,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r056,California -> Public -> San Jose State U.,California,Public,San Jose State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r057,California -> Public -> Sonoma State U.,California,Public,Sonoma State U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7860,r058,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['43,300', '']","['0', '']","['19,600', '']","['1,600', '']","['1,100', '']","['400', '']","['3,300', '']","['0', '']","['6,000', '']","['8,700', '']","['0', '']","['400', '']","['2,200', '']"
7860,r059,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['20,172', '']","['0', '']","['1,152', '']","['0', '']","['950', '']","['0', '']","['10,034', '']","['0', '']","['0', '']","['8,036', '']","['0', '']","['0', '']","['0', '']"
7860,r060,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['63,568', '']","['0', '']","['7,304', '']","['0', '']","['10,749', '']","['0', '']","['38,604', '']","['0', '']","['0', '']","['3,814', '']","['0', '']","['3,097', '']","['0', '']"
7860,r061,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['14,578', '']","['0', '']","['515', '']","['0', '']","['1,985', '']","['539', '']","['10,464', '']","['0', '']","['0', '']","['771', '']","['0', '']","['0', '']","['303', '']"
7860,r062,"California -> Public -> U. California, Merced",California,Public,"U. California, Merced",3,"['5,132', '']","['0', '']","['264', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['4,869', '']","['0', '']"
7860,r063,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['28,000', '']","['28,000', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
