table_id,row_id,time_period,proportions_level_1,proportions_level_2,proportions_hierarchy_depth,value
6801,r001,Gender,Proportions,Class 1,2,"['&nbsp;', '&nbsp;']"
6801,r002,Gender,Proportions,Class 2,2,"['&nbsp;', '&nbsp;']"
6801,r003,Gender,Proportions,Class 3,2,"['&nbsp;', '&nbsp;']"
6801,r004,Gender,Proportions,Class 4,2,"['&nbsp;', '&nbsp;']"
6801,r005,Gender,Proportions,Class 5,2,"['&nbsp;', '&nbsp;']"
6801,r006,Gender -> Male,Proportions,Class 1,2,"['0.613', '&nbsp;']"
6801,r007,Gender -> Male,Proportions,Class 2,2,"['0.661', 'a']"
6801,r008,Gender -> Male,Proportions,Class 3,2,"['0.684', 'b']"
6801,r009,Gender -> Male,Proportions,Class 4,2,"['0.724', '&nbsp;']"
6801,r010,Gender -> Male,Proportions,Class 5,2,"['0.680', 'ab']"
6801,r011,Gender -> Male,Proportions,Population,2,0.663
6801,r012,Gender -> Female,Proportions,Class 1,2,"['0.387', '&nbsp;']"
6801,r013,Gender -> Female,Proportions,Class 2,2,"['0.339', 'a']"
6801,r014,Gender -> Female,Proportions,Class 3,2,"['0.316', 'b']"
6801,r015,Gender -> Female,Proportions,Class 4,2,"['0.276', '&nbsp;']"
6801,r016,Gender -> Female,Proportions,Class 5,2,"['0.320', 'ab']"
6801,r017,Gender -> Female,Proportions,Population,2,0.337
6801,r018,Physical disability,Proportions,Class 1,2,"['&nbsp;', '&nbsp;']"
6801,r019,Physical disability,Proportions,Class 2,2,"['&nbsp;', '&nbsp;']"
6801,r020,Physical disability,Proportions,Class 3,2,"['&nbsp;', '&nbsp;']"
6801,r021,Physical disability,Proportions,Class 4,2,"['&nbsp;', '&nbsp;']"
6801,r022,Physical disability,Proportions,Class 5,2,"['&nbsp;', '&nbsp;']"
6801,r023,Physical disability -> No,Proportions,Class 1,2,"['0.916', 'a']"
6801,r024,Physical disability -> No,Proportions,Class 2,2,"['0.910', 'a']"
6801,r025,Physical disability -> No,Proportions,Class 3,2,"['0.888', 'b']"
6801,r026,Physical disability -> No,Proportions,Class 4,2,"['0.890', 'b']"
6801,r027,Physical disability -> No,Proportions,Class 5,2,"['0.859', '&nbsp;']"
6801,r028,Physical disability -> No,Proportions,Population,2,0.899
6801,r029,Physical disability -> Yes,Proportions,Class 1,2,"['0.084', 'a']"
6801,r030,Physical disability -> Yes,Proportions,Class 2,2,"['0.090', 'a']"
6801,r031,Physical disability -> Yes,Proportions,Class 3,2,"['0.112', 'b']"
6801,r032,Physical disability -> Yes,Proportions,Class 4,2,"['0.110', 'b']"
6801,r033,Physical disability -> Yes,Proportions,Class 5,2,"['0.141', '&nbsp;']"
6801,r034,Physical disability -> Yes,Proportions,Population,2,0.101
6801,r035,Race or ethnicity,Proportions,Class 1,2,"['&nbsp;', '&nbsp;']"
6801,r036,Race or ethnicity,Proportions,Class 2,2,"['&nbsp;', '&nbsp;']"
6801,r037,Race or ethnicity,Proportions,Class 3,2,"['&nbsp;', '&nbsp;']"
6801,r038,Race or ethnicity,Proportions,Class 4,2,"['&nbsp;', '&nbsp;']"
6801,r039,Race or ethnicity,Proportions,Class 5,2,"['&nbsp;', '&nbsp;']"
6801,r040,Race or ethnicity -> Asian,Proportions,Class 1,2,"['0.275', 'a']"
6801,r041,Race or ethnicity -> Asian,Proportions,Class 2,2,"['0.220', '&nbsp;']"
6801,r042,Race or ethnicity -> Asian,Proportions,Class 3,2,"['0.266', 'a']"
6801,r043,Race or ethnicity -> Asian,Proportions,Class 4,2,"['0.358', '&nbsp;']"
6801,r044,Race or ethnicity -> Asian,Proportions,Class 5,2,"['0.133', '&nbsp;']"
6801,r045,Race or ethnicity -> Asian,Proportions,Population,2,0.256
6801,r046,Race or ethnicity -> Black,Proportions,Class 1,2,"['0.059', '&nbsp;']"
6801,r047,Race or ethnicity -> Black,Proportions,Class 2,2,"['0.017', 'a']"
6801,r048,Race or ethnicity -> Black,Proportions,Class 3,2,"['0.038', '&nbsp;']"
6801,r049,Race or ethnicity -> Black,Proportions,Class 4,2,"['0.013', 'a']"
6801,r050,Race or ethnicity -> Black,Proportions,Class 5,2,"['0.020', 'a']"
6801,r051,Race or ethnicity -> Black,Proportions,Population,2,0.034
6801,r052,Race or ethnicity -> Hispanic,Proportions,Class 1,2,"['0.068', '&nbsp;']"
6801,r053,Race or ethnicity -> Hispanic,Proportions,Class 2,2,"['0.041', '&nbsp;']"
6801,r054,Race or ethnicity -> Hispanic,Proportions,Class 3,2,"['0.050', '&nbsp;']"
6801,r055,Race or ethnicity -> Hispanic,Proportions,Class 4,2,"['0.031', 'a']"
6801,r056,Race or ethnicity -> Hispanic,Proportions,Class 5,2,"['0.026', 'a']"
6801,r057,Race or ethnicity -> Hispanic,Proportions,Population,2,0.048
6801,r058,Race or ethnicity -> White,Proportions,Class 1,2,"['0.582', 'a']"
6801,r059,Race or ethnicity -> White,Proportions,Class 2,2,"['0.707', '&nbsp;']"
6801,r060,Race or ethnicity -> White,Proportions,Class 3,2,"['0.631', '&nbsp;']"
6801,r061,Race or ethnicity -> White,Proportions,Class 4,2,"['0.586', 'a']"
6801,r062,Race or ethnicity -> White,Proportions,Class 5,2,"['0.809', '&nbsp;']"
6801,r063,Race or ethnicity -> White,Proportions,Population,2,0.647
6801,r064,Race or ethnicity -> Other,Proportions,Class 1,2,"['0.016', 'a']"
6801,r065,Race or ethnicity -> Other,Proportions,Class 2,2,"['0.015', 'a']"
6801,r066,Race or ethnicity -> Other,Proportions,Class 3,2,"['0.016', 'a']"
6801,r067,Race or ethnicity -> Other,Proportions,Class 4,2,"['0.011', 'a']"
6801,r068,Race or ethnicity -> Other,Proportions,Class 5,2,"['0.012', 'a']"
6801,r069,Race or ethnicity -> Other,Proportions,Population,2,0.015
6801,r070,Age,Proportions,Class 1,2,"['&nbsp;', '&nbsp;']"
6801,r071,Age,Proportions,Class 2,2,"['&nbsp;', '&nbsp;']"
6801,r072,Age,Proportions,Class 3,2,"['&nbsp;', '&nbsp;']"
6801,r073,Age,Proportions,Class 4,2,"['&nbsp;', '&nbsp;']"
6801,r074,Age,Proportions,Class 5,2,"['&nbsp;', '&nbsp;']"
6801,r075,Age -> < 30,Proportions,Class 1,2,"['0.008', 'ab']"
6801,r076,Age -> < 30,Proportions,Class 2,2,"['0.006', 'ac']"
6801,r077,Age -> < 30,Proportions,Class 3,2,"['0.011', 'bd']"
6801,r078,Age -> < 30,Proportions,Class 4,2,"['0.009', 'ad']"
6801,r079,Age -> < 30,Proportions,Class 5,2,"['0.003', 'c']"
6801,r080,Age -> < 30,Proportions,Population,2,0.008
6801,r081,Age -> 30&#8211;39 ,Proportions,Class 1,2,"['0.232', 'a']"
6801,r082,Age -> 30&#8211;39 ,Proportions,Class 2,2,"['0.201', 'b']"
6801,r083,Age -> 30&#8211;39 ,Proportions,Class 3,2,"['0.249', 'a']"
6801,r084,Age -> 30&#8211;39 ,Proportions,Class 4,2,"['0.224', 'ab']"
