table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12718,r001,United States,United States,,,,1,"['108,681,008', '']","['3,617,348', '']","['4,032,534', '']","['62,204,360', '']","['1,060,700', '']","['6,944,769', '']","['1,637,829', '']","['3,615,227', '']","['1,194,804', '']","['17,468,446', '']","['6,904,991', '']"
12718,r002,United States -> Public,United States,Public,,,2,"['71,001,044', '']","['2,194,296', '']","['3,221,273', '']","['38,574,747', '']","['579,196', '']","['4,443,444', '']","['1,237,096', '']","['2,403,419', '']","['925,742', '']","['12,463,140', '']","['4,958,691', '']"
12718,r003,United States -> Private,United States,Private,,,2,"['37,679,964', '']","['1,423,052', '']","['811,261', '']","['23,629,613', '']","['481,504', '']","['2,501,325', '']","['400,733', '']","['1,211,808', '']","['269,062', '']","['5,005,306', '']","['1,946,300', '']"
12718,r004,United States -> Alabama,United States,Alabama,,,2,"['1,579,469', '']","['76,492', '']","['58,784', '']","['952,050', '']","['9,550', '']","['62,399', '']","['25,954', '']","['21,792', '']","['4,615', '']","['256,611', '']","['111,222', '']"
12718,r005,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['1,553,844', '']","['75,569', '']","['58,784', '']","['933,861', '']","['8,934', '']","['60,258', '']","['25,954', '']","['21,787', '']","['4,143', '']","['253,349', '']","['111,205', '']"
12718,r006,United States -> Alabama -> Public -> Alabama A&M U.,United States,Alabama,Public,Alabama A&M U.,4,"['15,588', '']","['557', 'i']","['0', 'i']","['9,197', 'i']","['118', 'i']","['1,143', 'i']","['310', 'i']","['447', 'i']","['0', 'i']","['3,018', 'i']","['798', 'i']"
12718,r007,United States -> Alabama -> Public -> Alabama State U.,United States,Alabama,Public,Alabama State U.,4,"['3,229', '']","['255', '']","['0', '']","['2,579', '']","['141', '']","['0', '']","['0', '']","['0', '']","['0', '']","['14', '']","['240', '']"
12718,r008,"United States -> Alabama -> Public -> Auburn U., Auburn",United States,Alabama,Public,"Auburn U., Auburn",4,"['349,273', '']","['6,337', '']","['5,277', '']","['147,192', '']","['4,229', '']","['19,616', '']","['3,763', '']","['4,507', '']","['3,879', '']","['108,344', '']","['46,129', '']"
12718,r009,United States -> Alabama -> Public -> Troy U.,United States,Alabama,Public,Troy U.,4,"['3,785', '']","['0', '']","['133', '']","['373', '']","['0', '']","['2,538', '']","['12', '']","['24', '']","['0', '']","['47', '']","['658', '']"
12718,r010,"United States -> Alabama -> Public -> U. Alabama, Birmingham",United States,Alabama,Public,"U. Alabama, Birmingham",4,"['780,479', '']","['1,013', '']","['0', '']","['721,450', '']","['169', '']","['5,624', '']","['11,715', '']","['782', '']","['0', '']","['28,505', '']","['11,221', '']"
