table_id,row_id,_b_citizenship_ethnicity_and_race_b_full_path,_b_citizenship_ethnicity_and_race_b_level_1,_b_citizenship_ethnicity_and_race_b_level_2,_b_citizenship_ethnicity_and_race_b_level_3,_b_citizenship_ethnicity_and_race_b_level_4,_b_citizenship_ethnicity_and_race_b_level_5,_b_citizenship_ethnicity_and_race_b_hierarchy_depth,field_total,field_male,field_female
3454,r001,Imputation rate (%),Imputation rate (%),,,,,1,,,
3454,r002,Imputation rate (%) -> All postdoctoral appointees,Imputation rate (%),All postdoctoral appointees,,,,2,4.5,5.2,5.3
3454,r003,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup>,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,,,3,,,
3454,r004,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,8.7,8.4,9.1
3454,r005,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,
3454,r006,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,11.6,7.1,14.6
3454,r007,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,11.4,12.2,10.4
3454,r008,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,6.3,5.8,6.7
3454,r009,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,1.9,0.0,3.8
3454,r010,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,7.3,7.3,7.3
