table_id,row_id,time_period,_b_all_full_time_graduate_students_b_level_1,_b_all_full_time_graduate_students_b_level_2,_b_all_full_time_graduate_students_b_level_3,_b_all_full_time_graduate_students_b_hierarchy_depth,value
3480,r001,1975,All full-time graduate students,Total,,2,219648
3480,r002,1975,All full-time graduate students,First time,Number,3,76686
3480,r003,1975,All full-time graduate students,First time,Percent,3,34.9
3480,r004,1975,Full-time master's students,Total,,2,na
3480,r005,1975,Full-time master's students,First time,Number,3,na
3480,r006,1975,Full-time master's students,First time,Percent,3,na
3480,r007,1975,Full-time doctoral students,Total,,2,na
3480,r008,1975,Full-time doctoral students,First time,Number,3,na
3480,r009,1975,Full-time doctoral students,First time,Percent,3,na
3480,r010,1976,All full-time graduate students,Total,,2,223412
3480,r011,1976,All full-time graduate students,First time,Number,3,90811
3480,r012,1976,All full-time graduate students,First time,Percent,3,40.6
3480,r013,1976,Full-time master's students,Total,,2,na
3480,r014,1976,Full-time master's students,First time,Number,3,na
3480,r015,1976,Full-time master's students,First time,Percent,3,na
3480,r016,1976,Full-time doctoral students,Total,,2,na
3480,r017,1976,Full-time doctoral students,First time,Number,3,na
3480,r018,1976,Full-time doctoral students,First time,Percent,3,na
3480,r019,1977,All full-time graduate students,Total,,2,226738
3480,r020,1977,All full-time graduate students,First time,Number,3,93116
3480,r021,1977,All full-time graduate students,First time,Percent,3,41.1
3480,r022,1977,Full-time master's students,Total,,2,na
3480,r023,1977,Full-time master's students,First time,Number,3,na
3480,r024,1977,Full-time master's students,First time,Percent,3,na
3480,r025,1977,Full-time doctoral students,Total,,2,na
3480,r026,1977,Full-time doctoral students,First time,Number,3,na
3480,r027,1977,Full-time doctoral students,First time,Percent,3,na
3480,r028,1978<sup>a</sup>,All full-time graduate students,Total,,2,223030
3480,r029,1978<sup>a</sup>,All full-time graduate students,First time,Number,3,70578
3480,r030,1978<sup>a</sup>,All full-time graduate students,First time,Percent,3,31.6
3480,r031,1978<sup>a</sup>,Full-time master's students,Total,,2,na
3480,r032,1978<sup>a</sup>,Full-time master's students,First time,Number,3,na
3480,r033,1978<sup>a</sup>,Full-time master's students,First time,Percent,3,na
3480,r034,1978<sup>a</sup>,Full-time doctoral students,Total,,2,na
3480,r035,1978<sup>a</sup>,Full-time doctoral students,First time,Number,3,na
3480,r036,1978<sup>a</sup>,Full-time doctoral students,First time,Percent,3,na
3480,r037,1979,All full-time graduate students,Total,,2,231760
3480,r038,1979,All full-time graduate students,First time,Number,3,76788
3480,r039,1979,All full-time graduate students,First time,Percent,3,33.1
3480,r040,1979,Full-time master's students,Total,,2,na
3480,r041,1979,Full-time master's students,First time,Number,3,na
3480,r042,1979,Full-time master's students,First time,Percent,3,na
3480,r043,1979,Full-time doctoral students,Total,,2,na
3480,r044,1979,Full-time doctoral students,First time,Number,3,na
3480,r045,1979,Full-time doctoral students,First time,Percent,3,na
3480,r046,1980,All full-time graduate students,Total,,2,238416
3480,r047,1980,All full-time graduate students,First time,Number,3,81259
3480,r048,1980,All full-time graduate students,First time,Percent,3,34.1
3480,r049,1980,Full-time master's students,Total,,2,na
3480,r050,1980,Full-time master's students,First time,Number,3,na
3480,r051,1980,Full-time master's students,First time,Percent,3,na
3480,r052,1980,Full-time doctoral students,Total,,2,na
3480,r053,1980,Full-time doctoral students,First time,Number,3,na
3480,r054,1980,Full-time doctoral students,First time,Percent,3,na
3480,r055,1981,All full-time graduate students,Total,,2,242049
3480,r056,1981,All full-time graduate students,First time,Number,3,80003
3480,r057,1981,All full-time graduate students,First time,Percent,3,33.1
3480,r058,1981,Full-time master's students,Total,,2,na
3480,r059,1981,Full-time master's students,First time,Number,3,na
3480,r060,1981,Full-time master's students,First time,Percent,3,na
3480,r061,1981,Full-time doctoral students,Total,,2,na
3480,r062,1981,Full-time doctoral students,First time,Number,3,na
3480,r063,1981,Full-time doctoral students,First time,Percent,3,na
3480,r064,1982,All full-time graduate students,Total,,2,244757
3480,r065,1982,All full-time graduate students,First time,Number,3,80257
3480,r066,1982,All full-time graduate students,First time,Percent,3,32.8
3480,r067,1982,Full-time master's students,Total,,2,na
3480,r068,1982,Full-time master's students,First time,Number,3,na
3480,r069,1982,Full-time master's students,First time,Percent,3,na
3480,r070,1982,Full-time doctoral students,Total,,2,na
3480,r071,1982,Full-time doctoral students,First time,Number,3,na
3480,r072,1982,Full-time doctoral students,First time,Percent,3,na
3480,r073,1983,All full-time graduate students,Total,,2,252017
3480,r074,1983,All full-time graduate students,First time,Number,3,81606
3480,r075,1983,All full-time graduate students,First time,Percent,3,32.4
3480,r076,1983,Full-time master's students,Total,,2,na
3480,r077,1983,Full-time master's students,First time,Number,3,na
3480,r078,1983,Full-time master's students,First time,Percent,3,na
3480,r079,1983,Full-time doctoral students,Total,,2,na
3480,r080,1983,Full-time doctoral students,First time,Number,3,na
3480,r081,1983,Full-time doctoral students,First time,Percent,3,na
3480,r082,1984,All full-time graduate students,Total,,2,253922
3480,r083,1984,All full-time graduate students,First time,Number,3,80186
3480,r084,1984,All full-time graduate students,First time,Percent,3,31.6
3480,r085,1984,Full-time master's students,Total,,2,na
3480,r086,1984,Full-time master's students,First time,Number,3,na
3480,r087,1984,Full-time master's students,First time,Percent,3,na
3480,r088,1984,Full-time doctoral students,Total,,2,na
3480,r089,1984,Full-time doctoral students,First time,Number,3,na
3480,r090,1984,Full-time doctoral students,First time,Percent,3,na
3480,r091,1985,All full-time graduate students,Total,,2,257287
3480,r092,1985,All full-time graduate students,First time,Number,3,80678
3480,r093,1985,All full-time graduate students,First time,Percent,3,31.4
3480,r094,1985,Full-time master's students,Total,,2,na
3480,r095,1985,Full-time master's students,First time,Number,3,na
3480,r096,1985,Full-time master's students,First time,Percent,3,na
3480,r097,1985,Full-time doctoral students,Total,,2,na
3480,r098,1985,Full-time doctoral students,First time,Number,3,na
3480,r099,1985,Full-time doctoral students,First time,Percent,3,na
3480,r100,1986,All full-time graduate students,Total,,2,266168
3480,r101,1986,All full-time graduate students,First time,Number,3,82548
3480,r102,1986,All full-time graduate students,First time,Percent,3,31.0
3480,r103,1986,Full-time master's students,Total,,2,na
3480,r104,1986,Full-time master's students,First time,Number,3,na
3480,r105,1986,Full-time master's students,First time,Percent,3,na
3480,r106,1986,Full-time doctoral students,Total,,2,na
3480,r107,1986,Full-time doctoral students,First time,Number,3,na
3480,r108,1986,Full-time doctoral students,First time,Percent,3,na
3480,r109,1987,All full-time graduate students,Total,,2,271056
3480,r110,1987,All full-time graduate students,First time,Number,3,80843
3480,r111,1987,All full-time graduate students,First time,Percent,3,29.8
3480,r112,1987,Full-time master's students,Total,,2,na
3480,r113,1987,Full-time master's students,First time,Number,3,na
3480,r114,1987,Full-time master's students,First time,Percent,3,na
3480,r115,1987,Full-time doctoral students,Total,,2,na
3480,r116,1987,Full-time doctoral students,First time,Number,3,na
3480,r117,1987,Full-time doctoral students,First time,Percent,3,na
3480,r118,1988,All full-time graduate students,Total,,2,275127
3480,r119,1988,All full-time graduate students,First time,Number,3,80580
3480,r120,1988,All full-time graduate students,First time,Percent,3,29.3
3480,r121,1988,Full-time master's students,Total,,2,na
3480,r122,1988,Full-time master's students,First time,Number,3,na
3480,r123,1988,Full-time master's students,First time,Percent,3,na
3480,r124,1988,Full-time doctoral students,Total,,2,na
3480,r125,1988,Full-time doctoral students,First time,Number,3,na
3480,r126,1988,Full-time doctoral students,First time,Percent,3,na
3480,r127,1989,All full-time graduate students,Total,,2,282648
3480,r128,1989,All full-time graduate students,First time,Number,3,84532
3480,r129,1989,All full-time graduate students,First time,Percent,3,29.9
3480,r130,1989,Full-time master's students,Total,,2,na
3480,r131,1989,Full-time master's students,First time,Number,3,na
3480,r132,1989,Full-time master's students,First time,Percent,3,na
3480,r133,1989,Full-time doctoral students,Total,,2,na
3480,r134,1989,Full-time doctoral students,First time,Number,3,na
3480,r135,1989,Full-time doctoral students,First time,Percent,3,na
3480,r136,1990,All full-time graduate students,Total,,2,292782
3480,r137,1990,All full-time graduate students,First time,Number,3,87401
3480,r138,1990,All full-time graduate students,First time,Percent,3,29.9
3480,r139,1990,Full-time master's students,Total,,2,na
