table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_male,field_female,field_researchers_including_r_d_scientists_engineers_and_their_managers_,field_r_d_technicians_and_equivalent_staff,field_r_d_support_staff_clerical_and_other_
7726,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['816', '&nbsp;']","['606', '&nbsp;']","['210', '&nbsp;']","['509', '&nbsp;']","['202', '&nbsp;']","['105', '&nbsp;']"
7726,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['133', '&nbsp;']","['118', '&nbsp;']","['16', '&nbsp;']","['83', '&nbsp;']","['42', 'r']","['8', '&nbsp;']"
7726,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['3', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']"
7726,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['30', '&nbsp;']","['27', '&nbsp;']","['3', 'r']","['27', '&nbsp;']","['0', '&nbsp;']","['3', 'r']"
7726,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['298', 'r']","['260', 'r']","['38', 'r']","['226', 'r']","['32', 'r']","['40', 'r']"
7726,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['499', '&nbsp;']","['451', '&nbsp;']","['48', '&nbsp;']","['398', '&nbsp;']","['67', '&nbsp;']","['35', 'r']"
7726,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['1,658', '&nbsp;']","['1,425', '&nbsp;']","['233', '&nbsp;']","['1,181', '&nbsp;']","['379', '&nbsp;']","['98', '&nbsp;']"
7726,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['332', '&nbsp;']","['303', '&nbsp;']","['29', '&nbsp;']","['226', '&nbsp;']","['93', '&nbsp;']","['12', '&nbsp;']"
7726,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['1,066', '&nbsp;']","['879', '&nbsp;']","['186', '&nbsp;']","['778', '&nbsp;']","['226', '&nbsp;']","['61', '&nbsp;']"
7726,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['260', '&nbsp;']","['243', '&nbsp;']","['18', '&nbsp;']","['177', '&nbsp;']","['59', '&nbsp;']","['24', 'r']"
7726,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['225', '&nbsp;']","['210', '&nbsp;']","['15', 'r']","['172', '&nbsp;']","['34', '&nbsp;']","['19', 'r']"
7726,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['262', '&nbsp;']","['245', '&nbsp;']","['17', '&nbsp;']","['116', '&nbsp;']","['108', '&nbsp;']","['38', '&nbsp;']"
7726,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['152', '&nbsp;']","['140', '&nbsp;']","['13', '&nbsp;']","['80', '&nbsp;']","['56', '&nbsp;']","['17', '&nbsp;']"
7726,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['110', '&nbsp;']","['105', '&nbsp;']","['4', 'r']","['36', '&nbsp;']","['52', '&nbsp;']","['22', 'r']"
7726,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['3', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']"
7726,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['375', '&nbsp;']","['275', '&nbsp;']","['101', '&nbsp;']","['297', '&nbsp;']","['63', '&nbsp;']","['16', '&nbsp;']"
7726,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['34,311', '&nbsp;']","['27,005', '&nbsp;']","['7,306', '&nbsp;']","['23,692', '&nbsp;']","['7,830', '&nbsp;']","['2,790', '&nbsp;']"
7726,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['1,928', '&nbsp;']","['1,497', '&nbsp;']","['431', 'r']","['1,314', '&nbsp;']","['315', '&nbsp;']","['299', '&nbsp;']"
7726,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['6,767', '&nbsp;']","['5,540', '&nbsp;']","['1,227', '&nbsp;']","['4,659', '&nbsp;']","['1,546', '&nbsp;']","['563', '&nbsp;']"
7726,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['4,644', '&nbsp;']","['3,761', '&nbsp;']","['883', '&nbsp;']","['3,202', '&nbsp;']","['1,021', '&nbsp;']","['422', '&nbsp;']"
7726,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['2,123', '&nbsp;']","['1,779', '&nbsp;']","['344', '&nbsp;']","['1,457', '&nbsp;']","['525', '&nbsp;']","['141', '&nbsp;']"
7726,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['4,422', '&nbsp;']","['3,647', '&nbsp;']","['775', '&nbsp;']","['2,966', '&nbsp;']","['1,077', '&nbsp;']","['379', '&nbsp;']"
7726,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['10,277', '&nbsp;']","['8,653', '&nbsp;']","['1,624', '&nbsp;']","['6,496', '&nbsp;']","['2,969', '&nbsp;']","['812', '&nbsp;']"
7726,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['10,917', '&nbsp;']","['7,669', '&nbsp;']","['3,248', '&nbsp;']","['8,257', '&nbsp;']","['1,923', '&nbsp;']","['737', '&nbsp;']"
7726,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['1,145', '&nbsp;']","['891', '&nbsp;']","['254', '&nbsp;']","['869', '&nbsp;']","['203', '&nbsp;']","['73', '&nbsp;']"
7726,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['3,541', '&nbsp;']","['2,169', '&nbsp;']","['1,372', '&nbsp;']","['2,597', '&nbsp;']","['669', '&nbsp;']","['275', '&nbsp;']"
7726,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['6,131', '&nbsp;']","['4,543', '&nbsp;']","['1,588', '&nbsp;']","['4,729', '&nbsp;']","['1,023', '&nbsp;']","['379', '&nbsp;']"
7726,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['100', '&nbsp;']","['66', '&nbsp;']","['35', '&nbsp;']","['62', '&nbsp;']","['29', '&nbsp;']","['9', '&nbsp;']"
