table_id,row_id,demographic_characteristic_full_path,demographic_characteristic_level_1,demographic_characteristic_level_2,demographic_characteristic_level_3,demographic_characteristic_level_4,demographic_characteristic_hierarchy_depth,field_all_fields_master_s,field_all_fields_related_master_s,field_life_sciencesa_master_s,field_life_sciencesa_related_master_s,field_physical_sciences_and_earth_sciences_master_s,field_physical_sciences_and_earth_sciences_related_master_s,field_mathematics_and_computer_sciences_master_s,field_mathematics_and_computer_sciences_related_master_s,field_psychology_and_social_sciences_master_s,field_psychology_and_social_sciences_related_master_s,field_engineering_master_s,field_engineering_related_master_s,field_education_master_s,field_education_related_master_s,field_humanities_and_arts_master_s,field_humanities_and_arts_related_master_s,field_otherb_master_s,field_otherb_related_master_s
964,r001,All doctorate recipients,All doctorate recipients,,,,1,70.2,51.1,51.8,32.2,52.2,42.4,72.7,57.1,82.4,59.1,72.2,62.8,88.2,53.7,85.1,62.5,81.8,53.4
964,r002,All doctorate recipients -> Sex,All doctorate recipients,Sex,,,2,,,,,,,,,,,,,,,,,,
964,r003,All doctorate recipients -> Sex -> Male,All doctorate recipients,Sex,Male,,3,69.2,52.7,49.3,30.0,53.6,44.4,72.1,58.3,81.7,58.4,73.8,65.5,87.8,50.7,85.1,65.5,81.4,51.9
964,r004,All doctorate recipients -> Sex -> Female,All doctorate recipients,Sex,Female,,3,71.4,49.4,53.8,33.9,49.4,38.2,74.5,53.5,82.9,59.7,67.6,55.1,88.4,55.1,85.1,59.6,82.2,54.6
964,r005,All doctorate recipients -> Citizenship status,All doctorate recipients,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
964,r006,All doctorate recipients -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,,3,70.2,51.0,47.0,30.0,48.0,40.4,72.6,57.4,85.6,63.0,66.4,58.7,91.6,55.9,88.7,66.5,84.9,56.5
964,r007,All doctorate recipients -> Citizenship status -> Temporary visa holder,All doctorate recipients,Citizenship status,Temporary visa holder,,3,77.8,58.5,68.5,41.3,63.3,49.6,76.7,61.0,89.3,60.5,80.9,71.2,91.4,57.8,91.6,63.6,90.5,60.2
964,r008,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
964,r009,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,72.0,51.8,46.4,28.4,47.2,38.4,84.8,67.1,85.5,63.1,71.7,65.7,90.6,54.4,85.8,62.8,85.9,59.3
964,r010,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,
964,r011,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,76.1,43.1,64.0,36.0,,,,,84.6,46.2,60.0,50.0,90.9,40.9,81.3,56.3,,
964,r012,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,64.1,46.6,45.3,28.9,45.9,37.3,69.6,48.6,80.5,55.3,67.3,60.4,91.1,56.7,84.5,64.1,81.7,50.0
964,r013,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,82.7,49.3,66.2,36.0,42.6,27.7,89.8,61.2,91.7,50.8,81.7,66.3,92.1,52.9,91.9,58.1,88.6,56.9
964,r014,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,72.0,53.4,47.1,30.9,49.7,42.4,75.9,61.8,88.2,67.1,68.2,60.2,94.2,58.4,91.4,69.1,87.6,59.6
964,r015,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,70.5,52.9,43.7,25.5,45.5,42.0,82.0,70.0,90.7,71.7,65.8,57.9,96.4,61.4,94.8,75.7,96.1,60.8
964,r016,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,52.9,35.0,35.5,20.6,,,,,70.6,50.0,43.9,37.9,86.5,40.5,67.5,46.8,,
964,r017,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,10.9,6.9,7.1,3.3,7.0,5.3,10.0,8.6,11.1,6.4,7.6,6.9,21.4,13.3,14.4,8.9,11.8,5.9
