table_id,row_id,time_period,current_measures_level_1,current_measures_level_2,current_measures_level_3,current_measures_hierarchy_depth,value
6305,r001,United States (2019)<sup>a</sup>,Current measures,GERD (PPP US$billions),,2,668.4
6305,r002,United States (2019)<sup>a</sup>,Current measures,GERD/ GDP (%),,2,3.13
6305,r003,United States (2019)<sup>a</sup>,Longer-term growth rates,GERD,2000–10,3,4.3
6305,r004,United States (2019)<sup>a</sup>,Longer-term growth rates,GERD,2010–19,3,5.6
6305,r005,United States (2019)<sup>a</sup>,Longer-term growth rates,GDP,2000–10,3,3.9
6305,r006,United States (2019)<sup>a</sup>,Longer-term growth rates,GDP,2010–19,3,4.1
6305,r007,China (2019),Current measures,GERD (PPP US$billions),,2,525.7
6305,r008,China (2019),Current measures,GERD/ GDP (%),,2,2.23
6305,r009,China (2019),Longer-term growth rates,GERD,2000–10,3,20.5
6305,r010,China (2019),Longer-term growth rates,GERD,2010–19,3,10.6
6305,r011,China (2019),Longer-term growth rates,GDP,2000–10,3,12.9
6305,r012,China (2019),Longer-term growth rates,GDP,2010–19,3,7.4
6305,r013,Japan (2019),Current measures,GERD (PPP US$billions),,2,173.3
6305,r014,Japan (2019),Current measures,GERD/ GDP (%),,2,3.2
6305,r015,Japan (2019),Longer-term growth rates,GERD,2000–10,3,3.6
6305,r016,Japan (2019),Longer-term growth rates,GERD,2010–19,3,2.4
6305,r017,Japan (2019),Longer-term growth rates,GDP,2000–10,3,2.7
6305,r018,Japan (2019),Longer-term growth rates,GDP,2010–19,3,2.0
6305,r019,Germany (2019),Current measures,GERD (PPP US$billions),,2,148.1
6305,r020,Germany (2019),Current measures,GERD/ GDP (%),,2,3.19
6305,r021,Germany (2019),Longer-term growth rates,GERD,2000–10,3,4.9
6305,r022,Germany (2019),Longer-term growth rates,GERD,2010–19,3,6.1
6305,r023,Germany (2019),Longer-term growth rates,GDP,2000–10,3,3.6
6305,r024,Germany (2019),Longer-term growth rates,GDP,2010–19,3,4.3
6305,r025,South Korea (2019),Current measures,GERD (PPP US$billions),,2,102.5
6305,r026,South Korea (2019),Current measures,GERD/ GDP (%),,2,4.64
6305,r027,South Korea (2019),Longer-term growth rates,GERD,2000–10,3,10.9
6305,r028,South Korea (2019),Longer-term growth rates,GERD,2010–19,3,7.8
6305,r029,South Korea (2019),Longer-term growth rates,GDP,2000–10,3,6.1
6305,r030,South Korea (2019),Longer-term growth rates,GDP,2010–19,3,3.8
6305,r031,France (2019),Current measures,GERD (PPP US$billions),,2,73.3
6305,r032,France (2019),Current measures,GERD/ GDP (%),,2,2.2
6305,r033,France (2019),Longer-term growth rates,GERD,2000–10,3,4.3
6305,r034,France (2019),Longer-term growth rates,GERD,2010–19,3,4.1
6305,r035,France (2019),Longer-term growth rates,GDP,2000–10,3,3.9
6305,r036,France (2019),Longer-term growth rates,GDP,2010–19,3,4.0
6305,r037,India (2018)<sup>b</sup>,Current measures,GERD (PPP US$billions),,2,58.7
6305,r038,India (2018)<sup>b</sup>,Current measures,GERD/ GDP (%),,2,0.65
6305,r039,India (2018)<sup>b</sup>,Longer-term growth rates,GERD,2000–10,3,9.4
6305,r040,India (2018)<sup>b</sup>,Longer-term growth rates,GERD,2010–19,3,4.4
6305,r041,India (2018)<sup>b</sup>,Longer-term growth rates,GDP,2000–10,3,9.0
6305,r042,India (2018)<sup>b</sup>,Longer-term growth rates,GDP,2010–19,3,7.0
6305,r043,United Kingdom (2019),Current measures,GERD (PPP US$billions),,2,56.9
6305,r044,United Kingdom (2019),Current measures,GERD/ GDP (%),,2,1.76
6305,r045,United Kingdom (2019),Longer-term growth rates,GERD,2000–10,3,4.1
6305,r046,United Kingdom (2019),Longer-term growth rates,GERD,2010–19,3,4.7
6305,r047,United Kingdom (2019),Longer-term growth rates,GDP,2000–10,3,3.9
6305,r048,United Kingdom (2019),Longer-term growth rates,GDP,2010–19,3,3.9
