table_id,row_id,time_period,amount_borrowed_level_1,amount_borrowed_level_2,amount_borrowed_hierarchy_depth,value
9794,r001,Total,Amount borrowed ($),Average,2,41300
9794,r002,Total,Amount borrowed ($),Median,2,30000
9794,r003,Total,Ratio of amount owed to amount borrowed,Average,2,78.2
9794,r004,Total,Ratio of amount owed to amount borrowed,Median,2,92
9794,r005,Total,Percent in repayment,,1,27.7
9794,r006,Total,Monthly payment amount ($),Average,2,230
9794,r007,Total,Monthly payment amount ($),Median,2,200
9794,r008,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Public,Amount borrowed ($),Average,2,40000
9794,r009,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Public,Amount borrowed ($),Median,2,29000
9794,r010,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Public,Ratio of amount owed to amount borrowed,Average,2,77.2
9794,r011,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Public,Ratio of amount owed to amount borrowed,Median,2,92
9794,r012,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Public,Percent in repayment,,1,27.5
9794,r013,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Public,Monthly payment amount ($),Average,2,220
9794,r014,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Public,Monthly payment amount ($),Median,2,190
9794,r015,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Private nonprofit,Amount borrowed ($),Average,2,41700
9794,r016,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Private nonprofit,Amount borrowed ($),Median,2,29000
9794,r017,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Private nonprofit,Ratio of amount owed to amount borrowed,Average,2,75.8
9794,r018,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Private nonprofit,Ratio of amount owed to amount borrowed,Median,2,89
9794,r019,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Private nonprofit,Percent in repayment,,1,24.4
9794,r020,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Private nonprofit,Monthly payment amount ($),Average,2,250
9794,r021,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Private nonprofit,Monthly payment amount ($),Median,2,240
9794,r022,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Private for profit,Amount borrowed ($),Average,2,50800
9794,r023,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Private for profit,Amount borrowed ($),Median,2,48500
9794,r024,Total -> 2015&#8211;16 bachelor's degree-granting institution control -> Private for profit,Ratio of amount owed to amount borrowed,Average,2,97.4
