table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8342,r001,Institutions,Institutions,,,,1,225,32.2,169,24.2
8342,r002,Schools,Schools,,,,1,231,29.4,170,21.6
8342,r003,Units,Units,,,,1,557,2.6,410,1.9
8342,r004,All individuals,All individuals,,,,1,6823,100.0,2895,100.0
8342,r005,All individuals -> Male,All individuals,Male,,,2,5086,74.5,2228,77.0
8342,r006,All individuals -> Female,All individuals,Female,,,2,1737,25.5,667,23.0
8342,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,2778,40.7,na,na
8342,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,136,2.0,na,na
8342,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,
8342,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,3,0.05,na,na
8342,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,547,8.0,na,na
8342,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,43,0.6,na,na
8342,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,3,0.05,na,na
8342,r014,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,1571,23.0,na,na
8342,r015,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,66,1.0,na,na
8342,r016,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,409,6.0,na,na
8342,r017,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,4045,59.3,na,na
8342,r018,Primary source of support,Primary source of support,,,,1,,,,
8342,r019,Primary source of support -> Federal,Primary source of support,Federal,,,2,3943,57.8,na,na
8342,r020,Primary source of support -> Nonfederal<sup>b</sup>,Primary source of support,Nonfederal<sup>b</sup>,,,2,2396,35.1,na,na
8342,r021,Primary source of support -> Personal resources,Primary source of support,Personal resources,,,2,65,1.0,na,na
8342,r022,Primary source of support -> Unknown or not stated,Primary source of support,Unknown or not stated,,,2,419,6.1,na,na
8342,r023,Primary mechanism of support,Primary mechanism of support,,,,1,,,,
8342,r024,Primary mechanism of support -> Fellowships,Primary mechanism of support,Fellowships,,,2,631,9.2,na,na
8342,r025,Primary mechanism of support -> Research grants,Primary mechanism of support,Research grants,,,2,4883,71.6,na,na
8342,r026,Primary mechanism of support -> Traineeships,Primary mechanism of support,Traineeships,,,2,113,1.7,na,na
8342,r027,Primary mechanism of support -> Other types of support,Primary mechanism of support,Other types of support,,,2,1196,17.5,na,na
8342,r028,Degree type<sup>c</sup>,Degree type<sup>c</sup>,,,,1,,,,
8342,r029,Degree type<sup>c</sup> -> Doctoral degree,Degree type<sup>c</sup>,Doctoral degree,,,2,5321,78.0,2414,83.4
8342,r030,Degree type<sup>c</sup> -> Professional degree,Degree type<sup>c</sup>,Professional degree,,,2,23,0.3,34,1.2
8342,r031,Degree type<sup>c</sup> -> Dual degree,Degree type<sup>c</sup>,Dual degree,,,2,23,0.3,2,0.1
8342,r032,Degree type<sup>c</sup> -> Doctoral degree type unknown,Degree type<sup>c</sup>,Doctoral degree type unknown,,,2,1456,21.3,445,15.4
8342,r033,Degree origin,Degree origin,,,,1,,,,
8342,r034,Degree origin -> United States,Degree origin,United States,,,2,2360,34.6,na,na
8342,r035,Degree origin -> Foreign country,Degree origin,Foreign country,,,2,1801,26.4,na,na
8342,r036,Degree origin -> Unknown,Degree origin,Unknown,,,2,2662,39.0,na,na
