table_id,row_id,time_period,all_seh_doctorate_holders_level_1,all_seh_doctorate_holders_level_2,all_seh_doctorate_holders_hierarchy_depth,value
6274,r001,Panel population,All SEH doctorate holders,Number,2,856050
6274,r002,Panel population,All SEH doctorate holders,Percent,2,100.0
6274,r003,Panel population,Women,Number,2,299300
6274,r004,Panel population,Women,Percent,2,100.0
6274,r005,Panel population,Men,Number,2,556750
6274,r006,Panel population,Men,Percent,2,100.0
6274,r007,Panel population,Early career,Number,2,164250
6274,r008,Panel population,Early career,Percent,2,100.0
6274,r009,Panel population,Age 56–65,Number,2,235000
6274,r010,Panel population,Age 56–65,Percent,2,100.0
6274,r011,Panel population,U.S. citizens and permanent residents,Number,2,598950
6274,r012,Panel population,U.S. citizens and permanent residents,Percent,2,100.0
6274,r013,Panel population,Temporary visa holders,Number,2,257100
6274,r014,Panel population,Temporary visa holders,Percent,2,100.0
6274,r015,    Employed in 2015,All SEH doctorate holders,Number,2,807300
6274,r016,    Employed in 2015,All SEH doctorate holders,Percent,2,94.3
6274,r017,    Employed in 2015,Women,Number,2,273950
6274,r018,    Employed in 2015,Women,Percent,2,91.5
6274,r019,    Employed in 2015,Men,Number,2,533350
6274,r020,    Employed in 2015,Men,Percent,2,95.8
6274,r021,    Employed in 2015,Early career,Number,2,157050
6274,r022,    Employed in 2015,Early career,Percent,2,95.6
6274,r023,    Employed in 2015,Age 56–65,Number,2,208300
6274,r024,    Employed in 2015,Age 56–65,Percent,2,88.7
6274,r025,    Employed in 2015,U.S. citizens and permanent residents,Number,2,561000
6274,r026,    Employed in 2015,U.S. citizens and permanent residents,Percent,2,93.7
6274,r027,    Employed in 2015,Temporary visa holders,Number,2,246350
6274,r028,    Employed in 2015,Temporary visa holders,Percent,2,95.8
6274,r029,    Employed in 2017,All SEH doctorate holders,Number,2,792450
6274,r030,    Employed in 2017,All SEH doctorate holders,Percent,2,92.6
6274,r031,    Employed in 2017,Women,Number,2,270250
6274,r032,    Employed in 2017,Women,Percent,2,90.3
6274,r033,    Employed in 2017,Men,Number,2,522200
6274,r034,    Employed in 2017,Men,Percent,2,93.8
6274,r035,    Employed in 2017,Early career,Number,2,157600
6274,r036,    Employed in 2017,Early career,Percent,2,96.0
6274,r037,    Employed in 2017,Age 56–65,Number,2,194050
6274,r038,    Employed in 2017,Age 56–65,Percent,2,82.6
6274,r039,    Employed in 2017,U.S. citizens and permanent residents,Number,2,548400
6274,r040,    Employed in 2017,U.S. citizens and permanent residents,Percent,2,91.6
6274,r041,    Employed in 2017,Temporary visa holders,Number,2,244000
6274,r042,    Employed in 2017,Temporary visa holders,Percent,2,94.9
6274,r043,    Employed in 2019,All SEH doctorate holders,Number,2,773600
6274,r044,    Employed in 2019,All SEH doctorate holders,Percent,2,90.4
6274,r045,    Employed in 2019,Women,Number,2,264950
6274,r046,    Employed in 2019,Women,Percent,2,88.5
6274,r047,    Employed in 2019,Men,Number,2,508700
6274,r048,    Employed in 2019,Men,Percent,2,91.4
6274,r049,    Employed in 2019,Early career,Number,2,157750
6274,r050,    Employed in 2019,Early career,Percent,2,96.0
6274,r051,    Employed in 2019,Age 56–65,Number,2,177050
6274,r052,    Employed in 2019,Age 56–65,Percent,2,75.4
6274,r053,    Employed in 2019,U.S. citizens and permanent residents,Number,2,532500
6274,r054,    Employed in 2019,U.S. citizens and permanent residents,Percent,2,88.9
6274,r055,    Employed in 2019,Temporary visa holders,Number,2,241100
6274,r056,    Employed in 2019,Temporary visa holders,Percent,2,93.8
6274,r057,    Unemployed in 2015,All SEH doctorate holders,Number,2,12800
6274,r058,    Unemployed in 2015,All SEH doctorate holders,Percent,2,1.5
6274,r059,    Unemployed in 2015,Women,Number,2,5400
6274,r060,    Unemployed in 2015,Women,Percent,2,1.8
6274,r061,    Unemployed in 2015,Men,Number,2,7400
6274,r062,    Unemployed in 2015,Men,Percent,2,1.3
6274,r063,    Unemployed in 2015,Early career,Number,2,3700
6274,r064,    Unemployed in 2015,Early career,Percent,2,2.2
6274,r065,    Unemployed in 2015,Age 56–65,Number,2,3950
6274,r066,    Unemployed in 2015,Age 56–65,Percent,2,1.7
6274,r067,    Unemployed in 2015,U.S. citizens and permanent residents,Number,2,8450
6274,r068,    Unemployed in 2015,U.S. citizens and permanent residents,Percent,2,1.4
6274,r069,    Unemployed in 2015,Temporary visa holders,Number,2,4300
6274,r070,    Unemployed in 2015,Temporary visa holders,Percent,2,1.7
6274,r071,    Unemployed in 2017,All SEH doctorate holders,Number,2,13700
6274,r072,    Unemployed in 2017,All SEH doctorate holders,Percent,2,1.6
6274,r073,    Unemployed in 2017,Women,Number,2,5150
