table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12670,r001,All institutions,All institutions,,1,-,"['108,681,008', '']","['3,617,348', '']","['4,032,534', '']","['62,204,360', '']","['1,060,700', '']","['6,944,769', '']","['1,637,829', '']","['3,615,227', '']","['1,194,804', '']","['17,468,446', '']","['6,904,991', '']"
12670,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['3,801,585', '']","['309,828', 'i']","['72,538', 'i']","['1,264,589', 'i']","['230,354', 'i']","['332,727', 'i']","['8,378', 'i']","['11,336', 'i']","['64,191', 'i']","['1,493,689', 'i']","['13,955', 'i']"
12670,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['2,046,539', '']","['0', '']","['0', '']","['1,978,891', '']","['0', '']","['67,648', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12670,r004,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,3,"['1,953,617', '']","['21,066', '']","['2,293', '']","['1,497,834', '']","['8,603', '']","['72,101', '']","['17,413', '']","['66,203', '']","['9,310', '']","['112,740', '']","['146,054', '']"
12670,r005,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,4,"['1,925,875', '']","['17,076', '']","['19,164', '']","['1,116,866', '']","['21,033', '']","['70,259', '']","['23,483', '']","['217,488', '']","['5,664', '']","['324,306', '']","['110,536', '']"
12670,r006,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,5,"['1,734,091', '']","['30,158', '']","['162,612', '']","['1,175,596', '']","['9,783', '']","['69,424', '']","['11,239', '']","['23,577', '']","['1,135', '']","['180,277', '']","['70,290', '']"
12670,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['1,731,949', '']","['38,571', '']","['77,933', '']","['1,058,529', '']","['8,838', '']","['113,636', '']","['13,198', '']","['75,982', '']","['57,926', '']","['171,445', '']","['115,891', '']"
12670,r008,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,7,"['1,721,665', '']","['19,118', '']","['52,655', '']","['1,222,724', '']","['11,947', '']","['61,410', '']","['20,440', '']","['86,049', '']","['58,077', '']","['113,969', '']","['75,276', '']"
12670,r009,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,8,"['1,705,410', '']","['37,484', '']","['245,278', '']","['1,043,913', '']","['5,471', '']","['105,927', '']","['13,623', '']","['23,568', '']","['0', '']","['176,720', '']","['53,426', '']"
12670,r010,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,9,"['1,549,617', '']","['41,385', '']","['34,095', '']","['1,141,727', '']","['4,894', '']","['51,933', '']","['56,582', '']","['95,692', '']","['139', '']","['49,721', '']","['73,449', '']"
12670,r011,All institutions -> Stanford U.,All institutions,Stanford U.,2,10,"['1,537,846', '']","['27,907', '']","['35,299', '']","['1,119,445', '']","['6,455', '']","['103,816', '']","['14,151', '']","['22,966', '']","['224', '']","['158,868', '']","['48,715', '']"
12670,r012,All institutions -> Duke U.,All institutions,Duke U.,2,11,"['1,507,996', '']","['12,836', '']","['9,796', '']","['1,266,314', '']","['8,374', '']","['29,127', '']","['10,189', '']","['43,163', '']","['501', '']","['109,885', '']","['17,811', '']"
12670,r013,All institutions -> New York U.,All institutions,New York U.,2,12,"['1,457,424', '']","['16,701', '']","['732', '']","['1,065,030', '']","['19,747', '']","['30,409', '']","['26,613', '']","['41,857', '']","['0', '']","['132,311', '']","['124,024', '']"
12670,r014,All institutions -> Cornell U.,All institutions,Cornell U.,2,13,"['1,451,971', '']","['32,821', '']","['5,762', '']","['1,020,982', '']","['4,173', '']","['136,751', '']","['12,439', '']","['30,044', '']","['145', '']","['149,807', '']","['59,047', '']"
12670,r015,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,14,"['1,449,188', '']","['31,323', '']","['9,777', '']","['977,520', '']","['5,135', '']","['39,570', '']","['6,403', '']","['24,943', '']","['40,363', '']","['242,745', '']","['71,409', '']"
12670,r016,All institutions -> Harvard U.,All institutions,Harvard U.,2,15,"['1,435,218', '']","['28,969', '']","['30,302', '']","['793,236', '&nbsp;']","['19,878', '']","['134,733', '']","['8,218', '']","['169,192', '']","['12,681', '']","['99,830', '']","['138,179', '']"
12670,r017,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,16,"['1,405,080', '']","['198,783', '']","['13,138', '']","['42,645', '']","['9,953', '']","['39,186', '']","['4,464', '']","['7,944', '']","['0', '']","['1,061,402', '']","['27,565', '']"
12670,r018,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,17,"['1,398,078', '']","['12,535', '']","['13,409', '']","['1,205,739', '']","['5,160', '']","['33,092', '']","['16,409', '']","['5,653', '']","['13,638', '']","['82,238', '']","['10,205', '']"
12670,r019,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,18,"['1,385,302', '']","['80,519', '']","['87,557', '']","['719,375', '']","['6,039', '']","['135,422', '']","['11,142', '']","['72,987', '']","['18,057', '']","['183,899', '']","['70,305', '']"
12670,r020,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,19,"['1,341,952', '']","['30,853', '']","['88,243', '']","['980,046', '']","['4,294', '']","['52,418', '']","['4,443', '']","['18,686', '']","['0', '']","['100,161', '']","['62,808', '']"
12670,r021,All institutions -> Yale U.,All institutions,Yale U.,2,20,"['1,326,807', '']","['11,131', '']","['7,593', '']","['1,154,182', '']","['3,906', '']","['63,036', '']","['11,027', '']","['19,496', '']","['829', '']","['40,153', '']","['15,454', '']"
12670,r022,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,21,"['1,320,183', '']","['24,219', '']","['16,935', '']","['948,410', '']","['8,376', '']","['47,610', '']","['33,730', '']","['39,384', '']","['3,864', '']","['145,670', '']","['51,985', '']"
12670,r023,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,22,"['1,277,814', '']","['28,414', '']","['125,114', '']","['464,675', '']","['8,774', '']","['65,248', '']","['10,488', '']","['32,324', '']","['13,003', '']","['464,769', '']","['65,005', '']"
12670,r024,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,23,"['1,255,190', '']","['0', '']","['0', '']","['1,166,465', '']","['23,423', '']","['23,775', '']","['18,290', '']","['23,237', '']","['0', '']","['0', '']","['0', '']"
12670,r025,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,24,"['1,253,156', '']","['24,592', '']","['3,637', '']","['958,220', '']","['2,323', '']","['30,399', '']","['17,439', '']","['28,357', '']","['0', '']","['82,313', '']","['105,876', '']"
12670,r026,All institutions -> U. Florida,All institutions,U. Florida,2,25,"['1,250,201', '']","['20,449', '']","['19,578', '']","['922,704', '']","['2,928', '']","['43,930', '']","['15,487', '']","['17,586', '']","['4,575', '']","['150,126', '']","['52,838', '']"
12670,r027,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,26,"['1,206,793', '']","['108,873', '']","['33,406', '']","['346,482', '']","['24,625', '']","['111,514', '']","['41,284', '']","['42,771', '']","['0', '']","['453,476', '']","['44,362', '']"
12670,r028,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,27,"['1,168,861', '']","['5,859', '']","['6,986', '']","['1,043,446', '']","['1,309', '']","['30,262', '']","['8,442', '']","['2,859', '']","['178', '']","['33,691', '']","['35,829', '']"
12670,r029,All institutions -> U. Southern California,All institutions,U. Southern California,2,28,"['1,154,804', '']","['122,842', '']","['20,785', '']","['744,073', '']","['2,031', '']","['18,195', '']","['8,053', '']","['81,705', '']","['0', '']","['82,633', '']","['74,487', '']"
12670,r030,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,29,"['1,114,269', '']","['13,831', '']","['1,795', '']","['816,739', '']","['2,311', '']","['97,816', '']","['3,316', '']","['23,363', '']","['22,022', '']","['93,785', '']","['39,291', '']"
12670,r031,All institutions -> Emory U.,All institutions,Emory U.,2,30,"['1,094,328', '']","['5,494', '']","['3,189', '']","['998,674', '']","['1,840', '']","['31,085', '']","['4,712', '']","['5,560', '']","['0', '']","['26,414', '']","['17,360', '']"
12670,r032,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,31,"['1,076,754', '']","['15,434', '']","['11,609', '']","['290,429', '']","['11,060', '']","['234,242', '']","['20,253', '']","['87,836', '']","['109,018', '']","['209,311', '']","['87,562', '']"
12670,r033,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,32,"['1,035,838', '']","['116,971', '']","['76,120', '']","['188,258', '']","['18,889', '']","['123,113', '']","['16,683', '']","['32,781', '']","['5,907', '']","['360,947', '']","['96,169', '']"
12670,r034,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,33,"['1,000,081', '']","['119,666', '']","['28,790', '']","['127,959', '']","['10,270', '']","['180,988', '']","['525', '']","['55,636', '']","['21,825', '']","['404,440', '']","['49,982', '']"
12670,r035,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,34,"['972,476', '']","['0', '']","['0', '']","['972,476', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12670,r036,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,35,"['962,399', '']","['6,959', '']","['38,078', '']","['682,290', '']","['4,722', '']","['36,471', '']","['4,171', '']","['38,849', '']","['10,491', '']","['124,470', '']","['15,898', '']"
12670,r037,All institutions -> U. Arizona,All institutions,U. Arizona,2,36,"['955,424', '']","['18,319', '']","['44,173', '']","['522,916', '']","['7,530', '']","['173,256', '']","['10,219', '']","['27,542', '']","['13,247', '']","['103,771', '']","['34,451', '']"
12670,r038,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,37,"['903,779', '']","['33,267', '']","['59,803', '']","['179,408', '']","['2,786', '']","['59,230', '']","['17,382', '']","['93,071', '']","['30,565', '']","['265,026', '']","['163,241', '']"
12670,r039,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,38,"['853,056', '']","['47,950', '']","['6,894', '']","['623,240', '']","['3,010', '']","['30,417', '']","['16,940', '']","['44,795', '']","['12,069', '']","['25,104', '']","['42,637', '']"
12670,r040,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,39,"['847,305', '']","['0', '']","['0', '']","['847,305', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12670,r041,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,40,"['844,570', '']","['31,316', '']","['9,201', '']","['282,174', '']","['3,115', '']","['60,623', '']","['5,839', '']","['17,096', '']","['2,636', '']","['360,289', '']","['72,281', '']"
12670,r042,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,41,"['844,076', '']","['18,855', '']","['7,557', '']","['377,253', '']","['13,271', '']","['207,802', '']","['14,085', '']","['46,373', '']","['16,262', '']","['86,949', '']","['55,669', '']"
12670,r043,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,42,"['831,719', '']","['8,406', '']","['35,546', '']","['619,096', '']","['11,898', '']","['28,283', '']","['15,490', '']","['10,539', '']","['2,248', '']","['61,910', '']","['38,303', '']"
12670,r044,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,43,"['821,023', '']","['99,934', '']","['23,906', '']","['245,437', '']","['5,040', '']","['84,748', '']","['15,234', '']","['9,883', '']","['17,353', '']","['272,650', '']","['46,838', '']"
12670,r045,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,44,"['800,391', '']","['0', '']","['0', '']","['800,391', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12670,r046,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,45,"['780,479', '']","['1,013', '']","['0', '']","['721,450', '']","['169', '']","['5,624', '']","['11,715', '']","['782', '']","['0', '']","['28,505', '']","['11,221', '']"
12670,r047,All institutions -> Boston U.,All institutions,Boston U.,2,46,"['773,200', '']","['22,142', '']","['10,080', '']","['486,968', '']","['5,008', '']","['42,374', '']","['26,387', '']","['14,027', '']","['7,622', '']","['111,856', '']","['46,736', '']"
12670,r048,All institutions -> U. Utah,All institutions,U. Utah,2,47,"['723,713', '']","['249', '']","['11,126', '']","['453,037', '']","['3,727', '']","['24,991', '']","['5,663', '']","['14,062', '']","['0', '']","['113,129', '']","['97,729', '']"
12670,r049,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,48,"['714,457', '']","['28,652', '']","['7,041', '']","['418,932', '']","['2,301', '']","['27,920', '']","['7,392', '']","['12,798', '']","['848', '']","['112,702', '']","['95,871', '']"
12670,r050,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,49,"['698,642', '']","['4,958', '']","['1,489', '']","['567,982', '']","['1,732', '']","['12,181', '']","['11,756', '']","['11,576', '']","['987', '']","['54,548', '']","['31,433', '']"
12670,r051,All institutions -> U. Colorado Anschutz Medical Campus,All institutions,U. Colorado Anschutz Medical Campus,2,50,"['686,026', '']","['0', '']","['183', '']","['676,151', '']","['0', '']","['521', '']","['1,487', '']","['394', '']","['0', '']","['842', '']","['6,448', '']"
12670,r052,All institutions -> U. Iowa,All institutions,U. Iowa,2,51,"['662,134', '']","['4,037', '']","['3,415', '']","['478,820', '']","['1,074', '']","['63,779', '']","['10,435', '']","['4,172', '']","['2,535', '']","['57,579', '']","['36,288', '']"
12670,r053,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,52,"['651,924', '']","['21,212', '']","['140,081', '']","['61,853', '']","['4,116', '']","['179,084', '']","['16,643', '']","['16,815', '']","['1,576', '']","['175,118', '']","['35,426', '']"
12670,r054,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,53,"['633,251', '']","['26,585', '']","['34,922', '']","['284,651', '']","['18,035', '']","['28,745', '']","['1,887', '']","['8,771', '']","['16,191', '']","['196,594', '']","['16,870', '']"
12670,r055,All institutions -> U. Chicago,All institutions,U. Chicago,2,54,"['628,302', '']","['34,390', '']","['10,053', '']","['395,289', '']","['5,931', '']","['78,200', '']","['9,445', '']","['34,694', '']","['0', '']","['47,857', '']","['12,443', '']"
12670,r056,"All institutions -> U. Nebraska, Lincoln and Medical Center<sup>c</sup>",All institutions,"U. Nebraska, Lincoln and Medical Center<sup>c</sup>",2,55,"['617,372', '']","['10,348', '']","['3,364', '']","['413,555', '']","['5,687', '']","['37,541', '']","['17,233', '']","['11,621', '']","['928', '']","['76,802', '']","['40,293', '']"
12670,r057,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,56,"['609,614', '']","['26,089', '']","['11,236', '']","['369,735', '']","['8,818', '']","['43,790', '']","['14,662', '']","['13,104', '']","['457', '']","['84,902', '']","['36,821', '']"
12670,r058,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,57,"['598,113', '']","['30,263', '']","['6,047', '']","['221,029', '']","['12,051', '']","['22,452', '']","['6,359', '']","['13,608', '']","['0', '']","['261,707', '']","['24,597', '']"
12670,r059,All institutions -> U. Georgia,All institutions,U. Georgia,2,58,"['570,956', '']","['5,970', '']","['25,512', '']","['343,271', '']","['6,927', '']","['11,502', '']","['30,072', '']","['38,671', '']","['7,940', '']","['27,420', '']","['73,671', '']"
12670,r060,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,59,"['553,740', '']","['5,998', '']","['812', '']","['462,781', '']","['709', '']","['5,407', '']","['1,840', '']","['11,687', '']","['183', '']","['59,900', '']","['4,423', '']"
12670,r061,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,60,"['517,742', '']","['0', '']","['0', '']","['502,768', '']","['0', '']","['14', '']","['0', '']","['0', '']","['0', '']","['14,960', '']","['0', '']"
12670,r062,All institutions -> Princeton U.,All institutions,Princeton U.,2,61,"['513,365', '']","['29,801', '']","['33,668', '']","['128,054', '']","['16,810', '']","['109,961', '']","['6,305', '']","['83,793', '']","['0', '']","['87,035', '']","['17,938', '']"
12670,r063,All institutions -> U. Miami,All institutions,U. Miami,2,62,"['509,951', '']","['3,156', '']","['61,748', '']","['398,810', '']","['1,693', '']","['7,163', '']","['18,271', '']","['2,075', '']","['302', '']","['8,034', '']","['8,699', '']"
12670,r064,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,63,"['504,005', '']","['5,019', '']","['3,438', '']","['381,193', '']","['1,448', '']","['8,370', '']","['6,526', '']","['6,340', '']","['14,176', '']","['62,529', '']","['14,966', '']"
12670,r065,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,64,"['498,073', '']","['4,521', '']","['59,772', '']","['313,226', '']","['3,310', '']","['19,169', '']","['3,362', '']","['13,333', '']","['14,204', '']","['52,539', '']","['14,637', '']"
12670,r066,All institutions -> Uniformed Services U. of the Health Sciences,All institutions,Uniformed Services U. of the Health Sciences,2,65,"['496,441', '']","['0', '']","['0', '']","['448,540', '']","['0', '']","['0', '']","['47,901', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12670,r067,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,66,"['494,946', '']","['0', '']","['0', '']","['494,946', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12670,r068,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,67,"['492,936', '']","['12,543', '']","['1,331', '']","['347,162', '']","['5,823', '']","['28,674', '']","['4,041', '']","['11,499', '']","['12,958', '']","['46,820', '']","['22,085', '']"
12670,r069,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,68,"['490,672', '']","['13,730', 'i']","['47,263', 'i']","['102,066', 'i']","['794', 'i']","['235,054', 'i']","['1,117', 'i']","['3,213', 'i']","['13,285', 'i']","['73,871', 'i']","['279', 'i']"
12670,r070,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,69,"['484,757', '']","['220,946', '']","['1,549', '']","['16,878', '']","['16,604', '']","['27,237', '']","['10,187', '']","['12,649', '']","['5,575', '']","['155,436', '']","['17,696', '']"
12670,r071,All institutions -> U. Rochester,All institutions,U. Rochester,2,70,"['481,227', '']","['3,544', '']","['3,103', '']","['304,786', '']","['396', '']","['124,977', '']","['6,934', '']","['1,167', '']","['10,533', '']","['22,767', '']","['3,020', '']"
12670,r072,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,71,"['479,930', '']","['8,058', '']","['180', '']","['320,557', '']","['839', '']","['5,346', '']","['12,123', '']","['7,273', '']","['0', '']","['29,609', '']","['95,945', '']"
12670,r073,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,72,"['471,569', '']","['20,464', '']","['6,700', '']","['263,888', '']","['2,886', '']","['15,320', '']","['5,809', '']","['4,321', '']","['2,708', '']","['123,383', '']","['26,090', '']"
12670,r074,All institutions -> U. Kansas,All institutions,U. Kansas,2,73,"['466,222', '']","['6,179', '']","['15,975', '']","['258,443', '']","['751', '']","['19,261', '']","['11,333', '']","['2,220', '']","['12,013', '']","['25,610', '']","['114,437', '']"
12670,r075,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,74,"['462,435', '']","['6,644', '']","['1,728', '']","['309,601', '']","['1,583', '']","['57,534', '']","['6,593', '']","['3,972', '']","['2,570', '']","['24,365', '']","['47,845', '']"
12670,r076,All institutions -> U. South Florida,All institutions,U. South Florida,2,75,"['461,390', '']","['18,841', '']","['24,544', '']","['232,123', '']","['2,902', '']","['10,460', '']","['7,605', '']","['33,891', '']","['1,490', '']","['62,025', '']","['67,509', '']"
12670,r077,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,76,"['436,964', '']","['9,628', '']","['83,345', '']","['174,395', '']","['2,621', '']","['21,859', '']","['5,725', '']","['17,870', '']","['0', '']","['58,746', '']","['62,775', '']"
12670,r078,All institutions -> U. Delaware,All institutions,U. Delaware,2,77,"['428,128', '']","['12,538', '']","['26,658', '']","['89,502', '']","['6,401', '']","['56,483', '']","['12,376', '']","['26,345', '']","['11,966', '']","['161,894', '']","['23,965', '']"
12670,r079,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,78,"['420,823', '']","['6,326', '']","['5,103', '']","['172,991', '']","['19,968', '']","['31,219', '']","['3,350', '']","['8,107', '']","['435', '']","['140,782', '']","['32,542', '']"
12670,r080,All institutions -> Florida State U.,All institutions,Florida State U.,2,79,"['414,463', '']","['10,374', '']","['20,511', '']","['75,107', '']","['8,048', '']","['78,948', '']","['19,078', '']","['25,182', '']","['6,239', '']","['67,635', '']","['103,341', '']"
