table_id,row_id,_b_country_or_economy_b_full_path,_b_country_or_economy_b_level_1,_b_country_or_economy_b_level_2,_b_country_or_economy_b_level_3,_b_country_or_economy_b_hierarchy_depth,field_rank,field_doctorate_recipients
9505,r001,All temporary visa holders (157 countries or economies)<sup>a</sup>,All temporary visa holders (157 countries or economies)<sup>a</sup>,,,1,-,19107
9505,r002,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,,2,-,17885
9505,r003,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> China<sup>b</sup>,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,China<sup>b</sup>,3,1,6664
9505,r004,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> India ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,India ,3,2,2671
9505,r005,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> South Korea,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,South Korea,3,3,1076
9505,r006,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Iran ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Iran ,3,4,859
9505,r007,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Bangladesh ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Bangladesh ,3,5,551
9505,r008,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Saudi Arabia ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Saudi Arabia ,3,6,493
9505,r009,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Canada ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Canada ,3,7,474
9505,r010,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Taiwan,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Taiwan,3,8,416
9505,r011,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Turkey ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Turkey ,3,9,354
9505,r012,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Nepal ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Nepal ,3,10,313
9505,r013,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Nigeria ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Nigeria ,3,11,295
9505,r014,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Brazil,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Brazil,3,12,283
9505,r015,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Mexico ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Mexico ,3,13,226
9505,r016,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Colombia ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Colombia ,3,14,224
9505,r017,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Sri Lanka,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Sri Lanka,3,15,208
9505,r018,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Vietnam ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Vietnam ,3,16,207
9505,r019,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Italy ,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Italy ,3,17,193
9505,r020,All temporary visa holders (157 countries or economies)<sup>a</sup> -> Top 40 countries or economies of origin -> Pakistan,All temporary visa holders (157 countries or economies)<sup>a</sup>,Top 40 countries or economies of origin,Pakistan,3,18,166
