table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_other_agency_r_d_expendituresa,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5447,r001,All institutions,All institutions,,1,-,"['3,209,721', '']","['112,791', '']","['579,813', '']","['605,333', '']","['37,161', '']","['89,355', '']","['70,896', '']","['256,359', '']","['62,654', '']","['842,665', '']","['552,694', '']"
5447,r002,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,1,"['182,983', '']","['26,771', '']","['1,642', '']","['13,850', '']","['15,830', '']","['2,952', '']","['0', '']","['667', '']","['8,708', '']","['110,354', '']","['2,209', '']"
5447,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['94,543', '']","['1,317', '']","['57,493', '']","['226', '']","['216', '']","['21,146', '']","['0', '']","['1,729', '']","['542', '']","['7,198', '']","['4,676', '']"
5447,r004,All institutions -> U. Maryland<sup>c</sup>,All institutions,U. Maryland<sup>c</sup>,2,3,"['81,196', '']","['10,156', '']","['26,490', '']","['5,799', '']","['43', '']","['4,634', '']","['831', '']","['8,076', '']","['191', '']","['16,438', '']","['8,538', '']"
5447,r005,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,4,"['79,186', '']","['850', '']","['6,213', '']","['10,421', '']","['0', '']","['29', '']","['10,858', '']","['39,345', '']","['0', '']","['6,304', '']","['5,166', '']"
5447,r006,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,5,"['71,768', '']","['407', '']","['34,719', '']","['20,126', '']","['199', '']","['464', '']","['456', '']","['1,146', '']","['0', '']","['8,990', '']","['5,261', '']"
5447,r007,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,6,"['68,938', '']","['8,470', '']","['1,424', '']","['1,499', '']","['0', '']","['3,768', '']","['585', '']","['2,458', '']","['0', '']","['47,917', '']","['2,817', '']"
5447,r008,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,7,"['58,608', '']","['190', '']","['524', '']","['13,345', '']","['0', '']","['174', '']","['455', '']","['2,880', '']","['13,027', '']","['18,698', '']","['9,315', '']"
5447,r009,All institutions -> U. Dayton,All institutions,U. Dayton,2,8,"['57,406', '']","['0', '']","['252', '']","['0', '']","['0', '']","['169', '']","['0', '']","['0', '']","['0', '']","['56,487', '']","['498', '']"
5447,r010,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,9,"['56,383', '']","['876', '']","['7,772', '']","['14,811', '']","['0', '']","['419', '']","['318', '']","['1,352', '']","['89', '']","['16,776', '']","['13,970', '']"
5447,r011,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,10,"['47,790', '']","['1,031', '']","['24,149', '']","['10,085', '']","['81', '']","['537', '']","['0', '']","['813', '']","['22', '']","['6,728', '']","['4,344', '']"
5447,r012,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,11,"['47,071', '']","['555', '']","['27,883', '']","['558', '']","['0', '']","['5', '']","['327', '']","['10,978', '']","['0', '']","['3,367', '']","['3,398', '']"
5447,r013,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,12,"['36,697', '']","['0', '']","['16,057', '']","['3,789', '']","['31', '']","['2,136', '']","['764', '']","['3,137', '']","['387', '']","['3,247', '']","['7,149', '']"
5447,r014,All institutions -> U. Florida,All institutions,U. Florida,2,13,"['35,886', '']","['694', '']","['586', '']","['12,839', '']","['0', '']","['0', '']","['48', '']","['1,002', '']","['0', '']","['9,360', '']","['11,357', '']"
5447,r015,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,14,"['35,024', '']","['0', '']","['4,705', '']","['1,256', '']","['179', '']","['4', '']","['200', '']","['5,080', '']","['0', '']","['8,568', '']","['15,032', '']"
5447,r016,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,15,"['34,696', '']","['68', '']","['2,703', '']","['21,946', '']","['0', '']","['306', '']","['0', '']","['2,741', '']","['0', '']","['4,862', '']","['2,070', '']"
5447,r017,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,16,"['34,599', '']","['605', '']","['5,130', '']","['9,579', '']","['0', '']","['25', '']","['548', '']","['5,388', '']","['1,803', '']","['10,692', '']","['829', '']"
5447,r018,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,17,"['33,323', '']","['1,294', '']","['24,268', '']","['5,826', '']","['0', '']","['33', '']","['70', '']","['714', '']","['5', '']","['1,027', '']","['86', '']"
5447,r019,All institutions -> New Jersey Institute of Technology,All institutions,New Jersey Institute of Technology,2,18,"['32,948', '']","['78', '']","['0', '']","['0', '']","['0', '']","['29', '']","['0', '']","['0', '']","['0', '']","['30,975', '']","['1,866', '']"
5447,r020,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,19,"['31,677', '']","['541', '']","['408', '']","['7,239', '']","['0', '']","['0', '']","['412', '']","['17,645', '']","['61', '']","['2,686', '']","['2,685', '']"
5447,r021,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,20,"['30,080', '']","['0', '']","['868', '']","['2,825', '']","['4,940', '']","['158', '']","['640', '']","['74', '']","['0', '']","['17,770', '']","['2,805', '']"
5447,r022,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,21,"['29,994', '']","['506', '']","['3,580', '']","['655', '']","['4,428', '']","['565', '']","['178', '']","['930', '']","['0', '']","['6,248', '']","['12,904', '']"
5447,r023,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,22,"['29,429', '']","['43', '']","['165', '']","['9,820', '']","['351', '']","['311', '']","['1,690', '']","['943', '']","['0', '']","['15,630', '']","['476', '']"
5447,r024,All institutions -> U. Delaware,All institutions,U. Delaware,2,23,"['28,887', '']","['214', '']","['3,302', '']","['881', '']","['0', '']","['392', '']","['0', '']","['2,591', '']","['0', '']","['18,975', '']","['2,532', '']"
5447,r025,All institutions -> Clemson U.,All institutions,Clemson U.,2,24,"['28,767', '']","['257', '']","['0', '']","['7,636', '']","['213', '']","['1,653', '']","['170', '']","['3,367', '']","['0', '']","['11,444', '']","['4,027', '']"
5447,r026,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,25,"['28,175', '']","['2,590', '']","['285', '']","['5,834', '']","['0', '']","['322', '']","['0', '']","['824', '']","['0', '']","['12,138', '']","['6,182', '']"
5447,r027,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,26,"['27,965', '']","['82', '']","['17,489', '']","['5,231', '']","['0', '']","['0', '']","['10', '']","['448', '']","['572', '']","['4,045', '']","['88', '']"
5447,r028,All institutions -> U. Kansas,All institutions,U. Kansas,2,27,"['27,777', '']","['277', '']","['777', '']","['621', '']","['0', '']","['0', '']","['915', '']","['1,642', '']","['0', '']","['1,286', '']","['22,259', '']"
5447,r029,All institutions -> U. Miami,All institutions,U. Miami,2,28,"['27,723', '']","['0', '']","['22,254', '']","['2,456', '']","['0', '']","['2,520', '']","['0', '']","['0', '']","['0', '']","['167', '']","['326', '']"
5447,r030,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,29,"['27,185', '']","['484', '']","['827', '']","['10,964', '']","['0', '']","['20', '']","['636', '']","['804', '']","['619', '']","['11,342', '']","['1,489', '']"
5447,r031,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,30,"['27,157', '']","['43', '']","['13,369', '']","['4,023', '']","['0', '']","['0', '']","['10', '']","['5,903', '']","['11', '']","['2,784', '']","['1,014', '']"
5447,r032,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,31,"['27,032', '']","['185', '']","['437', '']","['2,273', '']","['0', '']","['0', '']","['1,207', '']","['5,042', '']","['4,481', '']","['5,126', '']","['8,281', '']"
5447,r033,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,32,"['26,736', '']","['0', '']","['5,621', '']","['7,418', '']","['776', '']","['0', '']","['0', '']","['625', '']","['0', '']","['9,429', '']","['2,867', '']"
