table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nasa_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5444,r001,All institutions,All institutions,,1,-,"['1,758,375', '']","['18,865', '']","['438,075', '']","['93,502', '']","['3,004', '']","['636,982', '']","['20,927', '']","['23,654', '']","['5,536', '']","['510,515', '']","['7,315', '']"
5444,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['382,439', '']","['4,964', '']","['33,690', '']","['1,185', '']","['415', '']","['158,155', '']","['0', '']","['0', '']","['459', '']","['183,571', '']","['0', '']"
5444,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['126,185', '']","['153', '']","['34,292', '']","['513', '']","['51', '']","['40,539', '']","['0', '']","['94', '']","['1', '']","['50,515', '']","['27', '']"
5444,r004,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,3,"['76,296', '']","['89', '']","['11,538', '']","['742', '']","['0', '']","['59,968', '']","['0', '']","['0', '']","['0', '']","['3,887', '']","['72', '']"
5444,r005,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,4,"['68,963', '']","['4', '']","['20,152', '']","['257', '']","['0', '']","['35,599', '']","['0', '']","['9,796', '']","['457', '']","['2,698', '']","['0', '']"
5444,r006,All institutions -> U. Arizona,All institutions,U. Arizona,2,5,"['60,541', '']","['0', '']","['2,000', '']","['1,136', '']","['60', '']","['54,955', '']","['0', '']","['0', '']","['0', '']","['2,390', '']","['0', '']"
5444,r007,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,6,"['58,226', '']","['86', '']","['49,249', '']","['690', '']","['0', '']","['276', '']","['0', '']","['3,735', '']","['12', '']","['4,146', '']","['32', '']"
5444,r008,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,7,"['38,006', '']","['0', '']","['541', '']","['123', '']","['155', '']","['34,586', '']","['0', '']","['5', '']","['1,892', '']","['704', '']","['0', '']"
5444,r009,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,8,"['36,610', '']","['422', '']","['6,222', '']","['176', '']","['0', '']","['19,494', '']","['0', '']","['0', '']","['145', '']","['10,106', '']","['45', '']"
5444,r010,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,9,"['33,581', '']","['0', '']","['32,195', '']","['117', '']","['0', '']","['1,061', '']","['0', '']","['0', '']","['0', '']","['208', '']","['0', '']"
5444,r011,All institutions -> Utah State U.,All institutions,Utah State U.,2,10,"['30,067', '']","['0', '']","['0', '']","['425', '']","['0', '']","['667', '']","['0', '']","['0', '']","['0', '']","['28,975', '']","['0', '']"
5444,r012,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,11,"['28,557', '']","['0', '']","['534', '']","['546', '']","['44', '']","['3,092', '']","['0', '']","['1,454', '']","['0', '']","['22,887', '']","['0', '']"
5444,r013,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,12,"['27,270', '']","['3,953', '']","['11,576', '']","['29', '']","['0', '']","['5,053', '']","['0', '']","['0', '']","['0', '']","['6,659', '']","['0', '']"
5444,r014,"All institutions -> U. Maryland, Baltimore County",All institutions,"U. Maryland, Baltimore County",2,13,"['25,503', '']","['529', '']","['10,467', '']","['0', '']","['0', '']","['13,946', '']","['262', '']","['0', '']","['0', '']","['299', '']","['0', '']"
5444,r015,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,14,"['23,858', '']","['0', '']","['16,551', '']","['298', '']","['0', '']","['4,096', '']","['0', '']","['1,102', '']","['0', '']","['1,811', '']","['0', '']"
5444,r016,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,15,"['22,183', '']","['39', '']","['12,341', '']","['1,785', '']","['0', '']","['3,732', '']","['0', '']","['0', '']","['0', '']","['4,286', '']","['0', '']"
5444,r017,All institutions -> San Jose State U.,All institutions,San Jose State U.,2,16,"['21,470', '']","['0', '']","['1,513', '']","['0', '']","['0', '']","['368', '']","['19,173', '']","['0', '']","['0', '']","['416', '']","['0', '']"
5444,r018,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,17,"['20,865', '']","['0', '']","['19,847', '']","['387', '']","['0', '']","['205', '']","['0', '']","['0', '']","['0', '']","['228', '']","['198', '']"
5444,r019,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,18,"['20,627', '']","['30', '']","['15,903', '']","['393', '']","['0', '']","['3,971', '']","['0', '']","['0', '']","['24', '']","['306', '']","['0', '']"
5444,r020,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,19,"['19,410', '']","['0', '']","['0', '']","['19,410', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5444,r021,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,20,"['18,833', '']","['0', '']","['12,128', '']","['815', '']","['0', '']","['3,582', '']","['0', '']","['0', '']","['0', '']","['2,308', '']","['0', '']"
5444,r022,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,21,"['17,901', '']","['173', '']","['4,519', '']","['71', '']","['5', '']","['11,343', '']","['1', '']","['0', '']","['0', '']","['1,789', '']","['0', '']"
5444,r023,All institutions -> Stanford U.,All institutions,Stanford U.,2,22,"['17,289', '']","['0', '']","['1,681', '']","['452', '']","['0', '']","['10,855', '']","['0', '']","['164', '']","['0', '']","['3,273', '']","['864', '']"
5444,r024,All institutions -> Princeton U.,All institutions,Princeton U.,2,23,"['15,145', '']","['0', '']","['1,278', '']","['0', '']","['0', '']","['12,111', '']","['0', '']","['0', '']","['0', '']","['1,756', '']","['0', '']"
5444,r025,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,24,"['15,134', '']","['617', '']","['2,277', '']","['564', '']","['119', '']","['2,299', '']","['0', '']","['0', '']","['0', '']","['9,258', '']","['0', '']"
5444,r026,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,25,"['14,141', '']","['183', '']","['8,068', '']","['288', '']","['37', '']","['4,876', '']","['0', '']","['0', '']","['0', '']","['689', '']","['0', '']"
5444,r027,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,26,"['13,109', '']","['461', '']","['5,927', '']","['3,650', '']","['0', '']","['2,190', '']","['0', '']","['33', '']","['0', '']","['848', '']","['0', '']"
5444,r028,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,27,"['12,350', '']","['322', '']","['3,092', '']","['1,409', '']","['58', '']","['2,734', '']","['0', '']","['240', '']","['0', '']","['4,084', '']","['411', '']"
5444,r029,All institutions -> Catholic U. of America,All institutions,Catholic U. of America,2,28,"['11,992', '']","['0', '']","['0', '']","['0', '']","['0', '']","['11,389', '']","['0', '']","['0', '']","['0', '']","['603', '']","['0', '']"
5444,r030,All institutions -> U. Iowa,All institutions,U. Iowa,2,29,"['11,649', '']","['0', '']","['223', '']","['5', '']","['0', '']","['10,163', '']","['0', '']","['0', '']","['0', '']","['1,258', '']","['0', '']"
5444,r031,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,30,"['11,153', '']","['0', '']","['0', '']","['0', '']","['0', '']","['179', '']","['0', '']","['0', '']","['0', '']","['10,974', '']","['0', '']"
5444,r032,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,31,"['10,676', '']","['219', '']","['6,696', '']","['961', '']","['0', '']","['1,963', '']","['0', '']","['0', '']","['0', '']","['837', '']","['0', '']"
5444,r033,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,32,"['9,935', '']","['172', '']","['2,245', '']","['95', '']","['0', '']","['1,060', '']","['0', '']","['0', '']","['0', '']","['6,363', '']","['0', '']"
5444,r034,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,33,"['9,913', '']","['0', '']","['1,115', '']","['421', '']","['0', '']","['3,169', '']","['0', '']","['64', '']","['107', '']","['5,037', '']","['0', '']"
5444,r035,All institutions -> Harvard U.,All institutions,Harvard U.,2,34,"['9,824', '']","['0', '']","['4,991', '']","['491', '']","['0', '']","['3,179', '']","['0', '']","['324', '']","['0', '']","['839', '']","['0', '']"
5444,r036,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,35,"['9,219', '']","['0', '']","['2,537', '']","['919', '']","['0', '']","['800', '']","['0', '']","['0', '']","['0', '']","['4,962', '']","['1', '']"
5444,r037,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,36,"['8,869', '']","['564', '']","['0', '']","['0', '']","['0', '']","['2,612', '']","['0', '']","['0', '']","['0', '']","['5,607', '']","['86', '']"
5444,r038,All institutions -> Cornell U.,All institutions,Cornell U.,2,37,"['8,724', '']","['0', '']","['757', '']","['579', '']","['0', '']","['5,699', '']","['0', '']","['0', '']","['0', '']","['1,689', '']","['0', '']"
5444,r039,All institutions -> Boston U.,All institutions,Boston U.,2,38,"['8,621', '']","['0', '']","['3,200', '']","['89', '']","['0', '']","['3,484', '']","['0', '']","['0', '']","['0', '']","['1,430', '']","['418', '']"
5444,r040,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,39,"['8,609', '']","['33', '']","['531', '']","['1,999', '']","['23', '']","['4,048', '']","['0', '']","['0', '']","['0', '']","['1,975', '']","['0', '']"
5444,r041,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,40,"['8,518', '']","['0', '']","['4,129', '']","['2,281', '']","['0', '']","['12', '']","['0', '']","['0', '']","['32', '']","['1,908', '']","['156', '']"
5444,r042,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,41,"['8,430', '']","['83', '']","['957', '']","['511', '']","['0', '']","['1,755', '']","['0', '']","['18', '']","['0', '']","['5,101', '']","['5', '']"
5444,r043,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,42,"['8,078', '']","['0', '']","['3,998', '']","['1,880', '']","['0', '']","['1,086', '']","['0', '']","['0', '']","['0', '']","['1,114', '']","['0', '']"
5444,r044,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,43,"['7,150', '']","['14', '']","['3,528', '']","['0', '']","['0', '']","['3,146', '']","['0', '']","['0', '']","['0', '']","['462', '']","['0', '']"
5444,r045,All institutions -> U. Florida,All institutions,U. Florida,2,44,"['7,064', '']","['35', '']","['519', '']","['1,787', '']","['0', '']","['902', '']","['0', '']","['37', '']","['0', '']","['3,781', '']","['3', '']"
5444,r046,All institutions -> George Mason U.,All institutions,George Mason U.,2,45,"['6,947', '']","['56', '']","['4,913', '']","['0', '']","['0', '']","['1,235', '']","['0', '']","['0', '']","['0', '']","['560', '']","['183', '']"
5444,r047,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,46,"['6,803', '']","['0', '']","['25', '']","['725', '']","['0', '']","['4,275', '']","['0', '']","['5', '']","['669', '']","['947', '']","['157', '']"
5444,r048,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,47,"['6,640', '']","['0', '']","['5,467', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,173', '']","['0', '']"
5444,r049,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,48,"['6,593', '']","['0', '']","['3,578', '']","['1,851', '']","['0', '']","['297', '']","['182', '']","['0', '']","['266', '']","['419', '']","['0', '']"
5444,r050,All institutions -> U. Chicago,All institutions,U. Chicago,2,49,"['6,542', '']","['0', '']","['2,437', '']","['2', '']","['0', '']","['4,048', '']","['0', '']","['0', '']","['0', '']","['55', '']","['0', '']"
5444,r051,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,50,"['6,019', '']","['0', '']","['0', '']","['214', '']","['0', '']","['1,202', '']","['0', '']","['0', '']","['144', '']","['4,459', '']","['0', '']"
