table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_level_4,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields_number_,field_all_fields_percent_,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9588,r001,All doctorate recipients reporting source of support,All doctorate recipients reporting source of support,,,,1,51206,100.0,80.3,2.3,16.8,3.8,18.7,2.1,4.8,3.8,3.1,9.6,6.4,9.0,19.7,2.4,6.5,5.8,1.5,3.6
9588,r002,All doctorate recipients reporting source of support -> Fellowship or scholarship,All doctorate recipients reporting source of support,Fellowship or scholarship,,,2,34127,100.0,80.0,2.4,18.4,3.0,17.2,2.3,4.3,3.5,2.9,9.1,6.1,10.8,20.0,2.4,4.8,7.3,1.9,3.5
9588,r003,All doctorate recipients reporting source of support -> Dissertation grant,All doctorate recipients reporting source of support,Dissertation grant,,,2,9225,100.0,70.2,2.4,13.7,1.5,9.0,2.0,5.6,1.7,2.2,4.8,7.6,19.7,29.8,2.3,5.3,13.5,3.6,5.2
9588,r004,All doctorate recipients reporting source of support -> Assistantship,All doctorate recipients reporting source of support,Assistantship,,,2,,,,,,,,,,,,,,,,,,,,
9588,r005,All doctorate recipients reporting source of support -> Assistantship -> Teaching,All doctorate recipients reporting source of support,Assistantship,Teaching,,3,35224,100.0,81.5,1.7,13.6,4.3,18.1,2.4,3.2,5.1,3.2,12.4,6.5,10.9,18.5,2.3,3.6,7.2,1.9,3.5
9588,r006,All doctorate recipients reporting source of support -> Assistantship -> Research,All doctorate recipients reporting source of support,Assistantship,Research,,3,34811,100.0,87.3,2.7,16.3,4.8,23.4,2.7,3.6,3.4,3.6,12.6,5.6,8.5,12.7,2.2,3.5,3.3,0.8,2.9
9588,r007,All doctorate recipients reporting source of support -> Assistantship -> Other,All doctorate recipients reporting source of support,Assistantship,Other,,3,4390,100.0,66.4,2.3,8.5,2.1,11.3,1.4,4.4,2.4,2.3,4.1,15.1,12.4,33.6,2.0,12.2,10.8,3.3,5.3
9588,r008,All doctorate recipients reporting source of support -> Traineeship,All doctorate recipients reporting source of support,Traineeship,,,2,2078,100.0,95.4,1.4,49.6,0.8,11.1,1.3,7.9,1.3,1.5,5.4,10.3,4.7,4.6,,1.4,1.8,,0.9
9588,r009,All doctorate recipients reporting source of support -> Internship or clinical residency,All doctorate recipients reporting source of support,Internship or clinical residency,,,2,5856,100.0,93.0,1.0,6.3,12.8,27.6,1.8,2.5,5.6,5.7,4.6,20.6,4.5,7.0,0.7,2.0,1.9,0.9,1.5
9588,r010,All doctorate recipients reporting source of support -> Loan (any source),All doctorate recipients reporting source of support,Loan (any source),,,2,10616,100.0,65.0,2.0,11.3,1.4,8.5,1.0,8.1,1.4,1.9,4.1,13.8,11.5,35.0,2.5,14.8,8.8,2.5,6.4
9588,r011,All doctorate recipients reporting source of support -> Personal sources,All doctorate recipients reporting source of support,Personal sources,,,2,,,,,,,,,,,,,,,,,,,,
9588,r012,All doctorate recipients reporting source of support -> Personal sources -> Savings,All doctorate recipients reporting source of support,Personal sources,Savings,,3,26174,100.0,75.7,2.3,15.6,3.3,15.3,1.8,5.7,3.1,2.8,6.9,8.4,10.4,24.3,2.9,8.4,6.7,1.8,4.5
9588,r013,All doctorate recipients reporting source of support -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support,Personal sources,Other earnings during graduate school,,3,14963,100.0,66.4,2.1,12.0,2.2,10.1,1.4,7.3,2.2,2.4,4.4,10.1,12.3,33.6,2.1,12.8,10.3,2.8,5.5
9588,r014,"All doctorate recipients reporting source of support -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support,"Spouse's, partner's, or family's earnings or savings",,,2,19744,100.0,75.9,2.4,16.2,3.0,15.2,1.7,5.4,3.1,2.7,6.9,9.2,10.2,24.1,2.8,7.6,7.4,2.0,4.4
9588,r015,All doctorate recipients reporting source of support -> Employer reimbursement or assistance,All doctorate recipients reporting source of support,Employer reimbursement or assistance,,,2,5122,100.0,66.0,2.3,12.6,3.6,13.2,1.8,9.9,2.3,2.7,4.6,5.5,7.6,34.0,3.0,19.2,5.4,0.8,5.6
9588,r016,All doctorate recipients reporting source of support -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support,Foreign (non-U.S.) support,,,2,2815,100.0,78.5,3.5,12.3,4.9,23.3,2.1,4.7,3.8,3.9,5.4,2.9,11.7,21.5,3.1,4.7,6.5,2.6,4.7
9588,r017,All doctorate recipients reporting source of support -> Other ,All doctorate recipients reporting source of support,Other ,,,2,533,100.0,71.3,1.9,14.1,2.6,11.6,0.8,8.1,2.1,1.9,6.0,11.3,11.1,28.7,3.9,10.3,7.7,1.5,5.3
9588,r018,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,,,2,27170,100.0,84.7,2.1,14.7,5.5,25.7,2.1,2.8,5.0,3.7,12.2,3.0,8.0,15.3,2.5,3.6,5.4,1.2,2.6
9588,r019,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Fellowship or scholarship,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Fellowship or scholarship,,3,17521,100.0,83.4,2.1,16.1,4.3,23.3,2.3,2.5,4.9,3.5,11.5,2.9,9.9,16.6,2.7,2.7,7.0,1.6,2.7
9588,r020,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Dissertation grant,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Dissertation grant,,3,3914,100.0,72.3,2.4,13.2,2.4,14.1,2.2,2.9,2.9,2.4,7.1,3.9,18.9,27.7,2.7,3.5,14.3,3.1,4.2
9588,r021,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Assistantship,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Assistantship,,3,,,,,,,,,,,,,,,,,,,,
9588,r022,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Assistantship -> Teaching,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Assistantship,Teaching,4,19188,100.0,85.4,1.4,11.5,6.0,23.8,2.3,1.9,6.7,3.8,15.2,3.1,9.5,14.6,2.4,2.0,6.3,1.5,2.5
9588,r023,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Assistantship -> Research,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Assistantship,Research,4,19488,100.0,90.9,2.5,13.5,6.5,30.4,2.5,2.2,4.2,4.2,15.1,2.6,7.2,9.1,2.2,1.8,2.7,0.5,2.0
9588,r024,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Assistantship -> Other,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Assistantship,Other,4,1943,100.0,72.4,2.9,8.4,3.2,19.3,1.4,3.0,3.9,3.0,6.2,8.5,12.6,27.6,2.7,7.8,10.1,2.7,4.3
9588,r025,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Traineeship,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Traineeship,,3,896,100.0,96.1,1.3,48.7,1.2,15.4,1.6,5.9,1.7,1.3,6.7,6.6,5.7,3.9,,,2.3,0.0,0.7
9588,r026,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Internship or clinical residency,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Internship or clinical residency,,3,3202,100.0,95.0,0.7,4.7,17.9,37.0,1.7,1.9,6.7,7.4,5.6,7.7,3.8,5.0,0.8,0.9,1.5,0.5,1.2
9588,r027,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Loan (any source),All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Loan (any source),,3,4570,100.0,68.7,2.1,12.6,2.4,15.0,1.1,4.7,2.6,2.5,6.5,7.9,11.3,31.3,2.9,9.9,10.6,2.7,5.2
9588,r028,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Personal sources,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Personal sources,,3,,,,,,,,,,,,,,,,,,,,
9588,r029,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Personal sources -> Savings,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Personal sources,Savings,4,12914,100.0,79.9,2.3,14.1,5.1,22.5,1.9,3.3,4.5,3.5,9.0,4.0,9.7,20.1,3.3,5.1,6.7,1.6,3.4
9588,r030,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Personal sources -> Other earnings during graduate school,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Personal sources,Other earnings during graduate school,4,6629,100.0,70.5,2.3,12.0,3.7,16.4,1.4,4.1,3.7,3.1,6.4,5.6,11.8,29.5,2.5,8.4,11.4,2.8,4.4
9588,r031,"All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Spouse's, partner's, or family's earnings or savings",All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,"Spouse's, partner's, or family's earnings or savings",,3,8951,100.0,79.6,2.4,14.4,4.7,22.8,1.7,2.7,4.4,3.3,9.7,4.2,9.5,20.4,3.0,4.2,7.9,1.8,3.5
9588,r032,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Employer reimbursement or assistance,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Employer reimbursement or assistance,,3,2525,100.0,73.2,2.2,12.7,5.5,21.3,2.3,4.8,3.2,3.8,6.8,2.9,7.8,26.8,3.5,11.7,6.2,1.0,4.4
9588,r033,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Foreign (non-U.S.) support,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Foreign (non-U.S.) support,,3,1665,100.0,82.1,3.2,10.6,6.1,31.1,1.9,2.9,3.8,3.9,6.4,1.1,11.1,17.9,3.0,3.2,6.2,1.7,3.7
9588,r034,All doctorate recipients reporting source of support -> Male doctorate recipients reporting source of support -> Other ,All doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,Other ,,3,270,100.0,70.0,1.5,11.5,3.7,17.8,1.5,4.8,3.0,1.9,7.0,6.7,10.7,30.0,5.6,7.8,10.7,1.1,4.8
9588,r035,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,,,2,24031,100.0,75.3,2.5,19.2,1.9,10.9,2.1,7.0,2.3,2.4,6.7,10.2,10.1,24.7,2.2,9.8,6.2,1.8,4.7
9588,r036,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Fellowship or scholarship,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Fellowship or scholarship,,3,16601,100.0,76.5,2.6,20.9,1.7,10.7,2.4,6.1,2.1,2.4,6.5,9.4,11.9,23.5,2.2,7.0,7.6,2.3,4.4
9588,r037,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Dissertation grant,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Dissertation grant,,3,5309,100.0,68.6,2.4,14.1,0.9,5.2,1.8,7.7,0.8,2.1,3.1,10.3,20.2,31.4,1.9,6.7,12.9,4.0,5.9
9588,r038,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Assistantship,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Assistantship,,3,,,,,,,,,,,,,,,,,,,,
9588,r039,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Assistantship -> Teaching,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Assistantship,Teaching,4,16032,100.0,76.7,2.0,16.1,2.3,11.3,2.5,4.7,3.2,2.6,9.0,10.6,12.5,23.3,2.3,5.7,8.3,2.4,4.7
9588,r040,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Assistantship -> Research,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Assistantship,Research,4,15320,100.0,82.8,3.1,19.8,2.6,14.6,2.9,5.5,2.4,2.9,9.5,9.4,10.2,17.2,2.3,5.7,4.0,1.1,4.1
9588,r041,All doctorate recipients reporting source of support -> Female doctorate recipients reporting source of support -> Assistantship -> Other,All doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,Assistantship,Other,4,2446,100.0,61.6,1.9,8.6,1.1,5.0,1.4,5.5,1.2,1.7,2.4,20.4,12.3,38.4,1.4,15.8,11.4,3.8,6.1
