table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_one_or_more_limitations_of_any_type_number,field_one_or_more_limitations_of_any_type_percent,field_visual_limitations_number,field_visual_limitations_percent,field_hearing_limitations_number,field_hearing_limitations_percent,field_walking_limitations_number,field_walking_limitations_percent,field_lifting_limitations_number,field_lifting_limitations_percent,field_cognitive_limitations_number,field_cognitive_limitations_percent
9491,r001,Doctorate recipients reporting functional limitation status,Doctorate recipients reporting functional limitation status,,,,1,6669,13.2,2285,4.5,909,1.8,345,0.7,553,1.1,4095,8.1
9491,r002,Doctorate recipients reporting functional limitation status -> Field of doctorate,Doctorate recipients reporting functional limitation status,Field of doctorate,,,2,,,,,,,,,,,,
9491,r003,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,,3,5137,12.7,1757,4.3,653,1.6,230,0.6,384,0.9,3192,7.9
9491,r004,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Agricultural sciences and natural resources,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Agricultural sciences and natural resources,4,166,14.3,58,5.0,30,2.6,8,0.7,17,1.5,94,8.1
9491,r005,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Biological and biomedical sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Biological and biomedical sciences,4,1147,13.4,295,3.5,161,1.9,32,0.4,59,0.7,800,9.4
9491,r006,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Computer and information sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Computer and information sciences,4,202,10.7,88,4.6,27,1.4,17,0.9,21,1.1,103,5.4
9491,r007,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Engineering,4,928,9.9,447,4.7,109,1.2,46,0.5,85,0.9,464,4.9
9491,r008,"Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,"Geosciences, atmospheric, and ocean sciences",4,139,13.2,45,4.3,16,1.5,6,0.6,7,0.7,93,8.8
9491,r009,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Health sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Health sciences,4,295,12.2,116,4.8,34,1.4,20,0.8,37,1.5,162,6.7
9491,r010,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Mathematics and statistics,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Mathematics and statistics,4,211,11.2,88,4.7,24,1.3,11,0.6,15,0.8,125,6.6
