table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9603,r001,Doctorate recipients reporting master's degree,Doctorate recipients reporting master's degree,,,,1,73.6,68.6,77.7,43.9,73.9,75.5,68.7,80.6,70.8,77.6,51.0,89.4,89.2,93.6,87.5,96.3,91.8,94.4,95.2
9603,r002,Doctorate recipients reporting master's degree -> Sex,Doctorate recipients reporting master's degree,Sex,,,2,,,,,,,,,,,,,,,,,,,
9603,r003,Doctorate recipients reporting master's degree -> Sex -> Male,Doctorate recipients reporting master's degree,Sex,Male,,3,71.8,68.0,80.4,44.0,72.6,76.4,70.5,73.8,69.2,77.8,52.1,87.2,87.3,92.8,88.6,96.3,91.1,94.3,94.9
9603,r004,Doctorate recipients reporting master's degree -> Sex -> Female,Doctorate recipients reporting master's degree,Sex,Female,,3,75.5,69.4,75.2,43.8,78.1,73.0,66.6,83.7,74.8,77.3,48.6,90.1,91.0,94.1,86.0,96.4,92.4,94.5,95.3
9603,r005,Doctorate recipients reporting master's degree -> Citizenship status,Doctorate recipients reporting master's degree,Citizenship status,,,2,,,,,,,,,,,,,,,,,,,
9603,r006,Doctorate recipients reporting master's degree -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting master's degree,Citizenship status,U.S. citizen or permanent resident,,3,71.0,63.8,74.1,36.3,74.5,68.4,64.1,81.0,67.7,75.2,44.4,90.3,88.5,94.4,85.8,97.5,91.8,94.4,95.9
9603,r007,Doctorate recipients reporting master's degree -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting master's degree,Citizenship status,Temporary visa holder,,3,79.5,77.3,84.0,66.4,74.6,81.8,78.9,82.7,74.3,81.0,61.5,90.7,92.6,95.1,90.6,97.7,96.2,96.4,96.5
9603,r008,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
9603,r009,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,70.5,62.8,65.2,37.9,71.4,68.0,62.7,78.6,63.6,70.9,43.1,86.4,90.4,94.2,91.1,98.1,90.3,91.4,95.3
9603,r010,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
9603,r011,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,88.1,,,,100.0,,-,100.0,100.0,0.0,,100.0,100.0,,100.0,100.0,100.0,100.0,
9603,r012,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,67.4,62.7,75.6,39.8,66.0,70.8,69.8,81.8,57.0,72.4,51.6,89.3,84.5,92.4,84.9,96.8,89.8,,
9603,r013,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,87.0,80.5,88.2,,,81.4,,92.3,76.9,,50.6,96.4,96.5,97.4,98.8,98.9,88.6,,
9603,r014,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,70.0,62.6,74.2,34.9,76.5,67.4,63.2,78.9,69.9,75.6,43.0,90.4,87.2,94.2,82.9,97.3,92.6,94.7,95.7
9603,r015,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,65.4,59.4,,32.8,76.0,57.9,,76.0,63.3,57.7,47.7,88.8,90.1,89.7,,92.4,85.7,100.0,
9603,r016,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,76.4,,80.0,31.1,75.0,,50.0,,,,,,100.0,,88.9,95.5,,,75.0
9603,r017,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,74.1,66.9,66.7,44.4,44.4,80.5,75.0,80.0,40.0,50.0,36.4,83.3,92.9,96.0,100.0,100.0,91.7,100.0,100.0
9603,r018,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,,,2,55.8,52.6,53.2,29.2,49.3,65.8,48.6,59.4,63.9,23.9,43.9,72.5,67.0,68.7,62.7,64.1,79.0,80.7,60.0
9603,r019,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Sex,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Sex,,3,,,,,,,,,,,,,,,,,,,
9603,r020,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Sex -> Male,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Sex,Male,4,55.2,52.7,55.2,28.3,49.0,66.8,50.9,48.0,62.5,23.2,44.8,71.1,68.9,68.9,62.7,59.9,81.8,82.0,55.4
9603,r021,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Sex -> Female,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Sex,Female,4,56.3,52.3,51.2,30.0,50.3,63.1,45.9,64.5,67.4,25.0,42.2,72.9,65.3,68.5,62.8,65.8,76.1,79.6,62.9
9603,r022,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Citizenship status,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Citizenship status,,3,,,,,,,,,,,,,,,,,,,
9603,r023,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Citizenship status,U.S. citizen or permanent resident,4,54.2,49.3,49.3,24.7,52.5,60.7,48.1,61.1,62.8,27.1,39.8,74.0,64.2,70.0,62.8,65.2,80.0,81.9,60.5
9603,r024,Doctorate recipients reporting master's degree -> Master's degree in the same field as doctorate -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting master's degree,Master's degree in the same field as doctorate,Citizenship status,Temporary visa holder,4,60.1,59.0,60.1,43.0,48.3,70.8,50.5,57.3,66.5,21.8,51.0,69.1,74.5,68.3,64.5,64.8,79.4,78.6,61.7
9603,r025,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
9603,r026,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,53.9,48.7,45.6,26.2,41.5,61.7,47.5,56.5,63.6,21.5,39.0,72.2,68.5,69.9,57.8,67.2,73.9,82.8,66.4
9603,r027,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
9603,r028,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,63.1,57.7,,0.0,0.0,,-,,,0.0,,,58.8,71.9,,68.4,,,
