table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2019,field_2020,field_2021,field_2022_all_physical_sciences,field_2022_astronomy_and_astrophysics,field_2022_chemistry,field_2022_materials_science,field_2022_physics,field_2022_physical_sciences_nec
10140,r001,All institutions,All institutions,,1,-,"['5,550,678', '']","['5,672,442', '']","['5,737,169', '']","['6,167,583', '']","['813,900', '']","['2,126,741', '']","['286,461', '']","['2,669,076', '']","['271,405', '']"
10140,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['323,619', 'i']","['390,245', 'i']","['338,454', 'i']","['317,282', 'i']","['31,863', 'i']","['25,673', 'i']","['4,402', 'i']","['234,921', 'i']","['20,423', 'i']"
10140,r003,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,2,"['188,041', '']","['217,581', '']","['212,265', 'i']","['227,465', '']","['64,902', '']","['36,223', '']","['25,614', '']","['100,726', '']","['0', '']"
10140,r004,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,3,"['130,895', '']","['141,434', '']","['156,896', '']","['196,281', '']","['98,376', '']","['49,390', '']","['104', '']","['37,089', '']","['11,322', '']"
10140,r005,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,4,"['151,159', '']","['154,318', '']","['167,520', '']","['183,514', '']","['69', '']","['15,669', '']","['0', '']","['167,776', '']","['0', '']"
10140,r006,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,5,"['136,601', '']","['153,044', '']","['170,494', '']","['174,813', '']","['37,890', '']","['35,819', '']","['6,436', '']","['68,994', '']","['25,674', '']"
10140,r007,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,6,"['107,416', '']","['115,340', '']","['120,677', '']","['143,342', '']","['43,602', '']","['12,345', '']","['0', '']","['79,823', '']","['7,572', '']"
10140,r008,All institutions -> U. Arizona,All institutions,U. Arizona,2,7,"['139,315', '']","['149,138', '']","['140,655', '']","['142,519', '']","['123,039', '']","['9,869', '']","['3,663', '']","['5,890', '']","['58', '']"
10140,r009,All institutions -> Cornell U.,All institutions,Cornell U.,2,8,"['122,968', '']","['121,218', '']","['120,151', '']","['120,697', '']","['11,667', '']","['30,250', '']","['3,515', '']","['51,692', '']","['23,573', '']"
10140,r010,All institutions -> Harvard U.,All institutions,Harvard U.,2,9,"['94,515', '']","['100,654', '']","['109,606', '']","['118,530', '']","['12,087', '']","['37,601', '']","['52', '']","['66,873', '']","['1,917', '']"
10140,r011,All institutions -> U. Rochester,All institutions,U. Rochester,2,10,"['111,388', '']","['101,004', '']","['99,556', '']","['112,275', '']","['0', '']","['6,758', '']","['0', '']","['105,517', '']","['0', '']"
10140,r012,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,11,"['102,720', '']","['105,718', '']","['101,322', '']","['110,607', '']","['40,049', '']","['8,290', '']","['4,780', '']","['45,925', '']","['11,563', '']"
10140,r013,All institutions -> Stanford U.,All institutions,Stanford U.,2,12,"['95,084', '']","['94,954', '']","['98,672', '']","['101,529', '']","['4,101', '']","['29,681', '']","['16,916', '']","['48,088', '']","['2,743', '']"
10140,r014,All institutions -> Princeton U.,All institutions,Princeton U.,2,13,"['88,235', '']","['94,815', '']","['99,326', '']","['101,461', '']","['29,410', '']","['28,604', '']","['4,663', '']","['37,325', '']","['1,459', '']"
