table_id,row_id,sex_and_major_field_of_study_full_path,sex_and_major_field_of_study_level_1,sex_and_major_field_of_study_level_2,sex_and_major_field_of_study_level_3,sex_and_major_field_of_study_level_4,sex_and_major_field_of_study_hierarchy_depth,field_all_recipients,field_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
996,r001,All doctorate recipients<sup>c</sup>,All doctorate recipients<sup>c</sup>,,,,1,54664,32239,29155,11412,8237,6160,3346,3076,8
996,r002,All doctorate recipients<sup>c</sup> -> Life sciences,All doctorate recipients<sup>c</sup>,Life sciences,,,2,12592,7401,6868,4177,1092,1011,588,533,0
996,r003,All doctorate recipients<sup>c</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>c</sup>,Life sciences,Agricultural sciences and natural resources,,3,1606,872,743,350,154,149,90,129,0
996,r004,All doctorate recipients<sup>c</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>c</sup>,Life sciences,Biological and biomedical sciences,,3,8477,4997,4705,3362,433,676,234,292,0
996,r005,All doctorate recipients<sup>c</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>c</sup>,Life sciences,Health sciences,,3,2509,1532,1420,465,505,186,264,112,0
996,r006,All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,,,2,6081,3672,3270,1866,331,873,200,400,2
996,r007,All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,Chemistry,,3,2697,1554,1443,777,153,461,52,110,1
996,r008,"All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,1165,736,638,384,79,86,89,97,1
996,r009,All doctorate recipients<sup>c</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>c</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,2219,1382,1189,705,99,326,59,193,0
996,r010,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,,,2,3843,2488,2214,631,491,958,134,273,1
996,r011,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,Computer and information sciences,,3,1987,1321,1202,226,256,642,78,118,1
996,r012,All doctorate recipients<sup>c</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>c</sup>,Mathematics and computer sciences,Mathematics and statistics,,3,1856,1167,1012,405,235,316,56,155,0
996,r013,All doctorate recipients<sup>c</sup> -> Psychology and social sciences,All doctorate recipients<sup>c</sup>,Psychology and social sciences,,,2,9079,5670,5040,2032,1720,590,698,629,1
996,r014,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Psychology,,3,3960,2561,2478,1463,491,249,275,83,0
996,r015,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Anthropology,,3,455,234,194,84,73,13,24,40,0
996,r016,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Economics,,3,1237,910,657,91,274,187,105,252,1
996,r017,All doctorate recipients<sup>c</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>c</sup>,Psychology and social sciences,Political science and government,,3,752,476,408,116,216,25,51,68,0
