table_id,row_id,time_period,gdp_level_1,gdp_level_2,gdp_level_3,gdp_hierarchy_depth,value
3628,r001,1953,GDP,Current $billions,,2,389.2
3628,r002,1953,GDP,Constant 2012 $billions,,2,2695.6
3628,r003,1953,GDP,Deflatora (2012 = 1.00000),,2,0.14438
3628,r004,1953,Total R&D,Current $billions,,2,5.2
3628,r005,1953,Total R&D,Constant 2012 $billions,,2,35.7
3628,r006,1953,R&D/GDP (%),Total,,2,1.33
3628,r007,1953,R&D/GDP (%),"R&D, by performer",Business,3,0.93
3628,r008,1953,R&D/GDP (%),"R&D, by performer",Federalb,3,0.29
3628,r009,1953,R&D/GDP (%),"R&D, by performer",Higher education,3,0.07
3628,r010,1953,R&D/GDP (%),"R&D, by performer",Otherc,3,0.03
3628,r011,1953,R&D/GDP (%),"R&D, by source of funding",Business,3,0.58
3628,r012,1953,R&D/GDP (%),"R&D, by source of funding",Federal,3,0.71
3628,r013,1953,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.03
3628,r014,1954,GDP,Current $billions,,2,390.5
3628,r015,1954,GDP,Constant 2012 $billions,,2,2680.0
3628,r016,1954,GDP,Deflatora (2012 = 1.00000),,2,0.14571
3628,r017,1954,Total R&D,Current $billions,,2,5.6
3628,r018,1954,Total R&D,Constant 2012 $billions,,2,38.6
3628,r019,1954,R&D/GDP (%),Total,,2,1.44
3628,r020,1954,R&D/GDP (%),"R&D, by performer",Business,3,1.04
3628,r021,1954,R&D/GDP (%),"R&D, by performer",Federalb,3,0.29
3628,r022,1954,R&D/GDP (%),"R&D, by performer",Higher education,3,0.08
3628,r023,1954,R&D/GDP (%),"R&D, by performer",Otherc,3,0.03
3628,r024,1954,R&D/GDP (%),"R&D, by source of funding",Business,3,0.61
3628,r025,1954,R&D/GDP (%),"R&D, by source of funding",Federal,3,0.79
3628,r026,1954,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.04
3628,r027,1955,GDP,Current $billions,,2,425.5
3628,r028,1955,GDP,Constant 2012 $billions,,2,2871.2
3628,r029,1955,GDP,Deflatora (2012 = 1.00000),,2,0.1482
3628,r030,1955,Total R&D,Current $billions,,2,6.2
3628,r031,1955,Total R&D,Constant 2012 $billions,,2,41.7
3628,r032,1955,R&D/GDP (%),Total,,2,1.45
3628,r033,1955,R&D/GDP (%),"R&D, by performer",Business,3,1.04
3628,r034,1955,R&D/GDP (%),"R&D, by performer",Federalb,3,0.3
3628,r035,1955,R&D/GDP (%),"R&D, by performer",Higher education,3,0.08
3628,r036,1955,R&D/GDP (%),"R&D, by performer",Otherc,3,0.03
3628,r037,1955,R&D/GDP (%),"R&D, by source of funding",Business,3,0.59
3628,r038,1955,R&D/GDP (%),"R&D, by source of funding",Federal,3,0.82
3628,r039,1955,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.04
3628,r040,1956,GDP,Current $billions,,2,449.4
3628,r041,1956,GDP,Constant 2012 $billions,,2,2932.4
3628,r042,1956,GDP,Deflatora (2012 = 1.00000),,2,0.15325
3628,r043,1956,Total R&D,Current $billions,,2,8.5
3628,r044,1956,Total R&D,Constant 2012 $billions,,2,55.5
3628,r045,1956,R&D/GDP (%),Total,,2,1.89
3628,r046,1956,R&D/GDP (%),"R&D, by performer",Business,3,1.4
3628,r047,1956,R&D/GDP (%),"R&D, by performer",Federalb,3,0.38
3628,r048,1956,R&D/GDP (%),"R&D, by performer",Higher education,3,0.09
3628,r049,1956,R&D/GDP (%),"R&D, by performer",Otherc,3,0.03
3628,r050,1956,R&D/GDP (%),"R&D, by source of funding",Business,3,0.74
3628,r051,1956,R&D/GDP (%),"R&D, by source of funding",Federal,3,1.11
3628,r052,1956,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.04
3628,r053,1957,GDP,Current $billions,,2,474.0
3628,r054,1957,GDP,Constant 2012 $billions,,2,2994.1
3628,r055,1957,GDP,Deflatora (2012 = 1.00000),,2,0.15831
3628,r056,1957,Total R&D,Current $billions,,2,9.9
3628,r057,1957,Total R&D,Constant 2012 $billions,,2,62.6
3628,r058,1957,R&D/GDP (%),Total,,2,2.09
3628,r059,1957,R&D/GDP (%),"R&D, by performer",Business,3,1.55
3628,r060,1957,R&D/GDP (%),"R&D, by performer",Federalb,3,0.42
3628,r061,1957,R&D/GDP (%),"R&D, by performer",Higher education,3,0.09
3628,r062,1957,R&D/GDP (%),"R&D, by performer",Otherc,3,0.04
3628,r063,1957,R&D/GDP (%),"R&D, by source of funding",Business,3,0.73
3628,r064,1957,R&D/GDP (%),"R&D, by source of funding",Federal,3,1.31
3628,r065,1957,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.04
3628,r066,1958,GDP,Current $billions,,2,481.2
3628,r067,1958,GDP,Constant 2012 $billions,,2,2972.0
3628,r068,1958,GDP,Deflatora (2012 = 1.00000),,2,0.16191
3628,r069,1958,Total R&D,Current $billions,,2,10.9
3628,r070,1958,Total R&D,Constant 2012 $billions,,2,67.4
3628,r071,1958,R&D/GDP (%),Total,,2,2.27
3628,r072,1958,R&D/GDP (%),"R&D, by performer",Business,3,1.68
3628,r073,1958,R&D/GDP (%),"R&D, by performer",Federalb,3,0.45
3628,r074,1958,R&D/GDP (%),"R&D, by performer",Higher education,3,0.1
3628,r075,1958,R&D/GDP (%),"R&D, by performer",Otherc,3,0.04
3628,r076,1958,R&D/GDP (%),"R&D, by source of funding",Business,3,0.77
3628,r077,1958,R&D/GDP (%),"R&D, by source of funding",Federal,3,1.45
3628,r078,1958,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.05
3628,r079,1959,GDP,Current $billions,,2,521.7
3628,r080,1959,GDP,Constant 2012 $billions,,2,3178.2
3628,r081,1959,GDP,Deflatora (2012 = 1.00000),,2,0.16415
3628,r082,1959,Total R&D,Current $billions,,2,12.5
3628,r083,1959,Total R&D,Constant 2012 $billions,,2,76.1
3628,r084,1959,R&D/GDP (%),Total,,2,2.39
3628,r085,1959,R&D/GDP (%),"R&D, by performer",Business,3,1.76
3628,r086,1959,R&D/GDP (%),"R&D, by performer",Federalb,3,0.47
3628,r087,1959,R&D/GDP (%),"R&D, by performer",Higher education,3,0.11
3628,r088,1959,R&D/GDP (%),"R&D, by performer",Otherc,3,0.04
3628,r089,1959,R&D/GDP (%),"R&D, by source of funding",Business,3,0.78
3628,r090,1959,R&D/GDP (%),"R&D, by source of funding",Federal,3,1.57
3628,r091,1959,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.05
3628,r092,1960,GDP,Current $billions,,2,542.4
3628,r093,1960,GDP,Constant 2012 $billions,,2,3260.0
3628,r094,1960,GDP,Deflatora (2012 = 1.00000),,2,0.16638
3628,r095,1960,Total R&D,Current $billions,,2,13.7
3628,r096,1960,Total R&D,Constant 2012 $billions,,2,82.4
3628,r097,1960,R&D/GDP (%),Total,,2,2.53
3628,r098,1960,R&D/GDP (%),"R&D, by performer",Business,3,1.85
3628,r099,1960,R&D/GDP (%),"R&D, by performer",Federalb,3,0.5
3628,r100,1960,R&D/GDP (%),"R&D, by performer",Higher education,3,0.13
3628,r101,1960,R&D/GDP (%),"R&D, by performer",Otherc,3,0.05
3628,r102,1960,R&D/GDP (%),"R&D, by source of funding",Business,3,0.83
3628,r103,1960,R&D/GDP (%),"R&D, by source of funding",Federal,3,1.64
3628,r104,1960,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.05
3628,r105,1961,GDP,Current $billions,,2,562.2
3628,r106,1961,GDP,Constant 2012 $billions,,2,3343.5
3628,r107,1961,GDP,Deflatora (2012 = 1.00000),,2,0.16815
3628,r108,1961,Total R&D,Current $billions,,2,14.6
3628,r109,1961,Total R&D,Constant 2012 $billions,,2,86.6
3628,r110,1961,R&D/GDP (%),Total,,2,2.59
3628,r111,1961,R&D/GDP (%),"R&D, by performer",Business,3,1.84
3628,r112,1961,R&D/GDP (%),"R&D, by performer",Federalb,3,0.55
3628,r113,1961,R&D/GDP (%),"R&D, by performer",Higher education,3,0.15
3628,r114,1961,R&D/GDP (%),"R&D, by performer",Otherc,3,0.05
3628,r115,1961,R&D/GDP (%),"R&D, by source of funding",Business,3,0.85
3628,r116,1961,R&D/GDP (%),"R&D, by source of funding",Federal,3,1.69
3628,r117,1961,R&D/GDP (%),"R&D, by source of funding",Otherd,3,0.06
3628,r118,1962,GDP,Current $billions,,2,603.9
3628,r119,1962,GDP,Constant 2012 $billions,,2,3548.4
3628,r120,1962,GDP,Deflatora (2012 = 1.00000),,2,0.17019
3628,r121,1962,Total R&D,Current $billions,,2,15.6
3628,r122,1962,Total R&D,Constant 2012 $billions,,2,91.9
3628,r123,1962,R&D/GDP (%),Total,,2,2.59
3628,r124,1962,R&D/GDP (%),"R&D, by performer",Business,3,1.83
3628,r125,1962,R&D/GDP (%),"R&D, by performer",Federalb,3,0.54
