table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2019,field_2020,field_2021,field_2022_all_geosciences_atmospheric_sciences_and_ocean_sciences,field_2022_atmospheric_science_and_meteorology,field_2022_geological_and_earth_sciences,field_2022_ocean_sciences_and_marine_sciences,field_2022_geosciences_atmospheric_sciences_and_ocean_sciences_nec
10132,r001,All institutions,All institutions,,1,-,"['3,185,919', '']","['3,281,415', '']","['3,294,584', '']","['3,690,235', '']","['668,918', '']","['1,370,650', '']","['1,211,130', '']","['439,537', '']"
10132,r002,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,1,"['180,626', '']","['201,331', '']","['185,870', '']","['187,175', '']","['2,031', '']","['46,032', '']","['139,029', '']","['83', '']"
10132,r003,All institutions -> Woods Hole Oceanographic Institution,All institutions,Woods Hole Oceanographic Institution,2,2,"['145,169', '']","['143,240', '']","['160,059', '']","['166,020', 'i']","['30,261', 'i']","['73,100', 'i']","['47,427', 'i']","['15,232', 'i']"
10132,r004,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,3,"['123,301', '']","['135,307', '']","['128,033', '']","['152,187', '']","['55,133', '']","['11,151', '']","['77,308', '']","['8,595', '']"
10132,r005,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,4,"['121,624', '']","['119,824', '']","['118,876', '']","['129,830', '']","['29,149', '']","['17,039', '']","['3,165', '']","['80,477', '']"
10132,r006,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,5,"['113,459', '']","['107,894', '']","['106,932', '']","['122,622', '']","['6,600', '']","['14,720', '']","['95,258', '']","['6,044', '']"
10132,r007,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,6,"['69,346', '']","['72,609', '']","['95,711', '']","['121,905', '']","['12,633', '']","['67,635', '']","['40,094', '']","['1,543', '']"
10132,r008,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,7,"['42,585', 'i']","['65,556', 'i']","['79,257', 'i']","['96,789', 'i']","['14,132', 'i']","['41,157', 'i']","['31,292', 'i']","['10,208', 'i']"
10132,r009,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,8,"['71,836', '']","['84,812', '']","['91,101', '']","['89,076', '']","['78,348', '']","['10,728', '']","['0', '']","['0', '']"
10132,r010,All institutions -> U. New Hampshire,All institutions,U. New Hampshire,2,9,"['48,149', '']","['51,661', '']","['55,523', '']","['86,032', '']","['29,758', '']","['7,874', '']","['48,400', '']","['0', '']"
