table_id,row_id,_b_survey_population_and_source_of_funds_b_full_path,_b_survey_population_and_source_of_funds_b_level_1,_b_survey_population_and_source_of_funds_b_level_2,_b_survey_population_and_source_of_funds_b_level_3,_b_survey_population_and_source_of_funds_b_level_4,_b_survey_population_and_source_of_funds_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
7927,r001,Standard form institutions,Standard form institutions,,,,1,,,
7927,r002,Standard form institutions -> All sources,Standard form institutions,All sources,,,2,89723447,98338,0.1
7927,r003,Standard form institutions -> All sources -> Federal government,Standard form institutions,All sources,Federal government,,3,49143460,57678,0.1
7927,r004,Standard form institutions -> All sources -> State and local government,Standard form institutions,All sources,State and local government,,3,4736015,5106,0.1
7927,r005,Standard form institutions -> All sources -> Institution funds,Standard form institutions,All sources,Institution funds,,3,22448362,26235,0.1
7927,r006,Standard form institutions -> All sources -> Institution funds -> Institutionally financed research,Standard form institutions,All sources,Institution funds,Institutionally financed research,4,14945647,18578,0.1
7927,r007,Standard form institutions -> All sources -> Institution funds -> Cost sharing,Standard form institutions,All sources,Institution funds,Cost sharing,4,1625933,5292,0.3
7927,r008,Standard form institutions -> All sources -> Institution funds -> Unrecovered indirect costs,Standard form institutions,All sources,Institution funds,Unrecovered indirect costs,4,5876782,2365,0.0
7927,r009,Standard form institutions -> All sources -> Business,Standard form institutions,All sources,Business,,3,5115480,1478,0.0
7927,r010,Standard form institutions -> All sources -> Nonprofit organizations,Standard form institutions,All sources,Nonprofit organizations,,3,5590273,4682,0.1
7927,r011,Standard form institutions -> All sources -> All other sources,Standard form institutions,All sources,All other sources,,3,2689857,3159,0.1
7927,r012,Short form institutions,Short form institutions,,,,1,,,
7927,r013,Short form institutions -> All sources,Short form institutions,All sources,,,2,148560,8086,5.4
7927,r014,Short form institutions -> All sources -> Federal government,Short form institutions,All sources,Federal government,,3,84667,4129,4.9
7927,r015,Short form institutions -> All sources -> State and local government,Short form institutions,All sources,State and local government,,3,9383,707,7.5
7927,r016,Short form institutions -> All sources -> Institution funds,Short form institutions,All sources,Institution funds,,3,33479,2097,6.3
7927,r017,Short form institutions -> All sources -> Institution funds -> Institutionally financed research,Short form institutions,All sources,Institution funds,Institutionally financed research,4,28242,1899,6.7
7927,r018,Short form institutions -> All sources -> Institution funds -> Cost sharing,Short form institutions,All sources,Institution funds,Cost sharing,4,1925,81,4.2
7927,r019,Short form institutions -> All sources -> Institution funds -> Unrecovered indirect costs,Short form institutions,All sources,Institution funds,Unrecovered indirect costs,4,3312,117,3.5
7927,r020,Short form institutions -> All sources -> Business,Short form institutions,All sources,Business,,3,3419,232,6.8
7927,r021,Short form institutions -> All sources -> Nonprofit organizations,Short form institutions,All sources,Nonprofit organizations,,3,13860,830,6.0
7927,r022,Short form institutions -> All sources -> All other sources,Short form institutions,All sources,All other sources,,3,3752,91,2.4
