table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_all_employment_settings,field_all_academic_institutionsa_all_academic_institutions,field_all_academic_institutionsa_very_high_research_activity_university,field_all_academic_institutionsa_high_research_activity_university,field_all_academic_institutionsa_other_college_or_university,field_ffrdc
3815,r001,Number of early career doctorates,Number of early career doctorates,,,,,1,186700,178900,83000,27500,68500,7800
3815,r002,Percentage of early career doctorates,Percentage of early career doctorates,,,,,1,100.0,100.0,100.0,100.0,100.0,100.0
3815,r003,Percentage of early career doctorates -> Position type<sup>b</sup>,Percentage of early career doctorates,Position type<sup>b</sup>,,,,2,,,,,,
3815,r004,Percentage of early career doctorates -> Position type<sup>b</sup> -> Faculty,Percentage of early career doctorates,Position type<sup>b</sup>,Faculty,,,3,67.3,69.9,51.9,81.2,87.3,6.3
3815,r005,Percentage of early career doctorates -> Position type<sup>b</sup> -> Faculty -> Tenured faculty,Percentage of early career doctorates,Position type<sup>b</sup>,Faculty,Tenured faculty,,4,14.6,15.2,8.5,16.3,22.9,1.2
3815,r006,Percentage of early career doctorates -> Position type<sup>b</sup> -> Faculty -> Tenure-track faculty,Percentage of early career doctorates,Position type<sup>b</sup>,Faculty,Tenure-track faculty,,4,31.3,32.6,25.5,38.5,38.9,1.8
3815,r007,Percentage of early career doctorates -> Position type<sup>b</sup> -> Faculty -> Non-tenure track faculty with rank,Percentage of early career doctorates,Position type<sup>b</sup>,Faculty,Non-tenure track faculty with rank,,4,7.0,7.1,6.4,9.5,7.0,2.9
3815,r008,"Percentage of early career doctorates -> Position type<sup>b</sup> -> Faculty -> Other faculty, no rank or tenure",Percentage of early career doctorates,Position type<sup>b</sup>,Faculty,"Other faculty, no rank or tenure",,4,14.4,15.0,11.4,16.9,18.5,
3815,r009,Percentage of early career doctorates -> Position type<sup>b</sup> -> Postdoctoral scholar,Percentage of early career doctorates,Position type<sup>b</sup>,Postdoctoral scholar,,,3,19.5,18.8,34.8,8.6,3.4,36.9
3815,r010,Percentage of early career doctorates -> Position type<sup>b</sup> -> Research scientist or nonfaculty researcher,Percentage of early career doctorates,Position type<sup>b</sup>,Research scientist or nonfaculty researcher,,,3,5.8,3.8,6.8,2.0,0.9,52.1
3815,r011,Percentage of early career doctorates -> Position type<sup>b</sup> -> Other positions,Percentage of early career doctorates,Position type<sup>b</sup>,Other positions,,,3,7.4,7.5,6.5,8.2,8.4,4.8
3815,r012,Percentage of early career doctorates -> Doctoral degree type,Percentage of early career doctorates,Doctoral degree type,,,,2,,,,,,
3815,r013,Percentage of early career doctorates -> Doctoral degree type -> Professional degree or doctoral equivalent<sup>c</sup>,Percentage of early career doctorates,Doctoral degree type,Professional degree or doctoral equivalent<sup>c</sup>,,,3,8.4,8.7,4.7,9.1,13.4,
3815,r014,Percentage of early career doctorates -> Doctoral degree type -> Research degree,Percentage of early career doctorates,Doctoral degree type,Research degree,,,3,91.6,91.3,95.3,90.9,86.6,99.4
3815,r015,Percentage of early career doctorates -> Years since doctoral degree,Percentage of early career doctorates,Years since doctoral degree,,,,2,,,,,,
3815,r016,Percentage of early career doctorates -> Years since doctoral degree -> 1 year or less,Percentage of early career doctorates,Years since doctoral degree,1 year or less,,,3,19.8,19.6,22.6,17.6,16.8,23.8
3815,r017,Percentage of early career doctorates -> Years since doctoral degree -> 2&#8211;5 years,Percentage of early career doctorates,Years since doctoral degree,2&#8211;5 years,,,3,44.3,44.4,45.1,44.1,43.8,42.0
3815,r018,Percentage of early career doctorates -> Years since doctoral degree -> 6&#8211;10 years,Percentage of early career doctorates,Years since doctoral degree,6&#8211;10 years,,,3,35.9,36.0,32.3,38.2,39.5,34.2
3815,r019,Percentage of early career doctorates -> Origin of doctoral degree,Percentage of early career doctorates,Origin of doctoral degree,,,,2,,,,,,
3815,r020,Percentage of early career doctorates -> Origin of doctoral degree -> U.S. degree,Percentage of early career doctorates,Origin of doctoral degree,U.S. degree,,,3,86.6,87.1,79.2,92.2,94.7,75.7
3815,r021,Percentage of early career doctorates -> Origin of doctoral degree -> Non-U.S. degree,Percentage of early career doctorates,Origin of doctoral degree,Non-U.S. degree,,,3,13.4,12.9,20.8,7.8,5.3,24.3
3815,r022,Percentage of early career doctorates -> Field of doctoral degree,Percentage of early career doctorates,Field of doctoral degree,,,,2,,,,,,
3815,r023,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,,,3,60.3,58.7,74.0,50.7,43.3,98.3
3815,r024,"Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences",Percentage of early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",,4,15.5,15.9,23.1,10.9,9.1,5.8
3815,r025,"Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Agricultural and environmental life sciences",Percentage of early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Agricultural and environmental life sciences,5,2.1,2.1,3.1,2.3,0.9,1.3
3815,r026,"Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Biological, agricultural, and environmental life sciences -> Biological and biomedical sciences",Percentage of early career doctorates,Field of doctoral degree,Science and engineering,"Biological, agricultural, and environmental life sciences",Biological and biomedical sciences,5,13.4,13.7,20.0,8.5,8.2,4.5
3815,r027,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Engineering,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Engineering,,4,9.2,8.4,11.8,8.1,4.3,29.2
3815,r028,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,,4,6.5,6.3,7.0,5.9,5.5,11.3
3815,r029,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Computer and information sciences,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Computer and information sciences,5,3.1,2.9,3.3,3.1,2.3,9.0
3815,r030,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Mathematics and computer sciences -> Mathematics and statistics,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Mathematics and computer sciences,Mathematics and statistics,5,3.3,3.4,3.7,2.8,3.3,2.3
3815,r031,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Multidisciplinary fields and science and engineering related fields,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Multidisciplinary fields and science and engineering related fields,,4,1.4,1.4,1.8,1.0,1.0,2.1
3815,r032,"Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Percentage of early career doctorates,Field of doctoral degree,Science and engineering,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,4,11.1,9.6,14.6,6.4,4.7,44.8
3815,r033,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,,4,16.7,17.2,15.7,18.4,18.5,5.1
3815,r034,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Psychology,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,Psychology,5,4.7,4.8,4.5,5.8,4.8,S
3815,r035,Percentage of early career doctorates -> Field of doctoral degree -> Science and engineering -> Psychology and social sciences -> Social sciences,Percentage of early career doctorates,Field of doctoral degree,Science and engineering,Psychology and social sciences,Social sciences,5,12.0,12.4,11.1,12.6,13.8,4.1
3815,r036,Percentage of early career doctorates -> Field of doctoral degree -> Health,Percentage of early career doctorates,Field of doctoral degree,Health,,,3,7.2,7.5,5.6,7.7,9.7,
3815,r037,Percentage of early career doctorates -> Field of doctoral degree -> Non-science and engineering,Percentage of early career doctorates,Field of doctoral degree,Non-science and engineering,,,3,32.5,33.9,20.5,41.6,47.0,1.4
3815,r038,Percentage of early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Education,Percentage of early career doctorates,Field of doctoral degree,Non-science and engineering,Education,,4,11.3,11.8,6.1,14.7,17.5,
3815,r039,Percentage of early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Humanities,Percentage of early career doctorates,Field of doctoral degree,Non-science and engineering,Humanities,,4,8.4,8.8,6.5,11.3,10.6,
3815,r040,Percentage of early career doctorates -> Field of doctoral degree -> Non-science and engineering -> Other non-science and engineering,Percentage of early career doctorates,Field of doctoral degree,Non-science and engineering,Other non-science and engineering,,4,12.8,13.3,7.9,15.6,19.0,1.3
3815,r041,Percentage of early career doctorates -> Position tenure,Percentage of early career doctorates,Position tenure,,,,2,,,,,,
3815,r042,Percentage of early career doctorates -> Position tenure -> 1 year or less,Percentage of early career doctorates,Position tenure,1 year or less,,,3,13.8,14.0,11.7,15.1,16.4,7.6
3815,r043,Percentage of early career doctorates -> Position tenure -> More than 1 year but less than 5 years,Percentage of early career doctorates,Position tenure,More than 1 year but less than 5 years,,,3,58.2,57.6,67.3,53.8,47.4,70.7
3815,r044,Percentage of early career doctorates -> Position tenure -> 5 years or more,Percentage of early career doctorates,Position tenure,5 years or more,,,3,28.1,28.3,21.0,31.0,36.2,21.7
3815,r045,Percentage of early career doctorates -> Sex,Percentage of early career doctorates,Sex,,,,2,,,,,,
3815,r046,Percentage of early career doctorates -> Sex -> Female,Percentage of early career doctorates,Sex,Female,,,3,47.9,49.0,44.1,49.6,54.8,21.9
3815,r047,Percentage of early career doctorates -> Sex -> Male,Percentage of early career doctorates,Sex,Male,,,3,52.1,51.0,55.9,50.4,45.2,78.1
3815,r048,Percentage of early career doctorates -> Citizenship and sex,Percentage of early career doctorates,Citizenship and sex,,,,2,,,,,,
3815,r049,Percentage of early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident,Percentage of early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,,,3,83.6,84.2,75.6,89.0,92.7,70.3
3815,r050,Percentage of early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,Percentage of early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Female,,4,42.8,43.9,36.6,46.4,51.8,16.1
3815,r051,Percentage of early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,Percentage of early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Male,,4,40.8,40.3,39.0,42.6,40.9,54.2
3815,r052,Percentage of early career doctorates -> Citizenship and sex -> Temporary visa holder,Percentage of early career doctorates,Citizenship and sex,Temporary visa holder,,,3,16.4,15.8,24.4,11.0,7.3,29.7
3815,r053,Percentage of early career doctorates -> Citizenship and sex -> Temporary visa holder -> Female,Percentage of early career doctorates,Citizenship and sex,Temporary visa holder,Female,,4,5.1,5.1,7.5,3.2,3.0,5.8
3815,r054,Percentage of early career doctorates -> Citizenship and sex -> Temporary visa holder -> Male,Percentage of early career doctorates,Citizenship and sex,Temporary visa holder,Male,,4,11.3,10.7,17.0,7.8,4.3,23.9
3815,r055,Percentage of early career doctorates -> Ethnicity and race,Percentage of early career doctorates,Ethnicity and race,,,,2,,,,,,
3815,r056,Percentage of early career doctorates -> Ethnicity and race -> Hispanic or Latino,Percentage of early career doctorates,Ethnicity and race,Hispanic or Latino,,,3,7.3,7.4,7.8,8.4,6.5,4.1
3815,r057,Percentage of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino,Percentage of early career doctorates,Ethnicity and race,Not Hispanic or Latino,,,3,,,,,,
3815,r058,Percentage of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Asian,Percentage of early career doctorates,Ethnicity and race,Not Hispanic or Latino,Asian,,4,20.1,19.6,25.6,16.5,13.6,31.6
3815,r059,Percentage of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,Percentage of early career doctorates,Ethnicity and race,Not Hispanic or Latino,Black or African American,,4,5.4,5.6,4.1,3.7,8.2,0.8
3815,r060,Percentage of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> White,Percentage of early career doctorates,Ethnicity and race,Not Hispanic or Latino,White,,4,64.7,64.8,60.0,68.9,69.1,61.5
3815,r061,Percentage of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,Percentage of early career doctorates,Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,,4,2.5,2.5,2.5,2.4,2.6,2.0
3815,r062,Percentage of early career doctorates -> Age quartile,Percentage of early career doctorates,Age quartile,,,,2,,,,,,
3815,r063,Percentage of early career doctorates -> Age quartile -> 32 years and under,Percentage of early career doctorates,Age quartile,32 years and under,,,3,20.6,20.1,28.5,15.5,11.6,32.3
3815,r064,Percentage of early career doctorates -> Age quartile -> 33&#8211;35 year,Percentage of early career doctorates,Age quartile,33&#8211;35 year,,,3,27.4,27.0,30.6,25.6,23.1,36.4
3815,r065,Percentage of early career doctorates -> Age quartile -> 36&#8211;40 years,Percentage of early career doctorates,Age quartile,36&#8211;40 years,,,3,22.4,22.6,21.8,25.0,22.4,19.7
