table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_2012,field_2013,field_2015,field_2017,field_2019,field_2021,field_2023
11639,r001,FFRDCs with postdocs,FFRDCs with postdocs,,,,1,21,21,24,23,24,25,24
11639,r002,All postdocs,All postdocs,,,,1,2793,2613,2696,2975,3335,3637,3629
11639,r003,All postdocs -> Male,All postdocs,Male,,,2,2115,2020,2048,2259,2476,2657,2602
11639,r004,All postdocs -> Female,All postdocs,Female,,,2,678,593,648,716,859,980,1027
11639,r005,All postdocs -> Unknown sex,All postdocs,Unknown sex,,,2,0,0,0,0,0,0,0
11639,r006,All postdocs -> U.S. citizens and permanent residents<sup>a</sup>,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,,,2,1156,1150,1246,1341,1429,1779,1619
11639,r007,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,54,52,55,67,76,120,136
11639,r008,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,1045,1065,1140,1217,1311,1615,1448
11639,r009,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,4,3,5,4,0,2,4
11639,r010,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,137,171,181,170,193,251,266
11639,r011,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,14,14,19,27,38,38,42
11639,r012,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,3,2,0,0,2,1,3
11639,r013,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,853,861,908,991,1043,1259,1068
11639,r014,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,34,14,27,25,35,64,65
11639,r015,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity or race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity or race,,3,57,33,51,57,42,44,35
11639,r016,All postdocs -> Temporary visa holders,All postdocs,Temporary visa holders,,,2,1637,1463,1450,1634,1906,1858,2010
11639,r017,All postdocs -> Unknown citizenship ,All postdocs,Unknown citizenship ,,,2,0,0,0,0,0,0,0
11639,r018,All postdocs -> Source of support,All postdocs,Source of support,,,2,,,,,,,
11639,r019,All postdocs -> Source of support -> Federal support,All postdocs,Source of support,Federal support,,3,2707,2531,2543,2544,2956,3091,3227
11639,r020,All postdocs -> Source of support -> Nonfederal support,All postdocs,Source of support,Nonfederal support,,3,86,82,150,116,379,411,402
11639,r021,All postdocs -> Source of support -> Unknown support source,All postdocs,Source of support,Unknown support source,,3,0,0,3,315,0,135,0
