table_id,row_id,characteristics_full_path,characteristics_level_1,characteristics_level_2,characteristics_level_3,characteristics_level_4,characteristics_hierarchy_depth,field_federal_funding_only,field_nonfederal_funding_only,field_both_type_of_funding,field_ever_funded_by_nih,field_ever_funded_by_nsf,field_ever_funded_by_dod,field_ever_funded_by_doe,field_ever_funded_by_ed,field_ever_funded_by_hhs,field_ever_funded_by_nasa,field_ever_funded_by_other
9334,r001,All doctorate recipients,All doctorate recipients,,,,1,40.9,16.4,42.7,33.5,37.8,11.1,10.7,5.9,4.0,2.5,82.9
9334,r002,All doctorate recipients -> Field of study,All doctorate recipients,Field of study,,,2,,,,,,,,,,,
9334,r003,All doctorate recipients -> Field of study ->  S&E fields,All doctorate recipients,Field of study, S&E fields,,3,42.2,12.9,44.9,36.8,40.8,12.2,12.0,2.7,3.8,2.8,86.3
9334,r004,All doctorate recipients -> Field of study ->  S&E fields -> Life sciences,All doctorate recipients,Field of study, S&E fields,Life sciences,4,44.5,8.7,46.8,71.7,18.0,4.2,2.4,1.5,6.4,0.7,91.0
9334,r005,All doctorate recipients -> Field of study ->  S&E fields -> Mathematics and computer sciences,All doctorate recipients,Field of study, S&E fields,Mathematics and computer sciences,4,54.4,7.2,38.4,13.0,78.1,16.3,6.8,1.4,1.7,,91.7
9334,r006,All doctorate recipients -> Field of study ->  S&E fields -> Physical sciences and earth sciences,All doctorate recipients,Field of study, S&E fields,Physical sciences and earth sciences,4,47.1,10.6,42.3,25.0,56.0,14.9,25.4,1.5,0.9,7.0,89.2
9334,r007,All doctorate recipients -> Field of study ->  S&E fields -> Psychology and social sciences,All doctorate recipients,Field of study, S&E fields,Psychology and social sciences,4,36.1,28.5,35.5,27.6,29.9,3.8,,12.1,6.5,1.1,71.3
9334,r008,All doctorate recipients -> Field of study ->  S&E fields -> Engineering,All doctorate recipients,Field of study, S&E fields,Engineering,4,35.2,13.6,51.2,19.3,47.8,21.7,,0.8,2.3,,84.6
9334,r009,All doctorate recipients -> Field of study -> Non-S&E fields,All doctorate recipients,Field of study,Non-S&E fields,,3,30.6,43.7,25.7,8.1,14.4,2.7,,30.7,5.3,,56.0
9334,r010,All doctorate recipients -> Field of study -> Non-S&E fields -> Education,All doctorate recipients,Field of study,Non-S&E fields,Education,4,39.6,25.1,35.3,8.9,23.7,,,48.1,6.4,,74.7
