table_id,row_id,broad_field_of_study_and_demographic_characteristic_full_path,broad_field_of_study_and_demographic_characteristic_level_1,broad_field_of_study_and_demographic_characteristic_level_2,broad_field_of_study_and_demographic_characteristic_level_3,broad_field_of_study_and_demographic_characteristic_level_4,broad_field_of_study_and_demographic_characteristic_hierarchy_depth,field_median_age_at_doctorate_years_a,field_all_ages,field_25_and_under,field_26_30,field_31_35,field_36_40,field_41_45,field_over_45
1754,r001,All fields,All fields,,,,1,31.4,100.0,0.7,45.0,30.4,11.7,5.0,7.2
1754,r002,All fields -> Life sciences<sup>b</sup>,All fields,Life sciences<sup>b</sup>,,,2,30.9,100.0,0.8,49.6,30.5,9.9,3.9,5.3
1754,r003,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,2,29.5,100.0,0.9,66.9,24.0,5.4,1.6,1.3
1754,r004,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,,2,30.2,100.0,,56.2,28.7,7.5,,3.3
1754,r005,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,,2,32.3,100.0,0.3,37.3,34.6,14.7,5.5,7.6
1754,r006,All fields -> Engineering,All fields,Engineering,,,2,29.9,100.0,1.4,60.3,27.1,6.7,2.3,2.2
1754,r007,All fields -> Education,All fields,Education,,,2,38.2,100.0,0.1,12.7,27.0,20.7,13.5,25.9
1754,r008,All fields -> Humanities and arts,All fields,Humanities and arts,,,2,34.3,100.0,,21.9,40.7,20.5,,9.5
1754,r009,All fields -> Other<sup>c</sup>,All fields,Other<sup>c</sup>,,,2,34.7,100.0,0.2,25.0,31.9,17.9,9.6,15.3
1754,r010,All fields -> Sex,All fields,Sex,,,2,,,,,,,,
1754,r011,All fields -> Sex -> Male,All fields,Sex,Male,,3,31.2,100.0,0.8,47.1,30.7,11.5,4.6,5.3
1754,r012,All fields -> Sex -> Female,All fields,Sex,Female,,3,31.8,100.0,0.7,42.5,29.9,12.1,5.5,9.4
1754,r013,All fields -> Citizenship status,All fields,Citizenship status,,,2,,,,,,,,
1754,r014,All fields -> Citizenship status -> U.S. citizen or permanent resident,All fields,Citizenship status,U.S. citizen or permanent resident,,3,31.8,100.0,0.6,43.0,28.2,12.4,5.9,9.8
1754,r015,All fields -> Citizenship status -> Temporary visa holder,All fields,Citizenship status,Temporary visa holder,,3,30.9,100.0,0.9,49.3,34.8,10.2,3.1,1.8
1754,r016,All fields -> Ethnicity and race (U.S. citizens and permanent residents),All fields,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,
1754,r017,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All fields,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,32.3,100.0,0.5,40.3,29.6,13.6,7.0,9.0
1754,r018,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,
1754,r019,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,36.3,100.0,0.0,24.8,23.0,16.8,9.7,25.7
1754,r020,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,31.1,100.0,0.6,47.8,29.6,11.1,5.7,5.3
1754,r021,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,36.0,100.0,0.4,26.5,22.9,16.1,11.4,22.7
1754,r022,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,31.6,100.0,0.7,44.4,28.3,12.1,5.3,9.2
1754,r023,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,31.3,100.0,0.9,46.5,28.3,12.5,4.5,7.2
1754,r024,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All fields,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,32.3,100.0,0.6,35.0,34.1,14.1,8.0,8.0
1754,r025,All fields -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All fields,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,32.8,100.0,0.5,37.3,28.8,13.2,7.8,12.4
