table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_humanities_and_arts_fields,field_foreign_languages_and_literature,field_history,field_letters,field_other_humanities_and_arts
4633,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,4939,564,887,1392,2096
4633,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,
4633,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,50.9,39.5,57.7,42.3,56.9
4633,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,49.1,60.5,42.3,57.7,43.1
4633,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.0,0.0,0.0,0.0,0.0
4633,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%),All doctorate recipients (number)<sup>a</sup>,Citizenship (%),,,2,,,,,
4633,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,79.3,61.9,84.1,83.7,79.0
4633,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),Temporary visa holder,,3,15.0,32.8,13.5,9.4,14.6
4633,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),Unknown,,3,5.7,5.3,2.4,6.9,6.4
4633,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,
4633,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,29.2,34.8,28.9,28.6,28.2
4633,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,44.2,36.9,50.2,42.1,44.9
4633,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,8.1,8.3,8.0,9.4,7.3
4633,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,4.9,5.5,5.0,4.7,4.9
4633,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,13.6,14.5,8.0,15.2,14.7
