table_id,row_id,field_ethnicity_and_race_full_path,field_ethnicity_and_race_level_1,field_ethnicity_and_race_level_2,field_ethnicity_and_race_level_3,field_ethnicity_and_race_level_4,field_ethnicity_and_race_hierarchy_depth,field_1977,field_1982,field_1987,field_1992,field_1997,field_2002,field_2007,field_2012,field_2017,field_2022
9457,r001,"All fields, U.S. citizens and permanent residents","All fields, U.S. citizens and permanent residents",,,,1,27561,25689,24585,28005,31097,27737,29501,32981,35736,35311
9457,r002,"All fields, U.S. citizens and permanent residents -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Hispanic or Latino,,,2,490,615,709,909,1203,1370,1655,2144,2536,3354
9457,r003,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,,,2,,,,,,,,,,
9457,r004,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,American Indian or Alaska Native,,3,66,77,115,149,167,142,140,104,109,98
9457,r005,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> Asian<sup>a</sup>","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,Asian<sup>a</sup>,,3,893,1007,1169,1755,3109,2091,2308,2943,3499,3586
9457,r006,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> Black or African American","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,Black or African American,,3,1187,1150,908,1109,1476,1666,1891,2055,2400,2647
9457,r007,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> White","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,White,,3,23533,22185,21121,23626,23964,21035,22067,24010,24844,23320
9457,r008,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> More than one race","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,More than one race,,3,na,na,na,na,na,269,505,807,1015,1210
9457,r009,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,,3,192,60,136,151,509,387,304,293,471,425
9457,r010,"All fields, U.S. citizens and permanent residents -> Ethnicity not reported","All fields, U.S. citizens and permanent residents",Ethnicity not reported,,,2,1200,595,427,306,669,777,631,625,862,671
9457,r011,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup>","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,,,2,4197,4852,4529,5106,5987,5850,7009,8184,8827,9230
9457,r012,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Hispanic or Latino,,3,38,71,90,140,207,237,356,493,605,940
9457,r013,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Not Hispanic or Latino,,3,,,,,,,,,,
9457,r014,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,9,12,16,19,18,16,30,24,25,17
