table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_master_s_2017,field_master_s_2018,field_master_s_2019,field_master_s_percent_change_2017_19,field_doctoral_2017,field_doctoral_2018,field_doctoral_2019,field_doctoral_percent_change_2017_19,field_postdocs_2017,field_postdocs_2018,field_postdocs_2019,field_postdocs_percent_change_2017_19
3555,r001,All ,All ,,,,1,378587,391211,408228,7.8,270525,277096,281889,4.2,64733,64783,66247,2.3
3555,r002,All  -> Male,All ,Male,,,2,200748,201314,205768,2.5,155699,158019,159227,2.3,38870,38661,39173,0.8
3555,r003,All  -> Female,All ,Female,,,2,177839,189897,202460,13.8,114826,119077,122662,6.8,25863,26122,27074,4.7
3555,r004,All  -> U.S. citizens and permanent residents<sup>a</sup>,All ,U.S. citizens and permanent residents<sup>a</sup>,,,2,251896,271290,287370,14.1,164585,167291,169134,2.8,30110,29622,29452,-2.2
3555,r005,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Male,All ,U.S. citizens and permanent residents<sup>a</sup>,Male,,3,119906,126552,131686,9.8,86517,86601,86651,0.2,16378,15934,15570,-4.9
3555,r006,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Female,All ,U.S. citizens and permanent residents<sup>a</sup>,Female,,3,131990,144738,155684,18.0,78068,80690,82483,5.7,13732,13688,13882,1.1
3555,r007,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All ,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,29622,32923,36777,24.2,14999,16161,17690,17.9,1659,1856,1924,16.0
3555,r008,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All ,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,,,,,,,,,
3555,r009,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All ,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,1136,1219,1327,16.8,714,713,750,5.0,125,81,69,-44.8
3555,r010,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All ,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,26093,28557,31301,20.0,15952,16750,17543,10.0,6045,6020,5891,-2.5
3555,r011,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All ,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,23266,25878,27598,18.6,9483,10065,10450,10.2,1019,1104,1088,6.8
3555,r012,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All ,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,468,497,542,15.8,235,233,202,-14.0,112,55,52,-53.6
3555,r013,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All ,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,148031,156010,163836,10.7,109271,109725,108709,-0.5,17313,17232,16972,-2.0
3555,r014,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All ,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,8119,9120,9593,18.2,5420,5744,6020,11.1,730,506,519,-28.9
3555,r015,All  -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity,All ,U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,3,15161,17086,16396,8.1,8511,7900,7770,-8.7,3107,2768,2937,-5.5
3555,r016,All  -> Temporary visa holders,All ,Temporary visa holders,,,2,126691,119921,120858,-4.6,105940,109805,112755,6.4,34623,35161,36795,6.3
3555,r017,All  -> Temporary visa holders -> Male,All ,Temporary visa holders,Male,,3,80842,74762,74082,-8.4,69182,71418,72576,4.9,22492,22727,23603,4.9
