table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_nasa_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
8009,r001,All institutions,All institutions,,1,-,"['1,768,703', '']","['23,132', '']","['453,130', '']","['89,649', '']","['2,895', '']","['588,836', '']","['18,586', '']","['17,391', '']","['6,139', '']","['560,071', '']","['8,874', '']"
8009,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['368,276', '']","['7,461', '']","['47,423', '']","['756', '']","['348', '']","['114,049', '']","['0', '']","['0', '']","['77', '']","['198,162', '']","['0', '']"
8009,r003,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,2,"['148,496', '']","['216', '']","['34,161', '']","['420', '']","['98', '']","['44,358', '']","['0', '']","['10', '']","['0', '']","['69,202', '']","['31', '']"
8009,r004,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,3,"['70,478', '']","['10', '']","['20,364', '']","['522', '']","['0', '']","['38,535', '']","['0', '']","['8,066', '']","['590', '']","['2,391', '']","['0', '']"
8009,r005,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,4,"['57,283', '']","['0', '']","['11,068', '']","['651', '']","['0', '']","['44,600', '']","['0', '']","['0', '']","['0', '']","['715', '']","['249', '']"
8009,r006,All institutions -> U. Arizona,All institutions,U. Arizona,2,5,"['57,082', '']","['0', '']","['2,010', '']","['1,226', '']","['2', '']","['51,058', '']","['0', '']","['0', '']","['0', '']","['2,786', '']","['0', '']"
8009,r007,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,6,"['52,725', '']","['103', '']","['44,943', '']","['717', '']","['0', '']","['226', '']","['0', '']","['2,726', '']","['76', '']","['3,861', '']","['73', '']"
8009,r008,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,7,"['41,499', '']","['0', '']","['582', '']","['634', '']","['0', '']","['37,799', '']","['0', '']","['2', '']","['1,637', '']","['845', '']","['0', '']"
8009,r009,All institutions -> Utah State U.,All institutions,Utah State U.,2,8,"['40,570', '']","['0', '']","['0', '']","['500', '']","['0', '']","['661', '']","['0', '']","['0', '']","['0', '']","['39,409', '']","['0', '']"
8009,r010,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,9,"['37,080', '']","['0', '']","['35,968', '']","['68', '']","['0', '']","['863', '']","['0', '']","['0', '']","['0', '']","['181', '']","['0', '']"
8009,r011,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,10,"['36,195', '']","['218', '']","['7,041', '']","['128', '']","['17', '']","['17,945', '']","['0', '']","['0', '']","['810', '']","['9,979', '']","['57', '']"
8009,r012,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,11,"['28,939', '']","['3,749', '']","['11,696', '']","['13', '']","['0', '']","['5,842', '']","['0', '']","['0', '']","['0', '']","['7,639', '']","['0', '']"
8009,r013,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,12,"['27,565', '']","['0', '']","['464', '']","['262', '']","['94', '']","['2,924', '']","['13', '']","['947', '']","['0', '']","['22,861', '']","['0', '']"
