table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2016,field_2017,field_2018,field_2019_all_life_sciences,field_2019_agricultural_sciences,field_2019_biological_and_biomedical_sciences,field_2019_health_sciences,field_2019_natural_resources_and_conservation,field_2019_life_sciences_nec
3158,r001,All institutions,All institutions,,1,-,"['40,853,687', '']","['43,093,254', '']","['45,603,136', '']","['48,230,138', '']","['3,428,585', '']","['15,386,607', '']","['27,274,318', '']","['837,959', '']","['1,302,669', '']"
3158,r002,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,1,"['1,237,736', '']","['1,346,383', '']","['1,532,722', '']","['1,529,156', '']","['0', '']","['2,267', '']","['1,526,889', '']","['0', '']","['0', '']"
3158,r003,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,2,"['942,243', '']","['1,022,472', '']","['1,070,969', '']","['1,125,634', '']","['926', '']","['743,835', '']","['301,611', '']","['0', '']","['79,262', '']"
3158,r004,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,3,"['904,527', 'i']","['954,186', 'i']","['991,451', 'i']","['1,053,401', 'i']","['0', 'i']","['326,327', 'i']","['727,074', 'i']","['0', 'i']","['0', 'i']"
3158,r005,All institutions -> Duke U.,All institutions,Duke U.,2,4,"['888,830', '']","['950,245', '']","['971,355', '']","['1,018,199', '']","['0', '']","['237,097', '']","['749,965', '']","['9,051', '']","['22,086', '']"
3158,r006,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,5,"['784,654', '']","['826,506', '']","['873,031', '']","['955,653', '']","['2,065', '']","['258,013', '']","['632,969', '']","['21,749', '']","['40,857', '']"
3158,r007,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,6,"['832,215', '']","['891,558', '']","['954,565', '']","['954,062', '']","['319', '']","['257,677', '']","['655,372', '']","['25,301', '']","['15,393', '']"
3158,r008,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,7,"['747,123', '']","['789,050', '']","['863,086', '']","['935,756', '']","['0', '']","['294,582', '']","['641,144', '']","['0', '']","['30', '']"
3158,r009,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,8,"['724,967', '']","['761,824', '']","['917,899', '']","['925,447', '']","['0', '']","['38,154', '']","['887,293', '']","['0', '']","['0', '']"
3158,r010,All institutions -> Yale U.,All institutions,Yale U.,2,9,"['740,937', '']","['796,670', '']","['832,360', '']","['912,802', '']","['0', '']","['208,829', '']","['691,959', '']","['11,773', '']","['241', '']"
