table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_multidisciplinary_interdisciplinary_sciences_fields,field_interdisciplinary_computer_sciences,field_multidisciplinary_interdisciplinary_sciences_other
7634,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,1299,448,851
7634,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,
7634,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,58.7,77.9,48.5
7634,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,41.3,22.1,51.4
7634,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.1,0.0,0.1
7634,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),,,2,,,
7634,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),U.S. citizen or permanent resident,,3,51.9,39.1,58.6
7634,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Temporary visa holder,,3,41.9,56.9,34.0
7634,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Unknown,,3,6.2,4.0,7.4
7634,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,
7634,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,37.7,47.8,32.4
7634,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,37.4,34.6,38.9
7634,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,9.3,8.0,10.0
7634,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,3.3,1.6,4.2
7634,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,12.2,8.0,14.5
7634,r016,All doctorate recipients (number)<sup>a</sup> -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Has dependent age 18 or younger (%),,,2,20.6,15.7,23.3
7634,r017,All doctorate recipients (number)<sup>a</sup> -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Has one or more functional limitations (%),,,2,10.8,10.7,10.9
7634,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,31.6,30.3,32.4
7634,r019,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,12.3,16.9,9.7
7634,r020,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,78.9,77.1,79.9
7634,r021,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),Master's earned at same doctorate institution (%),,3,47.0,50.2,45.3
7634,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,
7634,r023,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),Years since earning bachelor's degree,,3,8.9,7.8,9.6
7634,r024,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,7.6,6.9,8.0
7634,r025,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,5.5,5.7,5.4
7634,r026,All doctorate recipients (number)<sup>a</sup> -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Received tuition remission (%),,,2,84.5,84.5,84.5
7634,r027,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,2,762,349,413
7634,r028,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),,3,,,
7634,r029,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,46.2,37.2,53.8
7634,r030,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,47.8,58.2,39.0
7634,r031,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Unknown,4,6.0,4.6,7.3
7634,r032,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),,3,,,
7634,r033,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,41.3,50.4,33.7
7634,r034,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Married,4,37.9,34.1,41.2
7634,r035,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,7.7,,
7634,r036,"All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,2.5,,
7634,r037,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,10.5,7.2,13.3
7634,r038,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has dependent age 18 or younger (%),,3,20.2,15.9,24.1
7634,r039,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has one or more functional limitations (%),,3,9.6,10.6,8.8
7634,r040,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,31.5,30.6,32.5
7634,r041,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,12.8,17.4,8.8
7634,r042,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),,3,78.4,76.5,80.2
7634,r043,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,47.1,48.6,45.8
7634,r044,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,
7634,r045,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,8.4,7.9,9.5
7634,r046,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.3,7.1,7.8
7634,r047,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,5.7,5.8,5.3
7634,r048,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Received tuition remission (%),,3,83.4,83.1,83.7
7634,r049,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),,,2,536,99,437
7634,r050,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),,3,,,
7634,r051,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,60.1,45.5,63.4
7634,r052,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,33.6,52.5,29.3
7634,r053,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Unknown,4,6.3,2.0,7.3
7634,r054,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),,3,,,
7634,r055,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Never married,4,32.6,38.4,31.4
7634,r056,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Married,4,36.8,36.4,36.8
7634,r057,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Marriage-like relationship,4,11.6,,
7634,r058,"All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,4.5,,
7634,r059,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),Unknown,4,14.6,11.1,15.3
7634,r060,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Has dependent age 18 or younger (%),,3,21.1,14.8,22.6
7634,r061,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Has one or more functional limitations (%),,3,12.6,11.2,12.9
7634,r062,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Age at doctorate (median years),,3,31.6,30.0,32.3
7634,r063,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,11.5,15.1,10.7
7634,r064,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),,3,79.8,79.6,79.8
7634,r065,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,46.9,55.4,44.9
7634,r066,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),,3,,,
7634,r067,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,9.1,7.6,9.6
7634,r068,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,7.8,6.5,8.1
7634,r069,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,5.4,5.3,5.7
7634,r070,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Received tuition remission (%),,3,86.1,89.8,85.3
