table_id,row_id,sex_ethnicity_race_and_disability_status_full_path,sex_ethnicity_race_and_disability_status_level_1,sex_ethnicity_race_and_disability_status_level_2,sex_ethnicity_race_and_disability_status_level_3,sex_ethnicity_race_and_disability_status_hierarchy_depth,field_all_educational_institutions,field_preschool_elementary_middle_or_secondary_school_or_system,field_2_year_college_community_college_or_technical_institute,field_4_year_college_or_university_other_than_a_medical_school,field_medical_school,field_university_affiliated_research_institute,field_other
3305,r001,Total,Total,,,1,5133000,2543000,259000,1301000,651000,339000,41000
3305,r002,Total -> Female,Total,Female,,2,3306000,1839000,167000,671000,425000,179000,25000
3305,r003,Total -> Male,Total,Male,,2,1827000,704000,92000,630000,225000,160000,15000
3305,r004,Total -> Hispanic or Latino<sup>a</sup>,Total,Hispanic or Latino<sup>a</sup>,,2,529000,283000,27000,115000,59000,42000,4000
3305,r005,Total -> Not Hispanic or Latino,Total,Not Hispanic or Latino,,2,,,,,,,
3305,r006,Total -> Not Hispanic or Latino -> American Indian or Alaska Native,Total,Not Hispanic or Latino,American Indian or Alaska Native,3,19000,8000,,2000,S,S,
3305,r007,Total -> Not Hispanic or Latino -> Asian,Total,Not Hispanic or Latino,Asian,3,579000,143000,13000,209000,132000,77000,4000
3305,r008,Total -> Not Hispanic or Latino -> Black or African American,Total,Not Hispanic or Latino,Black or African American,3,363000,206000,24000,79000,39000,14000,S
3305,r009,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,3,12000,3000,,S,,,
3305,r010,Total -> Not Hispanic or Latino -> White,Total,Not Hispanic or Latino,White,3,3526000,1846000,185000,866000,402000,196000,32000
3305,r011,Total -> Not Hispanic or Latino -> More than one race,Total,Not Hispanic or Latino,More than one race,3,105000,54000,8000,25000,8000,9000,S
3305,r012,Total -> Without disability,Total,Without disability,,2,4606000,2255000,218000,1179000,617000,302000,34000
3305,r013,Total -> With disability,Total,With disability,,2,527000,288000,41000,121000,34000,37000,S
