table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_biological_aspects,field_social_aspects,field_other_psychological_sciences
6419,r001,All agencies surveyed,All agencies surveyed,,,,1,933018.7,40.0,3021.1,929957.6
6419,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,
6419,r003,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,11493.1,0.0,3021.1,8472.0
6419,r004,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,7317.4,0.0,0.0,7317.4
6419,r005,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,3021.1,0.0,3021.1,0.0
6419,r006,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,1154.6,0.0,0.0,1154.6
6419,r007,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,921483.6,0.0,0.0,921483.6
6419,r008,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,921483.6,0.0,0.0,921483.6
6419,r009,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,
6419,r010,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,42.0,40.0,0.0,2.0
