table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_level_3,_b_state_and_outlying_area_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
10394,r001,All states and outlying areas,All states and outlying areas,,,1,,,,,,
10394,r002,All states and outlying areas -> Obligations ($thousands),All states and outlying areas,Obligations ($thousands),,2,43222829,39504025,418694,11320,1750588,1538202
10394,r003,All states and outlying areas -> Institutions (number),All states and outlying areas,Institutions (number),,2,1081,1001,194,17,751,363
10394,r004,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,,,,,,
10394,r005,All states and outlying areas -> Alabama -> Obligations ($thousands),All states and outlying areas,Alabama,Obligations ($thousands),3,581957,498006,4331,0,46801,32818
10394,r006,All states and outlying areas -> Alabama -> Institutions (number),All states and outlying areas,Alabama,Institutions (number),3,18,18,3,0,14,10
10394,r007,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,,,,,,
10394,r008,All states and outlying areas -> Alaska -> Obligations ($thousands),All states and outlying areas,Alaska,Obligations ($thousands),3,123875,114149,679,0,5723,3323
10394,r009,All states and outlying areas -> Alaska -> Institutions (number),All states and outlying areas,Alaska,Institutions (number),3,5,5,1,0,3,3
10394,r010,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,,,,,,
10394,r011,All states and outlying areas -> Arizona -> Obligations ($thousands),All states and outlying areas,Arizona,Obligations ($thousands),3,603521,558327,10737,246,20841,13371
10394,r012,All states and outlying areas -> Arizona -> Institutions (number),All states and outlying areas,Arizona,Institutions (number),3,10,10,2,1,8,6
10394,r013,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,,2,,,,,,
10394,r014,All states and outlying areas -> Arkansas -> Obligations ($thousands),All states and outlying areas,Arkansas,Obligations ($thousands),3,154659,131562,2714,0,12039,8345
10394,r015,All states and outlying areas -> Arkansas -> Institutions (number),All states and outlying areas,Arkansas,Institutions (number),3,9,9,2,0,6,1
10394,r016,All states and outlying areas -> California,All states and outlying areas,California,,2,,,,,,
10394,r017,All states and outlying areas -> California -> Obligations ($thousands),All states and outlying areas,California,Obligations ($thousands),3,5802921,5416776,54566,1000,203320,127259
10394,r018,All states and outlying areas -> California -> Institutions (number),All states and outlying areas,California,Institutions (number),3,90,88,17,1,68,25
10394,r019,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,,2,,,,,,
10394,r020,All states and outlying areas -> Colorado -> Obligations ($thousands),All states and outlying areas,Colorado,Obligations ($thousands),3,960172,888796,12939,709,38738,18990
10394,r021,All states and outlying areas -> Colorado -> Institutions (number),All states and outlying areas,Colorado,Institutions (number),3,21,19,3,1,15,5
10394,r022,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,,2,,,,,,
10394,r023,All states and outlying areas -> Connecticut -> Obligations ($thousands),All states and outlying areas,Connecticut,Obligations ($thousands),3,858540,765695,20048,0,40433,32363
10394,r024,All states and outlying areas -> Connecticut -> Institutions (number),All states and outlying areas,Connecticut,Institutions (number),3,16,15,1,0,10,3
10394,r025,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,,2,,,,,,
10394,r026,All states and outlying areas -> Delaware -> Obligations ($thousands),All states and outlying areas,Delaware,Obligations ($thousands),3,254296,236411,1012,0,6959,9913
10394,r027,All states and outlying areas -> Delaware -> Institutions (number),All states and outlying areas,Delaware,Institutions (number),3,3,2,1,0,2,3
10394,r028,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,,2,,,,,,
10394,r029,All states and outlying areas -> District of Columbia -> Obligations ($thousands),All states and outlying areas,District of Columbia,Obligations ($thousands),3,469641,394755,53861,0,16141,4884
10394,r030,All states and outlying areas -> District of Columbia -> Institutions (number),All states and outlying areas,District of Columbia,Institutions (number),3,14,14,4,0,7,8
10394,r031,All states and outlying areas -> Florida,All states and outlying areas,Florida,,2,,,,,,
10394,r032,All states and outlying areas -> Florida -> Obligations ($thousands),All states and outlying areas,Florida,Obligations ($thousands),3,1126801,1023546,11555,0,46179,45520
10394,r033,All states and outlying areas -> Florida -> Institutions (number),All states and outlying areas,Florida,Institutions (number),3,32,27,8,0,24,15
10394,r034,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,,2,,,,,,
10394,r035,All states and outlying areas -> Georgia -> Obligations ($thousands),All states and outlying areas,Georgia,Obligations ($thousands),3,1235838,1149906,10282,0,42311,33339
10394,r036,All states and outlying areas -> Georgia -> Institutions (number),All states and outlying areas,Georgia,Institutions (number),3,27,23,3,0,21,14
10394,r037,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,,2,,,,,,
