table_id,row_id,_b_ethnicity_race_and_citizenship_status_b_full_path,_b_ethnicity_race_and_citizenship_status_b_level_1,_b_ethnicity_race_and_citizenship_status_b_level_2,_b_ethnicity_race_and_citizenship_status_b_level_3,_b_ethnicity_race_and_citizenship_status_b_level_4,_b_ethnicity_race_and_citizenship_status_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
11649,r001,Female doctorate recipients,Female doctorate recipients,,,,1,24365,24813,25347,25222,25086,25308,25484,25353,24105,26986,27499
11649,r002,Female doctorate recipients -> U.S. citizen or permanent resident,Female doctorate recipients,U.S. citizen or permanent resident,,,2,17414,17343,17853,18147,18171,18036,17959,17689,16555,18446,18893
11649,r003,Female doctorate recipients -> Temporary visa holder,Female doctorate recipients,Temporary visa holder,,,2,5571,5633,5734,5805,5686,6274,6556,6605,6293,7261,7198
11649,r004,Female doctorate recipients -> Unknown citizenship,Female doctorate recipients,Unknown citizenship,,,2,1380,1837,1760,1270,1229,998,969,1059,1257,1279,1408
11649,r005,Female doctorate recipients -> Hispanic or Latino,Female doctorate recipients,Hispanic or Latino,,,2,1550,1559,1664,1806,1762,1726,1989,2061,2021,2324,2432
11649,r006,Female doctorate recipients -> Hispanic or Latino -> U.S. citizen or permanent resident,Female doctorate recipients,Hispanic or Latino,U.S. citizen or permanent resident,,3,1230,1191,1330,1414,1385,1375,1542,1584,1585,1835,1900
11649,r007,Female doctorate recipients -> Hispanic or Latino -> Temporary visa holder,Female doctorate recipients,Hispanic or Latino,Temporary visa holder,,3,309,364,330,386,363,350,440,475,426,488,519
11649,r008,Female doctorate recipients -> Hispanic or Latino -> Unknown citizenship,Female doctorate recipients,Hispanic or Latino,Unknown citizenship,,3,11,4,4,6,14,1,7,2,10,1,13
11649,r009,Female doctorate recipients -> Not Hispanic or Latino,Female doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,,,
11649,r010,Female doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,Female doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,64,55,77,73,62,72,66,61,65,62,78
11649,r011,Female doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> U.S. citizen or permanent resident,Female doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,U.S. citizen or permanent resident,4,63,54,73,71,61,72,63,58,62,59,76
11649,r012,Female doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Temporary visa holder<sup>a</sup>,Female doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Temporary visa holder<sup>a</sup>,4,,,,,,0,,,,,
11649,r013,Female doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Unknown citizenship,Female doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Unknown citizenship,4,,,,,,0,,,,,
11649,r014,Female doctorate recipients -> Not Hispanic or Latino -> Asian,Female doctorate recipients,Not Hispanic or Latino,Asian,,3,5392,5465,5598,5513,5590,5899,5999,5899,5686,6605,6730
11649,r015,Female doctorate recipients -> Not Hispanic or Latino -> Asian -> U.S. citizen or permanent resident,Female doctorate recipients,Not Hispanic or Latino,Asian,U.S. citizen or permanent resident,4,1628,1638,1713,1652,1843,1740,1792,1680,1583,1866,1983
11649,r016,Female doctorate recipients -> Not Hispanic or Latino -> Asian -> Temporary visa holder,Female doctorate recipients,Not Hispanic or Latino,Asian,Temporary visa holder,4,3753,3820,3874,3849,3733,4149,4186,4206,4095,4732,4731
11649,r017,Female doctorate recipients -> Not Hispanic or Latino -> Asian -> Unknown citizenship,Female doctorate recipients,Not Hispanic or Latino,Asian,Unknown citizenship,4,11,7,11,12,14,10,21,13,8,7,16
11649,r018,Female doctorate recipients -> Not Hispanic or Latino -> Black or African American,Female doctorate recipients,Not Hispanic or Latino,Black or African American,,3,1554,1503,1660,1661,1745,1726,1831,1773,1821,1961,1998
11649,r019,Female doctorate recipients -> Not Hispanic or Latino -> Black or African American -> U.S. citizen or permanent resident,Female doctorate recipients,Not Hispanic or Latino,Black or African American,U.S. citizen or permanent resident,4,1371,1351,1468,1495,1549,1526,1619,1536,1574,1691,1718
11649,r020,Female doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Temporary visa holder,Female doctorate recipients,Not Hispanic or Latino,Black or African American,Temporary visa holder,4,182,148,187,161,182,197,205,229,237,269,278
11649,r021,Female doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Unknown citizenship,Female doctorate recipients,Not Hispanic or Latino,Black or African American,Unknown citizenship,4,1,4,5,5,14,3,7,8,10,1,2
11649,r022,Female doctorate recipients -> Not Hispanic or Latino -> White,Female doctorate recipients,Not Hispanic or Latino,White,,3,13263,13323,13518,13611,13397,13571,13189,13201,11889,13159,13119
11649,r023,Female doctorate recipients -> Not Hispanic or Latino -> White -> U.S. citizen or permanent resident,Female doctorate recipients,Not Hispanic or Latino,White,U.S. citizen or permanent resident,4,12167,12239,12397,12469,12177,12316,11845,11841,10708,11841,11945
11649,r024,Female doctorate recipients -> Not Hispanic or Latino -> White -> Temporary visa holder,Female doctorate recipients,Not Hispanic or Latino,White,Temporary visa holder,4,1065,1065,1079,1121,1182,1235,1293,1336,1159,1311,1159
11649,r025,Female doctorate recipients -> Not Hispanic or Latino -> White -> Unknown citizenship,Female doctorate recipients,Not Hispanic or Latino,White,Unknown citizenship,4,31,19,42,21,38,20,51,24,22,7,15
11649,r026,Female doctorate recipients -> Not Hispanic or Latino -> More than one race,Female doctorate recipients,Not Hispanic or Latino,More than one race,,3,497,488,535,605,593,655,678,644,653,704,771
11649,r027,Female doctorate recipients -> Not Hispanic or Latino -> More than one race -> U.S. citizen or permanent resident,Female doctorate recipients,Not Hispanic or Latino,More than one race,U.S. citizen or permanent resident,4,470,468,509,578,553,615,626,604,604,648,721
11649,r028,Female doctorate recipients -> Not Hispanic or Latino -> More than one race -> Temporary visa holder,Female doctorate recipients,Not Hispanic or Latino,More than one race,Temporary visa holder,4,27,20,25,27,,40,,,,,
11649,r029,Female doctorate recipients -> Not Hispanic or Latino -> More than one race -> Unknown citizenship,Female doctorate recipients,Not Hispanic or Latino,More than one race,Unknown citizenship,4,0,0,1,0,,0,,,,,
11649,r030,Female doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported,Female doctorate recipients,Not Hispanic or Latino,Other race or race not reported,,3,204,162,167,192,312,333,373,353,366,387,441
11649,r031,Female doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> U.S. citizen or permanent resident,Female doctorate recipients,Not Hispanic or Latino,Other race or race not reported,U.S. citizen or permanent resident,4,131,110,97,123,202,156,174,178,173,196,221
11649,r032,Female doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Temporary visa holder,Female doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Temporary visa holder,4,,,,,88,171,177,161,166,188,214
11649,r033,Female doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Unknown citizenship,Female doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Unknown citizenship,4,,,,,22,6,22,14,27,3,6
11649,r034,Female doctorate recipients -> Ethnicity not reported,Female doctorate recipients,Ethnicity not reported,,,2,1841,2258,2128,1761,1625,1326,1359,1361,1604,1784,1930
11649,r035,Female doctorate recipients -> Ethnicity not reported -> U.S. citizen or permanent resident,Female doctorate recipients,Ethnicity not reported,U.S. citizen or permanent resident,,3,354,292,266,345,401,236,298,208,266,310,329
11649,r036,Female doctorate recipients -> Ethnicity not reported -> Temporary visa holder,Female doctorate recipients,Ethnicity not reported,Temporary visa holder,,3,175,172,183,203,99,132,200,155,158,214,245
11649,r037,Female doctorate recipients -> Ethnicity not reported -> Unknown citizenship,Female doctorate recipients,Ethnicity not reported,Unknown citizenship,,3,1312,1794,1679,1213,1125,958,861,998,1180,1260,1356
