table_id,row_id,age_disability_status_and_disability_type_full_path,age_disability_status_and_disability_type_level_1,age_disability_status_and_disability_type_level_2,age_disability_status_and_disability_type_level_3,age_disability_status_and_disability_type_level_4,age_disability_status_and_disability_type_hierarchy_depth,field_both_sexes_number,field_both_sexes_distribution,field_male_number,field_male_distribution,field_female_number,field_female_distribution
3342,r001,All ages,All ages,,,,1,328239523,100.0,161594272,100.0,166645251,100.0
3342,r002,All ages -> Without disability,All ages,Without disability,,,2,284958457,86.8,140495023,86.9,144463434,86.7
3342,r003,All ages -> With disability,All ages,With disability,,,2,43281066,13.2,21099249,13.1,22181817,13.3
3342,r004,All ages -> Younger than 5 years,All ages,Younger than 5 years,,,2,19315823,100.0,9911313,100.0,9404510,100.0
3342,r005,All ages -> Younger than 5 years -> Without disability,All ages,Younger than 5 years,Without disability,,3,19178688,99.3,9834073,99.2,9344615,99.4
3342,r006,All ages -> Younger than 5 years -> With disability,All ages,Younger than 5 years,With disability,,3,137135,0.7,77240,0.8,59895,0.6
3342,r007,All ages -> Younger than 5 years -> With disability -> Hearing difficulty,All ages,Younger than 5 years,With disability,Hearing difficulty,4,95147,0.5,55072,0.6,40075,0.4
3342,r008,All ages -> Younger than 5 years -> With disability -> Vision difficulty,All ages,Younger than 5 years,With disability,Vision difficulty,4,73867,0.4,39985,0.4,33882,0.4
3342,r009,All ages -> 5&#8211;17 years,All ages,5&#8211;17 years,,,2,53596107,100.0,27430010,100.0,26166097,100.0
3342,r010,All ages -> 5&#8211;17 years -> Without disability,All ages,5&#8211;17 years,Without disability,,3,50542023,94.3,25519873,93.0,25022150,95.6
3342,r011,All ages -> 5&#8211;17 years -> With disability,All ages,5&#8211;17 years,With disability,,3,3054084,5.7,1910137,7.0,1143947,4.4
3342,r012,All ages -> 5&#8211;17 years -> With disability -> Hearing difficulty,All ages,5&#8211;17 years,With disability,Hearing difficulty,4,311204,0.6,175629,0.6,135575,0.5
3342,r013,All ages -> 5&#8211;17 years -> With disability -> Vision difficulty,All ages,5&#8211;17 years,With disability,Vision difficulty,4,475434,0.9,234300,0.9,241134,0.9
3342,r014,All ages -> 5&#8211;17 years -> With disability -> Cognitive difficulty,All ages,5&#8211;17 years,With disability,Cognitive difficulty,4,2391958,4.5,1578829,5.8,813129,3.1
3342,r015,All ages -> 5&#8211;17 years -> With disability -> Ambulatory difficulty,All ages,5&#8211;17 years,With disability,Ambulatory difficulty,4,337218,0.6,175199,0.6,162019,0.6
