table_id,row_id,_b_type_of_doctoral_degree_b_full_path,_b_type_of_doctoral_degree_b_level_1,_b_type_of_doctoral_degree_b_level_2,_b_type_of_doctoral_degree_b_level_3,_b_type_of_doctoral_degree_b_hierarchy_depth,field_total,field_male,field_female
10643,r001,Imputation rate (%),Imputation rate (%),,,1,,,
10643,r002,Imputation rate (%) -> All nonfaculty researchers,Imputation rate (%),All nonfaculty researchers,,2,2.4,3.5,3.7
10643,r003,Imputation rate (%) -> All nonfaculty researchers -> Doctoral degree,Imputation rate (%),All nonfaculty researchers,Doctoral degree,3,5.9,6.3,6.1
10643,r004,Imputation rate (%) -> All nonfaculty researchers -> Professional degree,Imputation rate (%),All nonfaculty researchers,Professional degree,3,7.0,8.2,5.9
10643,r005,Imputation rate (%) -> All nonfaculty researchers -> Dual degree,Imputation rate (%),All nonfaculty researchers,Dual degree,3,18.8,20.9,13.9
10643,r006,Imputation rate (%) -> All nonfaculty researchers -> Doctoral degree type unknown,Imputation rate (%),All nonfaculty researchers,Doctoral degree type unknown,3,3.7,7.7,6.7
10643,r007,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,
10643,r008,Number imputed<sup>a</sup> -> All nonfaculty researchers,Number imputed<sup>a</sup>,All nonfaculty researchers,,2,763,656,511
10643,r009,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Doctoral degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Doctoral degree,3,1325,853,549
10643,r010,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Professional degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Professional degree,3,165,93,73
10643,r011,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Dual degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Dual degree,3,106,68,33
10643,r012,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Doctoral degree type unknown,Number imputed<sup>a</sup>,All nonfaculty researchers,Doctoral degree type unknown,3,251,271,218
