table_id,row_id,education_system_full_path,education_system_level_1,education_system_level_2,education_system_hierarchy_depth,field_average_score,field_percentilea_10th_percentile_score,field_percentilea_90th_percentile_score,field_percentilea_90th_10th_percentile_score_gap
9445,r001,"Participating advanced economy, overall average","Participating advanced economy, overall average",,1,"['541', '&nbsp;']",442,634,"['192', '&nbsp;']"
9445,r002,"Participating advanced economy, overall average -> Singapore","Participating advanced economy, overall average",Singapore,2,"['625', '*']",519,720,"['201', '*']"
9445,r003,"Participating advanced economy, overall average -> Hong Kong","Participating advanced economy, overall average",Hong Kong,2,"['602', '*']",509,689,"['179', '*']"
9445,r004,"Participating advanced economy, overall average -> South Korea","Participating advanced economy, overall average",South Korea,2,"['600', '*']",509,687,"['178', '*']"
9445,r005,"Participating advanced economy, overall average -> Taiwan","Participating advanced economy, overall average",Taiwan,2,"['599', '*']",513,681,"['167', '*']"
9445,r006,"Participating advanced economy, overall average -> Japan","Participating advanced economy, overall average",Japan,2,"['593', '*']",502,680,"['178', '*']"
9445,r007,"Participating advanced economy, overall average -> Russia","Participating advanced economy, overall average",Russia,2,"['567', '*']",479,653,"['174', '*']"
9445,r008,"Participating advanced economy, overall average -> Northern Ireland","Participating advanced economy, overall average",Northern Ireland,2,"['566', '*']",449,672,"['223', '&nbsp;']"
9445,r009,"Participating advanced economy, overall average -> England","Participating advanced economy, overall average",England,2,"['556', '*']",445,665,"['221', '&nbsp;']"
9445,r010,"Participating advanced economy, overall average -> Ireland","Participating advanced economy, overall average",Ireland,2,"['548', '*']",446,643,"['197', '*']"
9445,r011,"Participating advanced economy, overall average -> Latvia","Participating advanced economy, overall average",Latvia,2,"['546', '*']",454,629,"['176', '*']"
9445,r012,"Participating advanced economy, overall average -> Norway","Participating advanced economy, overall average",Norway,2,"['543', '*']",446,636,"['191', '*']"
9445,r013,"Participating advanced economy, overall average -> Lithuania","Participating advanced economy, overall average",Lithuania,2,"['542', '*']",442,636,"['193', '*']"
9445,r014,"Participating advanced economy, overall average -> Austria","Participating advanced economy, overall average",Austria,2,"['539', '&nbsp;']",455,623,"['168', '*']"
9445,r015,"Participating advanced economy, overall average -> Netherlands","Participating advanced economy, overall average",Netherlands,2,"['538', '&nbsp;']",457,615,"['159', '*']"
9445,r016,"Participating advanced economy, overall average -> United States","Participating advanced economy, overall average",United States,2,"['535', '&nbsp;']",421,639,"['219', '&nbsp;']"
9445,r017,"Participating advanced economy, overall average -> Czechia","Participating advanced economy, overall average",Czechia,2,"['533', '&nbsp;']",435,626,"['191', '*']"
9445,r018,"Participating advanced economy, overall average -> Belgium","Participating advanced economy, overall average",Belgium,2,"['532', '&nbsp;']",445,619,"['174', '*']"
9445,r019,"Participating advanced economy, overall average -> Cyprus","Participating advanced economy, overall average",Cyprus,2,"['532', '&nbsp;']",428,632,"['203', '*']"
9445,r020,"Participating advanced economy, overall average -> Finland","Participating advanced economy, overall average",Finland,2,"['532', '&nbsp;']",431,628,"['197', '*']"
9445,r021,"Participating advanced economy, overall average -> Portugal","Participating advanced economy, overall average",Portugal,2,"['525', '*']",424,621,"['196', '*']"
9445,r022,"Participating advanced economy, overall average -> Denmark","Participating advanced economy, overall average",Denmark,2,"['525', '*']",429,618,"['189', '*']"
9445,r023,"Participating advanced economy, overall average -> Sweden","Participating advanced economy, overall average",Sweden,2,"['521', '*']",425,615,"['190', '*']"
9445,r024,"Participating advanced economy, overall average -> Germany                         ","Participating advanced economy, overall average",Germany                         ,2,"['521', '*']",431,609,"['178', '*']"
9445,r025,"Participating advanced economy, overall average -> Australia                       ","Participating advanced economy, overall average",Australia                       ,2,"['516', '*']",401,625,"['224', '&nbsp;']"
9445,r026,"Participating advanced economy, overall average -> Italy                           ","Participating advanced economy, overall average",Italy                           ,2,"['515', '*']",427,598,"['170', '*']"
9445,r027,"Participating advanced economy, overall average -> Canada","Participating advanced economy, overall average",Canada,2,"['512', '*']",412,608,"['196', '*']"
9445,r028,"Participating advanced economy, overall average -> Slovakia","Participating advanced economy, overall average",Slovakia,2,"['510', '*']",406,600,"['194', '*']"
9445,r029,"Participating advanced economy, overall average -> Malta","Participating advanced economy, overall average",Malta,2,"['509', '*']",404,602,"['197', '*']"
9445,r030,"Participating advanced economy, overall average -> Spain","Participating advanced economy, overall average",Spain,2,"['502', '*']",405,594,"['189', '*']"
9445,r031,"Participating advanced economy, overall average -> New Zealand","Participating advanced economy, overall average",New Zealand,2,"['487', '*']",368,602,"['234', '*']"
9445,r032,"Participating advanced economy, overall average -> France","Participating advanced economy, overall average",France,2,"['485', '*']",379,586,"['206', '&nbsp;']"
