table_id,row_id,education_system_full_path,education_system_level_1,education_system_level_2,education_system_hierarchy_depth,field_mean_score,field_percentage_of_student_scores_below_5th_percentile,field_percentage_of_student_scores_below_10th_percentile,field_percentage_of_student_scores_at_or_above_90th_percentile,field_percentage_of_student_scores_at_or_above_95th_percentile
1534,r001,"<b>Participating developed economy, total</b>","<b>Participating developed economy, total</b>",,1,"['534', '<b>*</b>']","['5.0', '&nbsp;']","['10.0', '&nbsp;']","['10.0', '&nbsp;']","['5.0', '&nbsp;']"
1534,r002,"<b>Participating developed economy, total</b> -> Singapore","<b>Participating developed economy, total</b>",Singapore,2,"['621', '*']","['0.7', '*']","['1.9', '*']","['40.7', '*']","['23.2', '*']"
1534,r003,"<b>Participating developed economy, total</b> -> Taiwan","<b>Participating developed economy, total</b>",Taiwan,2,"['599', '*']","['2.7', '*']","['5.1', '*']","['32.5', '*']","['19.4', '*']"
1534,r004,"<b>Participating developed economy, total</b> -> South Korea","<b>Participating developed economy, total</b>",South Korea,2,"['606', '*']","['0.9', '*']","['2.1', '*']","['30.7', '*']","['17.8', '*']"
1534,r005,"<b>Participating developed economy, total</b> -> Japan","<b>Participating developed economy, total</b>",Japan,2,"['586', '*']","['1.7', '*']","['3.7', '*']","['23.5', '*']","['13.6', '*']"
1534,r006,"<b>Participating developed economy, total</b> -> Hong Kong","<b>Participating developed economy, total</b>",Hong Kong,2,"['594', '*']","['1.5', '*']","['3.1', '*']","['22.7', '*']","['10.8', '*']"
1534,r007,"<b>Participating developed economy, total</b> -> Russia","<b>Participating developed economy, total</b>",Russia,2,"['538', '*']","['3.6', '*']","['8.3', '*']","['7.8', '*']","['3.2', '&nbsp;']"
1534,r008,"<b>Participating developed economy, total</b> -> Israel","<b>Participating developed economy, total</b>",Israel,2,"['511', '&nbsp;']","['12.9', '*']","['19.7', '*']","['7.1', '*']","['2.8', '&nbsp;']"
1534,r009,"<b>Participating developed economy, total</b> -> <b>United States</b>","<b>Participating developed economy, total</b>",<b>United States</b>,2,"['518', '&nbsp;']","['6.5', '&nbsp;']","['12.5', '&nbsp;']","['4.9', '&nbsp;']","['1.8', '&nbsp;']"
1534,r010,"<b>Participating developed economy, total</b> -> England","<b>Participating developed economy, total</b>",England,2,"['518', '&nbsp;']","['4.9', '&nbsp;']","['11.5', '&nbsp;']","['4.6', '&nbsp;']","['1.3', '&nbsp;']"
1534,r011,"<b>Participating developed economy, total</b> -> Australia","<b>Participating developed economy, total</b>",Australia,2,"['505', '*']","['8.4', '&nbsp;']","['15.5', '&nbsp;']","['3.3', '&nbsp;']","['1.1', '&nbsp;']"
1534,r012,"<b>Participating developed economy, total</b> -> New Zealand","<b>Participating developed economy, total</b>",New Zealand,2,"['493', '*']","['12.1', '*']","['20.5', '*']","['3.0', '*']","['1.0', '&nbsp;']"
1534,r013,"<b>Participating developed economy, total</b> -> Canada","<b>Participating developed economy, total</b>",Canada,2,"['527', '*']","['3.0', '*']","['7.0', '*']","['2.8', '*']","['0.7', '*']"
1534,r014,"<b>Participating developed economy, total</b> -> Ireland","<b>Participating developed economy, total</b>",Ireland,2,"['523', '&nbsp;']","['4.6', '&nbsp;']","['8.9', '*']","['2.7', '*']","['0.7', '*']"
1534,r015,"<b>Participating developed economy, total</b> -> Lithuania","<b>Participating developed economy, total</b>",Lithuania,2,"['511', '&nbsp;']","['6.3', '&nbsp;']","['12.5', '&nbsp;']","['2.4', '*']","['0.7', '*']"
1534,r016,"<b>Participating developed economy, total</b> -> Slovenia","<b>Participating developed economy, total</b>",Slovenia,2,"['516', '&nbsp;']","['3.5', '*']","['8.8', '*']","['2.2', '*']","['0.6', '*']"
1534,r017,"<b>Participating developed economy, total</b> -> Norway","<b>Participating developed economy, total</b>",Norway,2,"['512', '&nbsp;']","['4.5', '*']","['9.9', '*']","['1.7', '*']","['0.5', '*']"
1534,r018,"<b>Participating developed economy, total</b> -> Malta","<b>Participating developed economy, total</b>",Malta,2,"['494', '*']","['13.3', '*']","['20.2', '*']","['1.6', '*']","['0.3', '*']"
1534,r019,"<b>Participating developed economy, total</b> -> Italy","<b>Participating developed economy, total</b>",Italy,2,"['494', '*']","['8.2', '&nbsp;']","['16.0', '*']","['1.1', '*']","['0.2', '*']"
1534,r020,"<b>Participating developed economy, total</b> -> Sweden","<b>Participating developed economy, total</b>",Sweden,2,"['501', '*']","['6.5', '&nbsp;']","['13.7', '&nbsp;']","['1.0', '*']","['0.2', '*']"
