table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_did_not_have_any_mentors,field_had_a_mentor,field_position_of_mentor_direct_supervisor,field_position_of_mentor_senior_colleague,field_position_of_mentor_peer_or_colleague,field_position_of_mentor_doctoral_degree_advisor,field_position_of_mentor_someone_else
3806,r001,All early career doctorates,All early career doctorates,,,,1,186700,25.6,74.4,72.8,79.3,59.5,70.9,26.5
3806,r002,All early career doctorates -> Sex,All early career doctorates,Sex,,,2,,,,,,,,
3806,r003,All early career doctorates -> Sex -> Female,All early career doctorates,Sex,Female,,3,89400,22.7,77.3,70.4,82.6,65.7,69.5,29.2
3806,r004,All early career doctorates -> Sex -> Male,All early career doctorates,Sex,Male,,3,97300,28.2,71.8,75.1,76.1,53.3,72.3,23.9
3806,r005,All early career doctorates -> Citizenship and sex,All early career doctorates,Citizenship and sex,,,2,,,,,,,,
3806,r006,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,,3,156100,25.3,74.7,70.3,82.9,63.8,71.3,28.4
3806,r007,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Female,4,79900,23.0,77.0,69.1,84.7,67.8,69.6,30.3
3806,r008,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Male,4,76300,27.8,72.2,71.6,81.0,59.3,73.3,26.2
3806,r009,All early career doctorates -> Citizenship and sex -> Temporary visa holder,All early career doctorates,Citizenship and sex,Temporary visa holder,,3,30600,26.9,73.1,85.9,60.5,36.9,68.6,17.2
3806,r010,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Female,All early career doctorates,Citizenship and sex,Temporary visa holder,Female,4,9600,20.3,79.7,80.8,65.5,48.5,68.5,20.5
3806,r011,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Male,All early career doctorates,Citizenship and sex,Temporary visa holder,Male,4,21000,29.9,70.1,88.5,57.9,30.9,68.6,15.4
3806,r012,All early career doctorates -> Ethnicity and race,All early career doctorates,Ethnicity and race,,,2,,,,,,,,
