table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_product_innovation_number_yes,field_product_innovation_number_no,field_product_innovation_percent_yes,field_product_innovation_percent_no
7425,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['4,857,473', '&nbsp;']","['530,124', '&nbsp;']","['4,327,349', '&nbsp;']","['10.9', '&nbsp;']","['89.1', '&nbsp;']"
7425,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7425,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['4,211,009', '&nbsp;']","['440,438', '&nbsp;']","['3,770,571', '&nbsp;']","['10.5', '&nbsp;']","['89.5', '&nbsp;']"
7425,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['489,653', '&nbsp;']","['68,345', '&nbsp;']","['421,308', '&nbsp;']","['14.0', '&nbsp;']","['86.0', '&nbsp;']"
7425,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['100,341', '&nbsp;']","['12,780', '&nbsp;']","['87,561', '&nbsp;']","['12.7', '&nbsp;']","['87.3', '&nbsp;']"
7425,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['22,785', '&nbsp;']","['2,250', '&nbsp;']","['20,535', '&nbsp;']","['9.9', '&nbsp;']","['90.1', '&nbsp;']"
7425,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['6,733', '&nbsp;']","['776', '&nbsp;']","['5,957', '&nbsp;']","['11.5', '&nbsp;']","['88.5', '&nbsp;']"
7425,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7425,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['288,123', '&nbsp;']","['37,848', '&nbsp;']","['250,275', '&nbsp;']","['13.1', '&nbsp;']","['86.9', '&nbsp;']"
7425,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['41,701', '&nbsp;']","['5,657', '&nbsp;']","['36,044', '&nbsp;']","['13.6', '&nbsp;']","['86.4', '&nbsp;']"
7425,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['4,493,855', '&nbsp;']","['481,240', '&nbsp;']","['4,012,615', '&nbsp;']","['10.7', '&nbsp;']","['89.3', '&nbsp;']"
7425,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7425,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['892,394', '&nbsp;']","['119,938', '&nbsp;']","['772,456', '&nbsp;']","['13.4', '&nbsp;']","['86.6', '&nbsp;']"
7425,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['397,777', '&nbsp;']","['51,304', '&nbsp;']","['346,473', '&nbsp;']","['12.9', '&nbsp;']","['87.1', '&nbsp;']"
7425,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['74,035', '&nbsp;']","['11,342', '&nbsp;']","['62,693', '&nbsp;']","['15.3', '&nbsp;']","['84.7', '&nbsp;']"
7425,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['3,857,251', '&nbsp;']","['393,466', '&nbsp;']","['3,463,785', '&nbsp;']","['10.2', '&nbsp;']","['89.8', '&nbsp;']"
7425,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['33,792', '&nbsp;']","['5,380', '&nbsp;']","['28,412', '&nbsp;']","['15.9', '&nbsp;']","['84.1', '&nbsp;']"
