table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_experimental_development_number,field_research_and_development_experimental_development_se,field_total_number,field_total_se,field_computer_applications_number,field_computer_applications_se,field_design_number,field_design_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
8210,r001,Doctorate recipient,Doctorate recipient,,,,1,872100,2425,333250,2225,92050,1500,174150,2025,67050,1250,538850,2800,44800,1150,24850,900,171700,2175,98900,1575,159750,1825,38850,1150
8210,r002,Doctorate recipient -> Sex,Doctorate recipient,Sex,,,2,,,,,,,,,,,,,,,,,,,,,,,,
8210,r003,Doctorate recipient -> Sex -> Male,Doctorate recipient,Sex,Male,,3,543550,2350,224950,1925,63700,1400,111450,1625,49800,1150,318650,2325,37200,1075,19650,825,105100,1725,44800,1200,90350,1425,21500,850
8210,r004,Doctorate recipient -> Sex -> Female,Doctorate recipient,Sex,Female,,3,328500,1250,108300,1475,28350,750,62650,1200,17250,600,220200,1575,7600,475,5150,375,66600,1150,54050,1200,69400,1125,17350,725
8210,r005,Doctorate recipient -> Ethnicity,Doctorate recipient,Ethnicity,,,2,,,,,,,,,,,,,,,,,,,,,,,,
8210,r006,Doctorate recipient -> Ethnicity -> Hispanic or Latino<sup>c</sup>,Doctorate recipient,Ethnicity,Hispanic or Latino<sup>c</sup>,,3,40100,475,15450,500,4350,225,8650,375,2450,225,24700,525,1200,125,1000,125,7600,250,4550,250,8300,325,2000,200
8210,r007,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,,3,,,,,,,,,,,,,,,,,,,,,,,,
8210,r008,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> American Indian or Alaska Native,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,American Indian or Alaska Native,4,1400,125,500,100,200,75,250,50,50,25,900,100,,,,,300,50,200,75,300,75,50,25
8210,r009,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Asian,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Asian,4,219800,1600,107350,1450,30100,925,47800,1300,29450,875,112450,1575,20550,850,10350,650,36400,1025,14100,700,23000,700,8100,575
8210,r010,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Black or African American,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Black or African American,4,31800,475,9100,325,2150,200,5350,250,1600,150,22700,450,550,75,600,100,7300,325,4500,325,8150,325,1650,175
8210,r011,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> White,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,White,4,562950,2075,194600,1825,53600,1175,108500,1450,32500,925,368350,2125,21950,775,12550,625,116700,1725,73400,1400,117650,1625,26100,925
8210,r012,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Other race<sup>e</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Other race<sup>e</sup>,4,16000,575,6250,425,1700,225,3600,350,1000,150,9750,400,600,125,350,100,3350,275,2100,200,2400,200,950,175
8210,r013,Doctorate recipient -> Age,Doctorate recipient,Age,,,2,,,,,,,,,,,,,,,,,,,,,,,,
8210,r014,Doctorate recipient -> Age -> Under 35,Doctorate recipient,Age,Under 35,,3,99200,925,54850,950,16000,625,28500,725,10350,500,44300,875,8550,475,3550,325,10100,450,7450,450,10750,450,3900,300
8210,r015,Doctorate recipient -> Age -> 35&#8211;39,Doctorate recipient,Age,35&#8211;39,,3,130150,1225,60050,1100,16000,650,32550,825,11500,600,70050,1150,9000,450,4100,300,21650,700,10850,575,19700,675,4800,375
8210,r016,Doctorate recipient -> Age -> 40&#8211;44,Doctorate recipient,Age,40&#8211;44,,3,127550,1400,51100,1075,14550,725,26350,825,10200,575,76450,1300,6800,400,3800,325,25600,925,11850,600,23200,750,5300,400
8210,r017,Doctorate recipient -> Age -> 45&#8211;49,Doctorate recipient,Age,45&#8211;49,,3,111200,1250,39950,925,11600,550,19850,700,8500,525,71250,1200,5300,425,3000,300,24900,875,11300,600,21450,675,5300,425
8210,r018,Doctorate recipient -> Age -> 50&#8211;54,Doctorate recipient,Age,50&#8211;54,,3,104550,1225,35150,975,9100,475,17550,825,8500,600,69400,1250,4150,400,2950,350,25650,775,11000,575,21100,725,4550,450
8210,r019,Doctorate recipient -> Age -> 55&#8211;59,Doctorate recipient,Age,55&#8211;59,,3,98950,1375,30950,850,7700,450,16300,725,6900,425,68050,1325,4850,425,2650,325,24450,750,11250,650,19500,725,5300,425
8210,r020,Doctorate recipient -> Age -> 60&#8211;64,Doctorate recipient,Age,60&#8211;64,,3,86450,1375,28200,850,7550,475,15000,650,5650,350,58250,1225,3000,300,2600,275,19500,750,11200,625,18300,700,3650,325
8210,r021,Doctorate recipient -> Age -> 65&#8211;75,Doctorate recipient,Age,65&#8211;75,,3,114100,1575,33050,1025,9500,575,18050,850,5500,450,81050,1375,3150,325,2150,275,19900,800,24050,850,25800,875,6050,500
8210,r022,Doctorate recipient -> Years since doctorate,Doctorate recipient,Years since doctorate,,,2,,,,,,,,,,,,,,,,,,,,,,,,
8210,r023,Doctorate recipient -> Years since doctorate -> &#8804; 5,Doctorate recipient,Years since doctorate,&#8804; 5,,3,141750,600,73500,1025,20750,675,39550,900,13200,600,68250,950,10500,500,4800,350,14850,525,12000,575,20550,575,5550,375
8210,r024,Doctorate recipient -> Years since doctorate -> 6&#8211;10,Doctorate recipient,Years since doctorate,6&#8211;10,,3,159000,975,65950,1200,16950,700,35800,950,13200,600,93050,1350,10550,475,5100,375,27900,825,14250,650,28850,750,6350,400
8210,r025,Doctorate recipient -> Years since doctorate -> 11&#8211;15,Doctorate recipient,Years since doctorate,11&#8211;15,,3,137450,875,51000,975,13850,625,25900,775,11200,575,86500,975,6900,475,4000,400,29650,950,13250,500,26350,750,6300,450
8210,r026,Doctorate recipient -> Years since doctorate -> 16&#8211;20,Doctorate recipient,Years since doctorate,16&#8211;20,,3,108850,825,38650,800,10550,550,19750,675,8400,550,70200,1075,3800,375,2750,325,25350,850,11850,625,21250,700,5200,400
8210,r027,Doctorate recipient -> Years since doctorate -> 21&#8211;25,Doctorate recipient,Years since doctorate,21&#8211;25,,3,104600,950,34300,850,9150,550,17450,675,7650,500,70300,1100,5100,425,2550,300,25200,750,12500,600,20850,800,4150,425
8210,r028,Doctorate recipient -> Years since doctorate -> > 25,Doctorate recipient,Years since doctorate,> 25,,3,220400,1675,69850,1325,20800,775,35700,1050,13400,600,150550,1700,8000,500,5600,425,48700,1200,35100,1075,41900,1125,11350,625
8210,r029,Doctorate recipient -> Citizenship,Doctorate recipient,Citizenship,,,2,,,,,,,,,,,,,,,,,,,,,,,,
8210,r030,Doctorate recipient -> Citizenship -> U.S. citizen,Doctorate recipient,Citizenship,U.S. citizen,,3,746850,2200,264450,2050,70500,1300,142950,1675,51000,1150,482400,2550,31250,975,18400,800,158300,1975,94100,1525,145350,1750,34950,1075
8210,r031,Doctorate recipient -> Citizenship -> U.S. citizen -> Native-born,Doctorate recipient,Citizenship,U.S. citizen,Native-born,4,554050,1850,183450,1825,49050,1000,105050,1425,29400,750,370600,2300,18600,675,11100,550,118600,1775,78150,1350,117100,1550,27100,950
8210,r032,Doctorate recipient -> Citizenship -> U.S. citizen -> Naturalized,Doctorate recipient,Citizenship,U.S. citizen,Naturalized,4,192800,1675,81000,1400,21450,850,37900,1175,21600,825,111800,1450,12700,625,7350,525,39700,1150,15950,700,28250,825,7850,525
8210,r033,Doctorate recipient -> Citizenship -> Non-U.S. citizen,Doctorate recipient,Citizenship,Non-U.S. citizen,,3,125250,1425,68800,1225,21550,825,31200,1025,16050,725,56400,1175,13550,725,6400,425,13400,725,4800,450,14450,650,3850,350
8210,r034,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Permanent resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Permanent resident,4,84250,1300,42500,975,12250,650,19200,825,11050,575,41800,1075,9150,550,4050,400,11250,675,3550,400,11150,600,2600,300
8210,r035,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Temporary resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Temporary resident,4,40950,825,26300,800,9350,550,11950,600,5000,400,14650,600,4400,425,2350,300,2150,250,1200,200,3300,300,1250,225
8210,r036,Doctorate recipient -> Sector of employment,Doctorate recipient,Sector of employment,,,2,,,,,,,,,,,,,,,,,,,,,,,,
8210,r037,Doctorate recipient -> Sector of employment -> 4-year educational institution<sup>f</sup>,Doctorate recipient,Sector of employment,4-year educational institution<sup>f</sup>,,3,340950,2450,136300,1475,71850,1375,60800,1050,3650,350,204650,2050,3250,275,1450,200,43700,975,13300,625,133900,1725,9050,525
8210,r038,Doctorate recipient -> Sector of employment -> Other educational institution<sup>g</sup>,Doctorate recipient,Sector of employment,Other educational institution<sup>g</sup>,,3,27800,825,1350,225,300,100,800,150,250,125,26450,800,150,75,100,50,3000,300,2500,250,19600,700,1150,200
8210,r039,"Doctorate recipient -> Sector of employment -> Private, for profit<sup>h</sup>",Doctorate recipient,Sector of employment,"Private, for profit<sup>h</sup>",,3,320850,2625,127700,1800,4950,350,67900,1450,54850,1150,193150,2250,35350,1025,19550,825,81650,1575,39100,1225,2600,275,14900,700
8210,r040,"Doctorate recipient -> Sector of employment -> Private, nonprofit",Doctorate recipient,Sector of employment,"Private, nonprofit",,3,60200,1300,26250,775,7300,400,16650,650,2300,225,33950,1025,1750,225,1250,175,14800,650,11550,575,1100,200,3450,325
8210,r041,Doctorate recipient -> Sector of employment -> Federal government,Doctorate recipient,Sector of employment,Federal government,,3,52700,1250,23200,800,5550,475,15750,600,1900,225,29500,925,1550,225,950,150,15400,625,6050,400,550,175,5000,375
