table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_all_position_types,field_faculty_total,field_faculty_tenured_faculty,field_faculty_tenure_track_faculty,field_faculty_non_tenure_track_faculty_with_rank,field_faculty_other_faculty_no_rank_or_tenurea,field_postdoctoral_scholarb,field_other_position_total,field_other_position_research_scientist_or_nonfaculty_researcher,field_other_position_all_other_positionsc
3824,r001,All early career doctorates,All early career doctorates,,,,1,68000,73000,80000,78000,73000,45000,50000,80000,80000,80000
3824,r002,All early career doctorates -> Sex,All early career doctorates,Sex,,,2,,,,,,,,,,
3824,r003,All early career doctorates -> Sex -> Female,All early career doctorates,Sex,Female,,3,67000,70000,76000,75000,74000,45000,50000,73000,64000,76000
3824,r004,All early career doctorates -> Sex -> Male,All early career doctorates,Sex,Male,,3,69000,77000,83000,80000,73000,44000,50000,88000,88000,87000
3824,r005,All early career doctorates -> Citizenship and sex,All early career doctorates,Citizenship and sex,,,2,,,,,,,,,,
3824,r006,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,,3,70000,72000,80000,78000,73000,44000,50000,82000,85000,80000
3824,r007,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Female,4,68000,70000,75000,75000,75000,45000,50000,75000,65000,76000
3824,r008,All early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,All early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Male,4,73000,76000,83000,80000,72000,44000,51000,91000,93000,88000
3824,r009,All early career doctorates -> Citizenship and sex -> Temporary visa holder,All early career doctorates,Citizenship and sex,Temporary visa holder,,3,55000,79000,80000,83000,67000,50000,50000,66000,67000,64000
3824,r010,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Female,All early career doctorates,Citizenship and sex,Temporary visa holder,Female,4,55000,75000,81000,80000,64000,52000,49000,61000,61000,
3824,r011,All early career doctorates -> Citizenship and sex -> Temporary visa holder -> Male,All early career doctorates,Citizenship and sex,Temporary visa holder,Male,4,55000,80000,79000,84000,73000,50000,50000,72000,72000,76000
3824,r012,All early career doctorates -> Ethnicity and race,All early career doctorates,Ethnicity and race,,,2,,,,,,,,,,
3824,r013,All early career doctorates -> Ethnicity and race -> Hispanic or Latino,All early career doctorates,Ethnicity and race,Hispanic or Latino,,3,66000,72000,80000,78000,67000,35000,50000,77000,71000,77000
3824,r014,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,,
3824,r015,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Asian,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Asian,4,65000,82000,91000,86000,70000,45000,50000,70000,73000,62000
3824,r016,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,70000,69000,79000,76000,72000,S,50000,88000,74000,89000
3824,r017,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> White,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,White,4,69000,72000,80000,76000,74000,46000,50000,82000,84000,81000
3824,r018,All early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Other race and ethnicity,All early career doctorates,Ethnicity and race,Not Hispanic or Latino,Other race and ethnicity,4,66000,68000,81000,72000,64000,26000,49000,84000,58000,97000
3824,r019,All early career doctorates -> Age quartile,All early career doctorates,Age quartile,,,2,,,,,,,,,,
3824,r020,All early career doctorates -> Age quartile -> 32 years and under,All early career doctorates,Age quartile,32 years and under,,3,57000,75000,79000,80000,75000,49000,50000,71000,84000,55000
3824,r021,All early career doctorates -> Age quartile -> 33&#8211;35 year,All early career doctorates,Age quartile,33&#8211;35 year,,3,69000,76000,79000,80000,73000,48000,50000,75000,83000,69000
3824,r022,All early career doctorates -> Age quartile -> 36&#8211;40 years,All early career doctorates,Age quartile,36&#8211;40 years,,3,73000,75000,83000,79000,72000,48000,52000,80000,80000,79000
3824,r023,All early career doctorates -> Age quartile -> 41 years or older,All early career doctorates,Age quartile,41 years or older,,3,70000,69000,79000,72000,74000,36000,49000,86000,70000,89000
3824,r024,All early career doctorates -> Marital status,All early career doctorates,Marital status,,,2,,,,,,,,,,
3824,r025,All early career doctorates -> Marital status -> Never married,All early career doctorates,Marital status,Never married,,3,61000,71000,77000,75000,62000,50000,50000,70000,68000,73000
3824,r026,All early career doctorates -> Marital status -> Married,All early career doctorates,Marital status,Married,,3,70000,74000,82000,80000,74000,43000,50000,83000,82000,83000
3824,r027,All early career doctorates -> Marital status -> Marriage-like relationship,All early career doctorates,Marital status,Marriage-like relationship,,3,63000,69000,81000,75000,76000,45000,50000,75000,60000,74000
3824,r028,"All early career doctorates -> Marital status -> Separated, divorced, widowed",All early career doctorates,Marital status,"Separated, divorced, widowed",,3,67000,70000,82000,78000,83000,43000,51000,86000,S,80000
3824,r029,All early career doctorates -> Dependents,All early career doctorates,Dependents,,,2,,,,,,,,,,
3824,r030,All early career doctorates -> Dependents -> With dependents,All early career doctorates,Dependents,With dependents,,3,72000,75000,82000,80000,73000,45000,51000,82000,84000,80000
3824,r031,All early career doctorates -> Dependents -> Without dependents,All early career doctorates,Dependents,Without dependents,,3,63000,72000,78000,78000,72000,45000,50000,79000,74000,80000
3824,r032,All early career doctorates -> Disability status,All early career doctorates,Disability status,,,2,,,,,,,,,,
3824,r033,All early career doctorates -> Disability status -> With disability,All early career doctorates,Disability status,With disability,,3,66000,70000,79000,75000,73000,44000,50000,76000,85000,74000
3824,r034,All early career doctorates -> Disability status -> Without disability,All early career doctorates,Disability status,Without disability,,3,69000,75000,81000,80000,73000,45000,50000,81000,79000,83000
