table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_appropriately_apply_research_methodologies,field_develop_new_ideas_processes_or_products,field_critically_analyze_and_evaluate_findings_and_results,field_demonstrate_theoretical_and_practical_understanding_of_your_subject_area,field_work_constructively_with_colleagues,field_manage_and_influence_others,field_communicate_ideas_clearly_and_persuasively_in_writing,field_communicate_ideas_clearly_and_persuasively_orally,field_effectively_plan_manage_and_deliver_projects_on_time
3838,r001,Number of early career doctorates for whom the item was applicable (denominator),Number of early career doctorates for whom the item was applicable (denominator),,,,1,173800,179400,181400,184300,182900,180300,185200,185500,179800
3838,r002,Number of early career doctorates for whom the item was applicable (denominator) -> Percentage of early career doctorates,Number of early career doctorates for whom the item was applicable (denominator),Percentage of early career doctorates,,,2,69.3,70.6,77.1,81.5,66.2,59.9,80.6,80.1,69.5
3838,r003,Number of early career doctorates for whom the item was applicable (denominator) -> Position type<sup>a</sup>,Number of early career doctorates for whom the item was applicable (denominator),Position type<sup>a</sup>,,,2,,,,,,,,,
3838,r004,Number of early career doctorates for whom the item was applicable (denominator) -> Position type<sup>a</sup> -> Faculty,Number of early career doctorates for whom the item was applicable (denominator),Position type<sup>a</sup>,Faculty,,3,65.0,66.3,72.8,82.9,62.6,58.5,80.9,82.6,67.1
3838,r005,Number of early career doctorates for whom the item was applicable (denominator) -> Position type<sup>a</sup> -> Faculty -> Tenured faculty,Number of early career doctorates for whom the item was applicable (denominator),Position type<sup>a</sup>,Faculty,Tenured faculty,4,63.9,63.1,71.9,82.4,59.8,54.3,82.3,81.9,64.7
3838,r006,Number of early career doctorates for whom the item was applicable (denominator) -> Position type<sup>a</sup> -> Faculty -> Tenure-track faculty,Number of early career doctorates for whom the item was applicable (denominator),Position type<sup>a</sup>,Faculty,Tenure-track faculty,4,71.3,70.8,77.1,83.7,62.3,58.8,84.0,81.9,68.9
3838,r007,Number of early career doctorates for whom the item was applicable (denominator) -> Position type<sup>a</sup> -> Faculty -> Non-tenure track faculty with rank,Number of early career doctorates for whom the item was applicable (denominator),Position type<sup>a</sup>,Faculty,Non-tenure track faculty with rank,4,58.4,69.4,73.7,83.5,76.3,70.7,79.0,83.9,69.8
3838,r008,"Number of early career doctorates for whom the item was applicable (denominator) -> Position type<sup>a</sup> -> Faculty -> Other faculty, no rank or tenure",Number of early career doctorates for whom the item was applicable (denominator),Position type<sup>a</sup>,Faculty,"Other faculty, no rank or tenure",4,52.8,57.2,62.9,81.3,59.5,56.0,73.5,84.2,63.8
3838,r009,Number of early career doctorates for whom the item was applicable (denominator) -> Position type<sup>a</sup> -> Postdoctoral scholar,Number of early career doctorates for whom the item was applicable (denominator),Position type<sup>a</sup>,Postdoctoral scholar,,3,85.4,82.7,88.9,80.5,67.8,56.6,80.9,71.5,69.6
3838,r010,Number of early career doctorates for whom the item was applicable (denominator) -> Position type<sup>a</sup> -> Research scientist or nonfaculty researcher,Number of early career doctorates for whom the item was applicable (denominator),Position type<sup>a</sup>,Research scientist or nonfaculty researcher,,3,83.0,83.1,89.4,79.4,78.3,62.4,80.0,74.7,77.8
3838,r011,Number of early career doctorates for whom the item was applicable (denominator) -> Position type<sup>a</sup> -> Other positions,Number of early career doctorates for whom the item was applicable (denominator),Position type<sup>a</sup>,Other positions,,3,49.2,66.4,73.8,72.0,83.6,79.8,77.9,85.4,83.9
3838,r012,Number of early career doctorates for whom the item was applicable (denominator) -> Employment setting,Number of early career doctorates for whom the item was applicable (denominator),Employment setting,,,2,,,,,,,,,
3838,r013,Number of early career doctorates for whom the item was applicable (denominator) -> Employment setting -> Academic institution<sup>b</sup>,Number of early career doctorates for whom the item was applicable (denominator),Employment setting,Academic institution<sup>b</sup>,,3,68.6,70.0,76.5,81.3,65.4,59.9,80.6,80.2,69.4
