table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_level_4,_b_ffrdc_b_hierarchy_depth,field_total_r_d_and_r_d_plant,field_type_of_r_d_total_r_d,field_type_of_r_d_basic_research,field_type_of_r_d_applied_research,field_type_of_r_d_experimental_development,field_r_d_plant
10246,r001,All agencies sponsoring FFRDCs,All agencies sponsoring FFRDCs,,,,1,16810510,14791390,5804862,4723897,4262632,2019120
10246,r002,All agencies sponsoring FFRDCs -> Departments,All agencies sponsoring FFRDCs,Departments,,,2,,,,,,
10246,r003,All agencies sponsoring FFRDCs -> Departments -> Department of Commerce,All agencies sponsoring FFRDCs,Departments,Department of Commerce,,3,33501,33501,0,19914,13586,0
10246,r004,All agencies sponsoring FFRDCs -> Departments -> Department of Commerce -> National Cybersecurity Center of Excellence,All agencies sponsoring FFRDCs,Departments,Department of Commerce,National Cybersecurity Center of Excellence,4,33501,33501,0,19914,13586,0
10246,r005,All agencies sponsoring FFRDCs -> Departments -> Department of Defense,All agencies sponsoring FFRDCs,Departments,Department of Defense,,3,2915444,2915444,62281,934610,1918553,0
10246,r006,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Aerospace FFRDC,All agencies sponsoring FFRDCs,Departments,Department of Defense,Aerospace FFRDC,4,552436,552436,21549,12146,518740,0
10246,r007,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Arroyo Center,All agencies sponsoring FFRDCs,Departments,Department of Defense,Arroyo Center,4,2710,2710,0,0,2710,0
10246,r008,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Center for Communications and Computing,All agencies sponsoring FFRDCs,Departments,Department of Defense,Center for Communications and Computing,4,57748,57748,0,0,57748,0
10246,r009,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Center for Naval Analyses,All agencies sponsoring FFRDCs,Departments,Department of Defense,Center for Naval Analyses,4,53281,53281,1534,2195,49552,0
10246,r010,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Lincoln Laboratory,All agencies sponsoring FFRDCs,Departments,Department of Defense,Lincoln Laboratory,4,975858,975858,5416,681913,288528,0
10246,r011,"All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> NSEC&#8212;Bedford, MA",All agencies sponsoring FFRDCs,Departments,Department of Defense,"NSEC&#8212;Bedford, MA",4,890187,890187,12012,40965,837210,0
10246,r012,"All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> NSEC&#8212;McLean, VA",All agencies sponsoring FFRDCs,Departments,Department of Defense,"NSEC&#8212;McLean, VA",4,59155,59155,2428,12841,43886,0
10246,r013,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> National Defense Research Institute,All agencies sponsoring FFRDCs,Departments,Department of Defense,National Defense Research Institute,4,18107,18107,7077,0,11031,0
10246,r014,All agencies sponsoring FFRDCs -> Departments -> Department of Defense -> Project Air Force,All agencies sponsoring FFRDCs,Departments,Department of Defense,Project Air Force,4,51416,51416,1052,43086,7278,0
