table_id,row_id,time_period,s_e_workers_level_1,s_e_workers_level_2,s_e_workers_hierarchy_depth,value
11003,r001,All workers -> 2016,S&E workers,Employed,2,89.6
11003,r002,All workers -> 2016,S&E workers,Unemployed,2,2.2
11003,r003,All workers -> 2016,S&E workers,Not in the labor force,2,8.2
11003,r004,All workers -> 2016,S&E-related workers,Employed,2,88.2
11003,r005,All workers -> 2016,S&E-related workers,Unemployed,2,1.6
11003,r006,All workers -> 2016,S&E-related workers,Not in the labor force,2,10.2
11003,r007,All workers -> 2016,STEM middle-skill workers,Employed,2,85.0
11003,r008,All workers -> 2016,STEM middle-skill workers,Unemployed,2,3.9
11003,r009,All workers -> 2016,STEM middle-skill workers,Not in the labor force,2,11.1
11003,r010,All workers -> 2016,Non-STEM workers,Employed,2,81.5
11003,r011,All workers -> 2016,Non-STEM workers,Unemployed,2,4.3
11003,r012,All workers -> 2016,Non-STEM workers,Not in the labor force,2,14.2
11003,r013,All workers -> 2017,S&E workers,Employed,2,89.6
11003,r014,All workers -> 2017,S&E workers,Unemployed,2,2.1
11003,r015,All workers -> 2017,S&E workers,Not in the labor force,2,8.4
11003,r016,All workers -> 2017,S&E-related workers,Employed,2,88.1
11003,r017,All workers -> 2017,S&E-related workers,Unemployed,2,1.5
11003,r018,All workers -> 2017,S&E-related workers,Not in the labor force,2,10.3
11003,r019,All workers -> 2017,STEM middle-skill workers,Employed,2,85.9
11003,r020,All workers -> 2017,STEM middle-skill workers,Unemployed,2,3.5
11003,r021,All workers -> 2017,STEM middle-skill workers,Not in the labor force,2,10.7
11003,r022,All workers -> 2017,Non-STEM workers,Employed,2,82.0
11003,r023,All workers -> 2017,Non-STEM workers,Unemployed,2,4.0
11003,r024,All workers -> 2017,Non-STEM workers,Not in the labor force,2,14.1
11003,r025,All workers -> 2018,S&E workers,Employed,2,89.3
11003,r026,All workers -> 2018,S&E workers,Unemployed,2,2.0
11003,r027,All workers -> 2018,S&E workers,Not in the labor force,2,8.7
11003,r028,All workers -> 2018,S&E-related workers,Employed,2,88.1
11003,r029,All workers -> 2018,S&E-related workers,Unemployed,2,1.5
11003,r030,All workers -> 2018,S&E-related workers,Not in the labor force,2,10.4
11003,r031,All workers -> 2018,STEM middle-skill workers,Employed,2,86.3
11003,r032,All workers -> 2018,STEM middle-skill workers,Unemployed,2,3.1
11003,r033,All workers -> 2018,STEM middle-skill workers,Not in the labor force,2,10.6
11003,r034,All workers -> 2018,Non-STEM workers,Employed,2,82.4
11003,r035,All workers -> 2018,Non-STEM workers,Unemployed,2,3.7
11003,r036,All workers -> 2018,Non-STEM workers,Not in the labor force,2,13.9
