table_id,row_id,time_period,all_employed_level_1,all_employed_level_2,all_employed_level_3,all_employed_hierarchy_depth,value
8169,r001,On postdoc in February 2021,All employed,Number,,2,27150
8169,r002,On postdoc in February 2021,All employed,SE,,2,750
8169,r003,On postdoc in February 2021,Science,Total,Number,3,22100
8169,r004,On postdoc in February 2021,Science,Total,SE,3,675
8169,r005,On postdoc in February 2021,Science,"Biological, agricultural, and environmental life sciences",Number,3,13650
8169,r006,On postdoc in February 2021,Science,"Biological, agricultural, and environmental life sciences",SE,3,575
8169,r007,On postdoc in February 2021,Science,Computer and information sciences,Number,3,300
8169,r008,On postdoc in February 2021,Science,Computer and information sciences,SE,3,100
8169,r009,On postdoc in February 2021,Science,Mathematics and statistics,Number,3,850
8169,r010,On postdoc in February 2021,Science,Mathematics and statistics,SE,3,175
8169,r011,On postdoc in February 2021,Science,Physical sciences,Number,3,5550
8169,r012,On postdoc in February 2021,Science,Physical sciences,SE,3,375
8169,r013,On postdoc in February 2021,Science,Psychology,Number,3,850
8169,r014,On postdoc in February 2021,Science,Psychology,SE,3,150
8169,r015,On postdoc in February 2021,Science,Social sciences,Number,3,900
8169,r016,On postdoc in February 2021,Science,Social sciences,SE,3,150
8169,r017,On postdoc in February 2021,Engineering,Number,,2,3950
8169,r018,On postdoc in February 2021,Engineering,SE,,2,325
8169,r019,On postdoc in February 2021,Health,Number,,2,1100
8169,r020,On postdoc in February 2021,Health,SE,,2,150
8169,r021,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,All employed,Number,,2,22200
8169,r022,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,All employed,SE,,2,600
8169,r023,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,Science,Total,Number,3,17750
8169,r024,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,Science,Total,SE,3,550
8169,r025,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,Science,"Biological, agricultural, and environmental life sciences",Number,3,10300
8169,r026,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,Science,"Biological, agricultural, and environmental life sciences",SE,3,425
8169,r027,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,Science,Computer and information sciences,Number,3,250
8169,r028,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,Science,Computer and information sciences,SE,3,75
8169,r029,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,Science,Mathematics and statistics,Number,3,750
8169,r030,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,Science,Mathematics and statistics,SE,3,125
8169,r031,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,Science,Physical sciences,Number,3,4850
8169,r032,On postdoc in February 2021 -> Years since doctorate -> &#8804; 5 years,Science,Physical sciences,SE,3,350
