table_id,row_id,teaching_field_and_selected_school_characteristic_full_path,teaching_field_and_selected_school_characteristic_level_1,teaching_field_and_selected_school_characteristic_level_2,teaching_field_and_selected_school_characteristic_level_3,teaching_field_and_selected_school_characteristic_level_4,teaching_field_and_selected_school_characteristic_hierarchy_depth,field__3_years,field_4_9_years,field_10_19_years,field__20_years
4110,r001,All public middle and high school teachers,All public middle and high school teachers,,,,1,16,22,37,25
4110,r002,All public middle and high school teachers -> Mathematics,All public middle and high school teachers,Mathematics,,,2,17,22,37,24
4110,r003,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent),All public middle and high school teachers,Mathematics,Minority enrollment (percent),,3,,,,
4110,r004,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Mathematics,Minority enrollment (percent),0&#8211;24,4,13,18,41,28
4110,r005,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Mathematics,Minority enrollment (percent),25&#8211;49,4,14,23,39,25
4110,r006,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Mathematics,Minority enrollment (percent),50&#8211;74,4,19,24,35,22
4110,r007,All public middle and high school teachers -> Mathematics -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Mathematics,Minority enrollment (percent),75 or more,4,23,23,34,20
4110,r008,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>a</sup>,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>a</sup>,,3,,,,
4110,r009,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>a</sup> -> 0&#8211;34,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>a</sup>,0&#8211;34,4,14,20,39,27
4110,r010,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>a</sup> -> 35&#8211;49,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>a</sup>,35&#8211;49,4,15,22,38,26
4110,r011,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>a</sup> -> 50&#8211;74,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>a</sup>,50&#8211;74,4,17,23,38,22
4110,r012,All public middle and high school teachers -> Mathematics -> School poverty level (percent)<sup>a</sup> -> 75 or more,All public middle and high school teachers,Mathematics,School poverty level (percent)<sup>a</sup>,75 or more,4,23,22,34,21
4110,r013,All public middle and high school teachers -> Mathematics -> Community type ,All public middle and high school teachers,Mathematics,Community type ,,3,,,,
4110,r014,All public middle and high school teachers -> Mathematics -> Community type  -> City,All public middle and high school teachers,Mathematics,Community type ,City,4,20,24,36,21
4110,r015,All public middle and high school teachers -> Mathematics -> Community type  -> Suburban,All public middle and high school teachers,Mathematics,Community type ,Suburban,4,16,21,38,25
4110,r016,All public middle and high school teachers -> Mathematics -> Community type  -> Town,All public middle and high school teachers,Mathematics,Community type ,Town,4,13,21,37,28
4110,r017,All public middle and high school teachers -> Mathematics -> Community type  -> Rural,All public middle and high school teachers,Mathematics,Community type ,Rural,4,17,21,38,25
4110,r018,All public middle and high school teachers -> Mathematics -> Region,All public middle and high school teachers,Mathematics,Region,,3,,,,
4110,r019,All public middle and high school teachers -> Mathematics -> Region -> Northeast,All public middle and high school teachers,Mathematics,Region,Northeast,4,14,17,48,21
4110,r020,All public middle and high school teachers -> Mathematics -> Region -> Midwest,All public middle and high school teachers,Mathematics,Region,Midwest,4,13,19,38,31
4110,r021,All public middle and high school teachers -> Mathematics -> Region -> South,All public middle and high school teachers,Mathematics,Region,South,4,19,27,33,22
4110,r022,All public middle and high school teachers -> Mathematics -> Region -> West,All public middle and high school teachers,Mathematics,Region,West,4,20,19,36,25
4110,r023,All public middle and high school teachers -> Science,All public middle and high school teachers,Science,,,2,16,22,39,23
4110,r024,All public middle and high school teachers -> Science -> Minority enrollment (percent),All public middle and high school teachers,Science,Minority enrollment (percent),,3,,,,
4110,r025,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Science,Minority enrollment (percent),0&#8211;24,4,13,22,41,23
4110,r026,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Science,Minority enrollment (percent),25&#8211;49,4,13,21,41,26
4110,r027,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Science,Minority enrollment (percent),50&#8211;74,4,22,22,33,23
4110,r028,All public middle and high school teachers -> Science -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Science,Minority enrollment (percent),75 or more,4,18,23,39,19
4110,r029,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>a</sup>,All public middle and high school teachers,Science,School poverty level (percent)<sup>a</sup>,,3,,,,
4110,r030,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>a</sup> -> 0&#8211;34,All public middle and high school teachers,Science,School poverty level (percent)<sup>a</sup>,0&#8211;34,4,13,19,42,26
4110,r031,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>a</sup> -> 35&#8211;49,All public middle and high school teachers,Science,School poverty level (percent)<sup>a</sup>,35&#8211;49,4,13,23,41,24
4110,r032,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>a</sup> -> 50&#8211;74,All public middle and high school teachers,Science,School poverty level (percent)<sup>a</sup>,50&#8211;74,4,17,25,38,20
4110,r033,All public middle and high school teachers -> Science -> School poverty level (percent)<sup>a</sup> -> 75 or more,All public middle and high school teachers,Science,School poverty level (percent)<sup>a</sup>,75 or more,4,22,21,35,23
4110,r034,All public middle and high school teachers -> Science -> Community type ,All public middle and high school teachers,Science,Community type ,,3,,,,
4110,r035,All public middle and high school teachers -> Science -> Community type  -> City,All public middle and high school teachers,Science,Community type ,City,4,19,22,37,23
4110,r036,All public middle and high school teachers -> Science -> Community type  -> Suburban,All public middle and high school teachers,Science,Community type ,Suburban,4,12,19,44,25
4110,r037,All public middle and high school teachers -> Science -> Community type  -> Town,All public middle and high school teachers,Science,Community type ,Town,4,19,18,37,26
4110,r038,All public middle and high school teachers -> Science -> Community type  -> Rural,All public middle and high school teachers,Science,Community type ,Rural,4,16,30,34,20
4110,r039,All public middle and high school teachers -> Science -> Region,All public middle and high school teachers,Science,Region,,3,,,,
4110,r040,All public middle and high school teachers -> Science -> Region -> Northeast,All public middle and high school teachers,Science,Region,Northeast,4,10,23,43,24
4110,r041,All public middle and high school teachers -> Science -> Region -> Midwest,All public middle and high school teachers,Science,Region,Midwest,4,14,15,43,28
4110,r042,All public middle and high school teachers -> Science -> Region -> South,All public middle and high school teachers,Science,Region,South,4,20,24,35,21
4110,r043,All public middle and high school teachers -> Science -> Region -> West,All public middle and high school teachers,Science,Region,West,4,15,23,40,23
4110,r044,All public middle and high school teachers -> Other<sup>b</sup>,All public middle and high school teachers,Other<sup>b</sup>,,,2,16,22,37,26
4110,r045,All public middle and high school teachers -> Other<sup>b</sup> -> Minority enrollment (percent),All public middle and high school teachers,Other<sup>b</sup>,Minority enrollment (percent),,3,,,,
4110,r046,All public middle and high school teachers -> Other<sup>b</sup> -> Minority enrollment (percent) -> 0&#8211;24,All public middle and high school teachers,Other<sup>b</sup>,Minority enrollment (percent),0&#8211;24,4,12,21,40,28
4110,r047,All public middle and high school teachers -> Other<sup>b</sup> -> Minority enrollment (percent) -> 25&#8211;49,All public middle and high school teachers,Other<sup>b</sup>,Minority enrollment (percent),25&#8211;49,4,15,21,36,28
4110,r048,All public middle and high school teachers -> Other<sup>b</sup> -> Minority enrollment (percent) -> 50&#8211;74,All public middle and high school teachers,Other<sup>b</sup>,Minority enrollment (percent),50&#8211;74,4,17,25,34,25
4110,r049,All public middle and high school teachers -> Other<sup>b</sup> -> Minority enrollment (percent) -> 75 or more,All public middle and high school teachers,Other<sup>b</sup>,Minority enrollment (percent),75 or more,4,21,22,36,21
4110,r050,All public middle and high school teachers -> Other<sup>b</sup> -> School poverty level (percent)<sup>a</sup>,All public middle and high school teachers,Other<sup>b</sup>,School poverty level (percent)<sup>a</sup>,,3,,,,
4110,r051,All public middle and high school teachers -> Other<sup>b</sup> -> School poverty level (percent)<sup>a</sup> -> 0&#8211;34,All public middle and high school teachers,Other<sup>b</sup>,School poverty level (percent)<sup>a</sup>,0&#8211;34,4,13,21,39,27
4110,r052,All public middle and high school teachers -> Other<sup>b</sup> -> School poverty level (percent)<sup>a</sup> -> 35&#8211;49,All public middle and high school teachers,Other<sup>b</sup>,School poverty level (percent)<sup>a</sup>,35&#8211;49,4,14,22,38,26
4110,r053,All public middle and high school teachers -> Other<sup>b</sup> -> School poverty level (percent)<sup>a</sup> -> 50&#8211;74,All public middle and high school teachers,Other<sup>b</sup>,School poverty level (percent)<sup>a</sup>,50&#8211;74,4,16,22,35,27
4110,r054,All public middle and high school teachers -> Other<sup>b</sup> -> School poverty level (percent)<sup>a</sup> -> 75 or more,All public middle and high school teachers,Other<sup>b</sup>,School poverty level (percent)<sup>a</sup>,75 or more,4,21,23,34,22
4110,r055,All public middle and high school teachers -> Other<sup>b</sup> -> Community type ,All public middle and high school teachers,Other<sup>b</sup>,Community type ,,3,,,,
4110,r056,All public middle and high school teachers -> Other<sup>b</sup> -> Community type  -> City,All public middle and high school teachers,Other<sup>b</sup>,Community type ,City,4,19,23,34,24
4110,r057,All public middle and high school teachers -> Other<sup>b</sup> -> Community type  -> Suburban,All public middle and high school teachers,Other<sup>b</sup>,Community type ,Suburban,4,14,21,39,26
4110,r058,All public middle and high school teachers -> Other<sup>b</sup> -> Community type  -> Town,All public middle and high school teachers,Other<sup>b</sup>,Community type ,Town,4,18,22,34,27
4110,r059,All public middle and high school teachers -> Other<sup>b</sup> -> Community type  -> Rural,All public middle and high school teachers,Other<sup>b</sup>,Community type ,Rural,4,16,20,37,27
4110,r060,All public middle and high school teachers -> Other<sup>b</sup> -> Region,All public middle and high school teachers,Other<sup>b</sup>,Region,,3,,,,
4110,r061,All public middle and high school teachers -> Other<sup>b</sup> -> Region -> Northeast,All public middle and high school teachers,Other<sup>b</sup>,Region,Northeast,4,11,20,42,27
4110,r062,All public middle and high school teachers -> Other<sup>b</sup> -> Region -> Midwest,All public middle and high school teachers,Other<sup>b</sup>,Region,Midwest,4,14,21,37,29
4110,r063,All public middle and high school teachers -> Other<sup>b</sup> -> Region -> South,All public middle and high school teachers,Other<sup>b</sup>,Region,South,4,19,24,34,22
4110,r064,All public middle and high school teachers -> Other<sup>b</sup> -> Region -> West,All public middle and high school teachers,Other<sup>b</sup>,Region,West,4,17,19,36,28
