table_id,row_id,time_period,proportions_level_1,proportions_level_2,proportions_hierarchy_depth,value
6802,r001,Gender,Proportions,Class 1,2,"['&nbsp;', '&nbsp;']"
6802,r002,Gender,Proportions,Class 2,2,"['&nbsp;', '&nbsp;']"
6802,r003,Gender,Proportions,Class 3,2,"['&nbsp;', '&nbsp;']"
6802,r004,Gender,Proportions,Class 4,2,"['&nbsp;', '&nbsp;']"
6802,r005,Gender,Proportions,Class 5,2,"['&nbsp;', '&nbsp;']"
6802,r006,Gender -> Male,Proportions,Class 1,2,"['0.611', '&nbsp;']"
6802,r007,Gender -> Male,Proportions,Class 2,2,"['0.677', 'a']"
6802,r008,Gender -> Male,Proportions,Class 3,2,"['0.714', 'b']"
6802,r009,Gender -> Male,Proportions,Class 4,2,"['0.646', '&nbsp;']"
6802,r010,Gender -> Male,Proportions,Class 5,2,"['0.687', 'ab']"
6802,r011,Gender -> Male,Proportions,Population,2,0.661
6802,r012,Gender -> Female,Proportions,Class 1,2,"['0.389', '&nbsp;']"
6802,r013,Gender -> Female,Proportions,Class 2,2,"['0.323', 'a']"
6802,r014,Gender -> Female,Proportions,Class 3,2,"['0.286', 'b']"
6802,r015,Gender -> Female,Proportions,Class 4,2,"['0.354', '&nbsp;']"
6802,r016,Gender -> Female,Proportions,Class 5,2,"['0.313', 'ab']"
6802,r017,Gender -> Female,Proportions,Population,2,0.339
6802,r018,Physical disability,Proportions,Class 1,2,"['&nbsp;', '&nbsp;']"
6802,r019,Physical disability,Proportions,Class 2,2,"['&nbsp;', '&nbsp;']"
6802,r020,Physical disability,Proportions,Class 3,2,"['&nbsp;', '&nbsp;']"
6802,r021,Physical disability,Proportions,Class 4,2,"['&nbsp;', '&nbsp;']"
6802,r022,Physical disability,Proportions,Class 5,2,"['&nbsp;', '&nbsp;']"
6802,r023,Physical disability -> No,Proportions,Class 1,2,"['0.902', 'a']"
6802,r024,Physical disability -> No,Proportions,Class 2,2,"['0.923', 'b']"
6802,r025,Physical disability -> No,Proportions,Class 3,2,"['0.925', 'b']"
6802,r026,Physical disability -> No,Proportions,Class 4,2,"['0.892', 'a']"
6802,r027,Physical disability -> No,Proportions,Class 5,2,"['0.905', 'a']"
6802,r028,Physical disability -> No,Proportions,Population,2,0.91
6802,r029,Physical disability -> Yes,Proportions,Class 1,2,"['0.098', 'a']"
6802,r030,Physical disability -> Yes,Proportions,Class 2,2,"['0.077', 'b']"
6802,r031,Physical disability -> Yes,Proportions,Class 3,2,"['0.075', 'b']"
6802,r032,Physical disability -> Yes,Proportions,Class 4,2,"['0.108', 'a']"
6802,r033,Physical disability -> Yes,Proportions,Class 5,2,"['0.095', 'a']"
6802,r034,Physical disability -> Yes,Proportions,Population,2,0.09
6802,r035,Race or ethnicity,Proportions,Class 1,2,"['&nbsp;', '&nbsp;']"
6802,r036,Race or ethnicity,Proportions,Class 2,2,"['&nbsp;', '&nbsp;']"
