table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
7961,r001,All institutions,All institutions,,1,-,"['89,723,447', '']","['49,143,460', '']","['4,736,015', '']","['22,448,362', '']","['5,115,480', '']","['5,590,273', '']","['2,689,857', '']"
7961,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['3,181,385', '']","['2,774,643', '']","['4,677', '']","['147,355', '']","['103,162', '']","['145,027', '']","['6,521', '']"
7961,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['1,710,036', '']","['683,179', '']","['33,056', '']","['418,589', '']","['128,370', '']","['254,406', '']","['192,436', '']"
7961,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['1,639,645', '']","['891,125', '']","['2,066', '']","['581,768', '']","['91,117', '']","['63,650', '']","['9,919', '']"
7961,r005,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,4,"['1,631,950', '']","['792,089', '']","['20,733', '']","['511,958', '']","['190,755', '']","['111,885', '']","['4,530', '']"
7961,r006,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,5,"['1,488,645', '']","['1,046,377', '']","['21,877', '']","['105,070', '']","['54,751', '']","['212,584', '']","['47,986', '']"
7961,r007,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,6,"['1,454,880', '']","['721,043', '']","['71,014', '']","['302,528', '']","['87,959', '']","['194,232', '']","['78,104', '']"
7961,r008,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,7,"['1,425,499', '']","['801,117', '']","['51,346', '']","['250,863', '']","['85,003', '']","['87,380', '']","['149,790', '']"
7961,r009,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,8,"['1,380,075', '']","['646,764', '']","['135,923', '']","['412,540', '']","['31,502', '']","['117,817', '']","['35,529', '']"
7961,r010,All institutions -> Stanford U.,All institutions,Stanford U.,2,9,"['1,274,483', '']","['811,183', '']","['17,802', '']","['136,444', '']","['113,691', '']","['186,565', '']","['8,798', '']"
7961,r011,All institutions -> Harvard U.,All institutions,Harvard U.,2,10,"['1,254,008', '']","['616,589', '']","['5,137', '']","['384,197', '']","['55,357', '']","['172,327', '']","['20,401', '']"
7961,r012,All institutions -> Duke U.,All institutions,Duke U.,2,11,"['1,237,686', '']","['776,632', '']","['1,073', '']","['153,692', '']","['187,864', '']","['98,223', '']","['20,202', '']"
7961,r013,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,12,"['1,236,111', '']","['559,797', '']","['45,862', '']","['425,597', '']","['129,914', '']","['50,022', '']","['24,919', '']"
7961,r014,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,13,"['1,205,883', '']","['747,895', '']","['9,550', '']","['304,506', '']","['48,938', '']","['79,885', '']","['15,109', '']"
7961,r015,All institutions -> Cornell U.,All institutions,Cornell U.,2,14,"['1,183,524', '']","['592,359', '']","['87,821', '']","['220,800', '']","['43,950', '']","['115,910', '']","['122,684', '']"
7961,r016,All institutions -> Yale U.,All institutions,Yale U.,2,15,"['1,165,148', '']","['647,656', '']","['4,859', '']","['334,314', '']","['76,784', '']","['92,343', '']","['9,192', '']"
7961,r017,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,16,"['1,147,720', '']","['528,057', '']","['198,483', '']","['313,192', '']","['32,978', '']","['45,135', '']","['29,875', '']"
7961,r018,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,17,"['1,142,264', '']","['713,283', '']","['42,597', '']","['307,481', '']","['30,638', '']","['43,450', '']","['4,815', '']"
7961,r019,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,18,"['1,135,416', '']","['724,993', '']","['9,484', '']","['255,241', '']","['33,240', '']","['65,217', '']","['47,241', '']"
7961,r020,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,19,"['1,124,971', '']","['217,073', '']","['293,325', '']","['233,279', '']","['211,849', '']","['32,741', '']","['136,704', '']"
