table_id,row_id,financial_resource_full_path,financial_resource_level_1,financial_resource_level_2,financial_resource_level_3,financial_resource_hierarchy_depth,field_all_fields_male,field_all_fields_female,field_life_sciencesa_male,field_life_sciencesa_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherb_male,field_otherb_female
1771,r001,Unduplicated total<sup>c</sup>,Unduplicated total<sup>c</sup>,,,1,26595,22582,5128,6487,3836,1949,2752,872,3197,4574,6917,2183,1303,2957,2251,2302,1211,1258
1771,r002,Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,2,64.3,68.6,69.2,71.2,60.6,71.8,59.9,61.8,71.1,70.5,57.3,66.7,49.0,49.9,84.3,84.6,66.4,66.5
1771,r003,Unduplicated total<sup>c</sup> -> Dissertation grant,Unduplicated total<sup>c</sup>,Dissertation grant,,2,15.4,22.7,14.9,18.4,9.3,11.4,7.9,10.6,28.7,33.0,7.2,10.1,13.3,15.9,41.3,47.7,20.8,26.6
1771,r004,Unduplicated total<sup>c</sup> -> Assistantship,Unduplicated total<sup>c</sup>,Assistantship,,2,,,,,,,,,,,,,,,,,,
1771,r005,Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Unduplicated total<sup>c</sup>,Assistantship,Teaching,3,69.5,65.9,52.0,52.0,86.8,87.5,83.2,86.8,79.6,77.6,63.5,62.4,40.4,39.7,85.8,90.2,67.2,69.0
1771,r006,Unduplicated total<sup>c</sup> -> Assistantship -> Research,Unduplicated total<sup>c</sup>,Assistantship,Research,3,70.2,61.5,66.2,62.7,89.5,89.8,74.3,71.1,60.3,60.8,84.4,83.9,37.5,39.0,37.3,38.5,58.5,63.0
1771,r007,Unduplicated total<sup>c</sup> -> Assistantship -> Other,Unduplicated total<sup>c</sup>,Assistantship,Other,3,7.4,10.4,5.3,5.4,4.6,5.0,4.8,4.8,13.6,16.5,5.4,5.2,15.7,16.5,12.0,16.3,9.0,11.3
1771,r008,Unduplicated total<sup>c</sup> -> Traineeship,Unduplicated total<sup>c</sup>,Traineeship,,2,3.7,5.5,11.5,12.2,1.8,3.0,1.5,1.7,3.2,4.7,2.1,4.3,1.1,1.3,0.8,1.0,1.2,1.3
1771,r009,Unduplicated total<sup>c</sup> -> Internship or clinical residency,Unduplicated total<sup>c</sup>,Internship or clinical residency,,2,9.2,9.9,3.1,3.9,4.5,5.2,22.5,24.3,12.5,23.2,13.3,12.8,5.0,6.0,2.2,4.0,4.8,4.2
1771,r010,Unduplicated total<sup>c</sup> -> Loan (any source),Unduplicated total<sup>c</sup>,Loan (any source),,2,21.7,31.3,20.4,23.8,12.0,12.6,10.9,12.4,38.6,44.8,10.5,9.3,52.3,51.4,40.9,40.1,34.0,37.8
1771,r011,Unduplicated total<sup>c</sup> -> Personal sources,Unduplicated total<sup>c</sup>,Personal sources,,2,,,,,,,,,,,,,,,,,,
1771,r012,Unduplicated total<sup>c</sup> -> Personal sources -> Savings,Unduplicated total<sup>c</sup>,Personal sources,Savings,3,48.6,55.2,46.3,50.8,35.5,42.9,44.0,40.5,61.6,63.2,42.2,39.8,66.5,67.3,62.8,62.0,66.4,63.4
1771,r013,Unduplicated total<sup>c</sup> -> Personal sources -> Other earnings during graduate school,Unduplicated total<sup>c</sup>,Personal sources,Other earnings during graduate school,3,27.1,36.9,22.6,28.0,14.9,17.3,21.7,17.9,40.9,46.4,15.6,14.4,60.9,60.1,55.2,55.7,37.2,40.9
1771,r014,"Unduplicated total<sup>c</sup> -> Spouse's, partner's, or family's earnings or savings",Unduplicated total<sup>c</sup>,"Spouse's, partner's, or family's earnings or savings",,2,35.5,46.9,33.6,42.7,26.3,33.5,28.3,36.9,46.4,56.2,31.5,36.5,41.2,52.4,52.4,55.4,45.2,52.3
1771,r015,Unduplicated total<sup>c</sup> -> Employer reimbursement or assistance,Unduplicated total<sup>c</sup>,Employer reimbursement or assistance,,2,11.0,11.8,10.2,11.7,6.9,6.6,11.3,7.9,10.4,8.4,9.3,7.0,33.1,27.7,10.3,7.6,14.8,13.8
1771,r016,Unduplicated total<sup>c</sup> -> Foreign (non-U.S.) support,Unduplicated total<sup>c</sup>,Foreign (non-U.S.) support,,2,8.0,5.5,7.2,5.4,5.9,4.0,8.2,9.1,7.8,4.9,10.4,8.1,6.0,3.7,7.2,6.5,8.9,6.9
1771,r017,Unduplicated total<sup>c</sup> -> Other ,Unduplicated total<sup>c</sup>,Other ,,2,1.1,1.2,1.0,1.0,0.5,0.8,0.5,0.8,1.8,1.6,0.7,0.8,2.8,1.9,1.8,1.3,2.0,1.0
